time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4838,0.3327,0.3269,0.3544,joyful,0.426,0.0
0.083333,N2,0.4697,0.2933,0.2697,0.3746,curious,0.413,0.0
0.166667,N2,0.4457,0.2822,0.274,0.3083,fearful,0.403,0.0
0.25,N2,0.4282,0.2719,0.272,0.3413,melancholic,0.487,0.0
0.333333,N2,0.5042,0.3002,0.2784,0.3156,joyful,0.479,0.0
0.416667,N3,0.3569,0.162,0.2366,0.3135,neutral,0.35,0.0
0.5,N3,0.2806,0.1899,0.1992,0.3282,serene,0.35,0.0
0.583333,N3,0.2973,0.1999,0.188,0.3027,neutral,0.326,0.0
0.666667,N3,0.3138,0.1985,0.1877,0.2946,anxious,0.35,0.0
0.75,N3,0.3104,0.1859,0.2067,0.2888,neutral,0.35,0.0
0.833333,N3,0.2844,0.2115,0.2052,0.3085,melancholic,0.35,0.0
0.916667,N3,0.3501,0.1749,0.1864,0.2879,joyful,0.35,0.0
