time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5005,0.2689,0.3178,0.3383,joyful,0.398,0.0
0.083333,N2,0.4626,0.2901,0.2929,0.3226,melancholic,0.46,0.0
0.166667,N2,0.4502,0.2886,0.2844,0.3476,neutral,0.434,0.0
0.25,N2,0.4797,0.2548,0.282,0.3463,joyful,0.453,0.0
0.333333,N2,0.4292,0.2713,0.2968,0.2908,joyful,0.455,0.0
0.416667,N3,0.2864,0.2199,0.1765,0.2661,curious,0.35,0.0
0.5,N3,0.2802,0.1682,0.1936,0.2886,curious,0.35,0.0
0.583333,N3,0.3049,0.1861,0.218,0.3189,melancholic,0.35,0.0
0.666667,N3,0.3123,0.2248,0.2095,0.3069,neutral,0.35,0.0
0.75,N3,0.3075,0.213,0.2068,0.2697,serene,0.35,0.0
0.833333,N3,0.3054,0.2109,0.1789,0.2529,neutral,0.35,0.0
0.916667,N2,0.4096,0.2914,0.2961,0.2891,joyful,0.376,0.0
