time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5047,0.3252,0.3142,0.3107,neutral,0.351,0.0
0.008333,N1,0.4497,0.2512,0.3122,0.3721,curious,0.323,0.0
0.016667,N1,0.5013,0.315,0.3464,0.3333,neutral,0.403,0.0
0.025,N1,0.5066,0.2948,0.2816,0.3365,neutral,0.342,0.0
0.033333,N1,0.5156,0.298,0.3227,0.3211,joyful,0.331,0.0
0.041667,N1,0.5194,0.2643,0.3001,0.321,joyful,0.399,0.0
0.05,N1,0.5319,0.2981,0.3417,0.3303,serene,0.356,0.0
0.058333,N1,0.5115,0.2762,0.31,0.3612,curious,0.367,0.0
0.066667,N2,0.4453,0.2457,0.2532,0.3691,neutral,0.35,0.0
0.075,N2,0.4683,0.2873,0.2947,0.3746,neutral,0.414,0.0
0.083333,N2,0.4312,0.3132,0.2451,0.3112,neutral,0.353,0.0
0.091667,N2,0.4481,0.2711,0.2866,0.347,curious,0.376,0.0
0.1,N2,0.443,0.3006,0.3143,0.3715,neutral,0.457,0.0
0.108333,N2,0.4534,0.2823,0.3146,0.3328,neutral,0.391,0.0
0.116667,N2,0.4763,0.3055,0.3081,0.3503,neutral,0.403,0.0
0.125,N2,0.475,0.2831,0.2687,0.3314,joyful,0.422,0.0
0.133333,N2,0.4605,0.2709,0.288,0.3189,curious,0.369,0.0
0.141667,N2,0.4653,0.3146,0.3066,0.3427,joyful,0.4,0.0
0.15,N2,0.4472,0.2568,0.2616,0.3344,neutral,0.443,0.0
0.158333,N2,0.4902,0.2773,0.2584,0.3594,curious,0.401,0.0
0.166667,N2,0.4593,0.3156,0.2621,0.3092,anxious,0.44,0.0
0.175,N2,0.4875,0.2647,0.2839,0.3182,curious,0.357,0.0
0.183333,N2,0.46,0.2885,0.3194,0.3265,joyful,0.441,0.0
0.191667,N2,0.4378,0.2645,0.2897,0.3341,fearful,0.384,0.0
0.2,N2,0.4396,0.2825,0.2526,0.3469,neutral,0.392,0.0
0.208333,N2,0.4573,0.2787,0.287,0.3546,joyful,0.346,0.0
0.216667,N2,0.4428,0.289,0.257,0.3419,curious,0.478,0.0
0.225,N2,0.4572,0.2229,0.2731,0.3759,curious,0.424,0.0
0.233333,N2,0.4367,0.2505,0.2918,0.3365,neutral,0.343,0.0
0.241667,N2,0.4589,0.2557,0.2923,0.3345,joyful,0.444,0.0
