time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4972
0.0,event::code_review,code review,0.4467
0.0,mem::childhood_home,childhood_home,0.3962
0.0,mem::joy,joy,0.3849
0.0,mem::familiar_face,familiar_face,0.3844
0.0,mem::loud_crowd,loud_crowd,0.379
0.0,mem::falling,falling,0.3673
0.0,mem::grief,grief,0.3661
0.0,mem::bright_light,bright_light,0.3537
0.0,mem::flying,flying,0.307
0.0,mem::wonder,wonder,0.2822
0.0,mem::cold_water,cold_water,0.2788
0.833333,mem::childhood_home,childhood_home,0.3845
0.833333,mem::loud_crowd,loud_crowd,0.3793
0.833333,mem::falling,falling,0.3755
0.833333,mem::grief,grief,0.3752
0.833333,mem::cold_water,cold_water,0.3483
0.833333,mem::teeth_loosening,teeth_loosening,0.343
0.833333,event::design_discussion,design discussion,0.335
0.833333,mem::being_chased,being_chased,0.3271
0.833333,mem::being_late,being_late,0.322
0.833333,mem::dread,dread,0.3123
0.833333,event::code_review,code review,0.3122
0.833333,mem::school_corridor,school_corridor,0.3003
