time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4812,0.3169,0.3098,0.3305,joyful,0.386,0.0
0.083333,N2,0.4435,0.3207,0.2877,0.3429,anxious,0.48,0.0
0.166667,N2,0.4469,0.3216,0.2778,0.3353,melancholic,0.434,0.0
0.25,N2,0.4482,0.255,0.2884,0.3286,neutral,0.43,0.0
0.333333,N2,0.4523,0.2926,0.3134,0.3008,neutral,0.458,0.0
0.416667,N3,0.2974,0.2185,0.2021,0.3176,curious,0.35,0.0
0.5,N3,0.3069,0.1921,0.1906,0.3406,melancholic,0.322,0.0
0.583333,N3,0.3148,0.2184,0.2608,0.2907,curious,0.35,0.0
0.666667,N3,0.2819,0.1815,0.1689,0.271,fearful,0.35,0.0
0.75,N3,0.2905,0.2109,0.2177,0.2741,curious,0.318,0.0
0.833333,N3,0.3234,0.2209,0.2212,0.27,joyful,0.35,0.0
0.916667,N3,0.2632,0.1651,0.1806,0.2744,curious,0.35,0.0
