time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4888
0.0,event::design_discussion,design discussion,0.4531
0.0,mem::joy,joy,0.3704
0.0,mem::falling,falling,0.3356
0.0,mem::being_late,being_late,0.3201
0.0,mem::dread,dread,0.2934
0.0,mem::wonder,wonder,0.2881
0.0,mem::school_corridor,school_corridor,0.2858
0.0,mem::familiar_face,familiar_face,0.2623
0.0,mem::teeth_loosening,teeth_loosening,0.2469
0.0,mem::bright_light,bright_light,0.2299
0.0,mem::being_chased,being_chased,0.2211
0.833333,event::code_review,code review,0.4127
0.833333,mem::joy,joy,0.3712
0.833333,mem::wonder,wonder,0.3424
0.833333,mem::familiar_face,familiar_face,0.3333
0.833333,mem::bright_light,bright_light,0.3221
0.833333,mem::flying,flying,0.3117
0.833333,event::design_discussion,design discussion,0.2981
0.833333,mem::falling,falling,0.2516
0.833333,mem::being_late,being_late,0.2454
0.833333,mem::dread,dread,0.2348
0.833333,mem::school_corridor,school_corridor,0.2316
0.833333,mem::teeth_loosening,teeth_loosening,0.2164
