time_hours,node_id,node_label,activation
0.0,mem::dread,dread,0.4495
0.0,mem::falling,falling,0.4461
0.0,event::design_discussion,design discussion,0.4069
0.0,mem::familiar_face,familiar_face,0.3927
0.0,mem::joy,joy,0.3911
0.0,mem::school_corridor,school_corridor,0.3777
0.0,mem::flying,flying,0.3767
0.0,mem::cold_water,cold_water,0.3676
0.0,mem::teeth_loosening,teeth_loosening,0.3662
0.0,mem::grief,grief,0.3229
0.0,mem::childhood_home,childhood_home,0.3169
0.0,mem::being_chased,being_chased,0.2748
0.833333,event::design_discussion,design discussion,0.382
0.833333,mem::familiar_face,familiar_face,0.3776
0.833333,mem::joy,joy,0.377
0.833333,mem::flying,flying,0.3726
0.833333,mem::dread,dread,0.3563
0.833333,mem::falling,falling,0.355
0.833333,event::code_review,code review,0.3385
0.833333,mem::wonder,wonder,0.3304
0.833333,mem::school_corridor,school_corridor,0.3278
0.833333,mem::cold_water,cold_water,0.3239
0.833333,mem::teeth_loosening,teeth_loosening,0.3232
0.833333,mem::grief,grief,0.306
