time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4849,0.254,0.3146,0.3302,melancholic,0.372,0.0
0.008333,N1,0.5119,0.3476,0.2979,0.3361,joyful,0.434,0.0
0.016667,N1,0.4837,0.3402,0.2818,0.3909,curious,0.355,0.0
0.025,N1,0.465,0.2891,0.2759,0.3414,joyful,0.437,0.0
0.033333,N1,0.4997,0.3032,0.3059,0.3695,curious,0.339,0.0
0.041667,N1,0.4985,0.3281,0.3282,0.3222,neutral,0.34,0.0
0.05,N1,0.4864,0.3053,0.2655,0.3812,neutral,0.402,0.0
0.058333,N1,0.5085,0.2721,0.3052,0.3424,joyful,0.351,0.0
0.066667,N1,0.5005,0.298,0.2832,0.3595,melancholic,0.346,0.0
0.075,N1,0.5246,0.29,0.3134,0.3288,anxious,0.391,0.0
0.083333,N2,0.4807,0.2798,0.2675,0.379,joyful,0.439,0.0
0.091667,N2,0.4689,0.2522,0.2626,0.3405,neutral,0.433,0.0
0.1,N2,0.4491,0.2503,0.2585,0.3472,melancholic,0.478,0.0
0.108333,N2,0.4757,0.2794,0.2687,0.3575,melancholic,0.424,0.0
0.116667,N2,0.4779,0.2649,0.2604,0.3111,neutral,0.354,0.0
0.125,N2,0.4279,0.2838,0.3051,0.3561,serene,0.304,0.0
0.133333,N2,0.4533,0.3076,0.2745,0.3743,neutral,0.442,0.0
0.141667,N2,0.4182,0.2822,0.2727,0.3177,neutral,0.399,0.0
0.15,N2,0.4301,0.2883,0.3,0.3685,neutral,0.397,0.0
0.158333,N2,0.4609,0.2789,0.2804,0.3308,melancholic,0.36,0.0
0.166667,N2,0.4369,0.2788,0.2501,0.3605,melancholic,0.422,0.0
0.175,N2,0.4231,0.2837,0.2567,0.3243,serene,0.417,0.0
0.183333,N2,0.4474,0.2982,0.2632,0.3287,neutral,0.431,0.0
0.191667,N2,0.4353,0.2125,0.2897,0.3469,neutral,0.451,0.0
0.2,N2,0.4671,0.2492,0.3102,0.3347,curious,0.454,0.0
0.208333,N2,0.438,0.2938,0.3048,0.3452,curious,0.394,0.0
0.216667,N2,0.4467,0.2881,0.2691,0.326,curious,0.408,0.0
0.225,N2,0.455,0.2613,0.2601,0.3151,melancholic,0.337,0.0
0.233333,N2,0.4481,0.2666,0.2589,0.3346,curious,0.411,0.0
0.241667,N2,0.4734,0.2787,0.2349,0.3305,neutral,0.419,0.0
0.25,N2,0.4571,0.3031,0.3,0.3362,curious,0.363,0.0
0.258333,N2,0.4363,0.2608,0.3181,0.3093,joyful,0.391,0.0
0.266667,N2,0.4587,0.2668,0.2594,0.3059,neutral,0.371,0.0
0.275,N2,0.451,0.256,0.3219,0.3286,neutral,0.401,0.0
0.283333,N2,0.4738,0.2659,0.3001,0.3173,curious,0.395,0.0
0.291667,N2,0.4625,0.2546,0.2805,0.3289,anxious,0.364,0.0
0.3,N2,0.4368,0.2743,0.2519,0.3404,neutral,0.443,0.0
0.308333,N2,0.4681,0.2601,0.291,0.3209,joyful,0.421,0.0
0.316667,N2,0.4918,0.2735,0.3104,0.3043,melancholic,0.445,0.0
0.325,N2,0.4088,0.2913,0.2917,0.305,curious,0.368,0.0
0.333333,N2,0.4235,0.2939,0.2798,0.3146,neutral,0.417,0.0
0.341667,N2,0.4707,0.2445,0.289,0.3149,joyful,0.342,0.0
0.35,N2,0.437,0.2697,0.2693,0.3447,anxious,0.374,0.0
0.358333,N2,0.4532,0.2808,0.2786,0.3082,curious,0.374,0.0
0.366667,N2,0.4383,0.273,0.2556,0.3204,neutral,0.339,0.0
0.375,N2,0.4626,0.2633,0.268,0.3469,melancholic,0.426,0.0
0.383333,N2,0.4684,0.2808,0.2924,0.3386,melancholic,0.403,0.0
0.391667,N2,0.413,0.2976,0.2678,0.3298,neutral,0.424,0.0
0.4,N2,0.4374,0.289,0.2967,0.3163,curious,0.327,0.0
0.408333,N2,0.4152,0.2951,0.2814,0.302,curious,0.394,0.0
0.416667,N2,0.4443,0.2768,0.2732,0.3125,anxious,0.495,0.0
0.425,N2,0.4333,0.2743,0.2671,0.317,curious,0.398,0.0
0.433333,N2,0.4531,0.2755,0.296,0.3483,joyful,0.398,0.0
0.441667,N2,0.4733,0.2948,0.3283,0.3159,joyful,0.364,0.0
0.45,N2,0.4301,0.2968,0.2694,0.291,neutral,0.372,0.0
0.458333,N2,0.4409,0.253,0.2737,0.3407,joyful,0.396,0.0
0.466667,N3,0.3038,0.2048,0.1832,0.3161,neutral,0.35,0.0
0.475,N3,0.2938,0.1658,0.1924,0.3249,curious,0.349,0.0
0.483333,N3,0.3309,0.1969,0.2008,0.306,neutral,0.35,0.0
0.491667,N3,0.3097,0.2504,0.2068,0.3196,neutral,0.35,0.0
0.5,N3,0.2814,0.196,0.1604,0.3302,neutral,0.348,0.0
0.508333,N3,0.2836,0.159,0.1803,0.2808,neutral,0.332,0.0
0.516667,N3,0.3024,0.2215,0.1861,0.361,joyful,0.35,0.0
0.525,N3,0.3254,0.1796,0.2098,0.305,joyful,0.35,0.0
0.533333,N3,0.2818,0.2127,0.18,0.2901,joyful,0.35,0.0
0.541667,N3,0.3389,0.223,0.2213,0.2879,anxious,0.35,0.0
0.55,N3,0.2944,0.1941,0.2339,0.3079,melancholic,0.303,0.0
0.558333,N3,0.3348,0.22,0.2033,0.2905,neutral,0.33,0.0
0.566667,N3,0.3133,0.2079,0.241,0.3031,anxious,0.35,0.0
0.575,N3,0.307,0.2152,0.1973,0.2951,joyful,0.34,0.0
0.583333,N3,0.2861,0.1739,0.2113,0.3202,curious,0.34,0.0
0.591667,N3,0.2763,0.1795,0.1762,0.2789,neutral,0.35,0.0
0.6,N3,0.3031,0.1884,0.19,0.3173,joyful,0.35,0.0
0.608333,N3,0.3313,0.2325,0.2285,0.3042,joyful,0.35,0.0
0.616667,N3,0.286,0.1764,0.2,0.3002,curious,0.35,0.0
0.625,N3,0.3039,0.2024,0.2079,0.3152,serene,0.35,0.0
0.633333,N3,0.2852,0.2142,0.1817,0.3116,joyful,0.35,0.0
0.641667,N3,0.2907,0.1977,0.2026,0.2998,neutral,0.305,0.0
0.65,N3,0.2712,0.1719,0.1613,0.3051,neutral,0.35,0.0
0.658333,N3,0.3306,0.2261,0.2204,0.286,joyful,0.35,0.0
0.666667,N3,0.2951,0.2029,0.1792,0.3028,neutral,0.35,0.0
0.675,N3,0.3265,0.1994,0.1949,0.3374,joyful,0.35,0.0
0.683333,N3,0.3148,0.2094,0.1795,0.2919,neutral,0.35,0.0
0.691667,N3,0.2904,0.2443,0.2026,0.2664,neutral,0.328,0.0
0.7,N3,0.2902,0.2121,0.1483,0.2785,curious,0.35,0.0
0.708333,N3,0.3084,0.1904,0.1672,0.2743,joyful,0.343,0.0
0.716667,N3,0.312,0.1955,0.2057,0.2869,curious,0.35,0.0
0.725,N3,0.2668,0.1721,0.2255,0.2656,melancholic,0.314,0.0
0.733333,N3,0.2866,0.1657,0.2018,0.2854,neutral,0.335,0.0
0.741667,N3,0.293,0.2051,0.2203,0.2776,melancholic,0.328,0.0
0.75,N3,0.2868,0.2312,0.1995,0.3023,neutral,0.31,0.0
