time_hours,node_id,node_label,activation
0.0,mem::bright_light,bright_light,0.5084
0.0,mem::wonder,wonder,0.4873
0.0,mem::flying,flying,0.4702
0.0,mem::familiar_face,familiar_face,0.4342
0.0,event::had_a_long_meeting,had a long meeting,0.386
0.0,mem::falling,falling,0.385
0.0,mem::loud_crowd,loud_crowd,0.376
0.0,mem::teeth_loosening,teeth_loosening,0.3143
0.0,mem::joy,joy,0.2986
0.0,mem::childhood_home,childhood_home,0.2813
0.0,mem::being_chased,being_chased,0.2805
0.0,mem::school_corridor,school_corridor,0.2271
0.083333,mem::familiar_face,familiar_face,0.9868
0.083333,mem::flying,flying,0.9868
0.083333,mem::bright_light,bright_light,0.9868
0.083333,mem::wonder,wonder,0.9868
0.083333,event::had_a_long_meeting,had a long meeting,0.9434
0.083333,mem::joy,joy,0.8616
0.083333,mem::falling,falling,0.7896
0.083333,mem::loud_crowd,loud_crowd,0.7812
0.083333,mem::teeth_loosening,teeth_loosening,0.7236
0.083333,mem::childhood_home,childhood_home,0.6926
0.083333,mem::being_chased,being_chased,0.6919
0.083333,mem::school_corridor,school_corridor,0.6419
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,mem::familiar_face,familiar_face,0.9608
0.166667,mem::flying,flying,0.9608
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::bright_light,bright_light,1.0
0.25,mem::joy,joy,1.0
0.25,mem::wonder,wonder,1.0
0.25,event::had_a_long_meeting,had a long meeting,1.0
0.25,mem::childhood_home,childhood_home,0.9737
0.25,mem::school_corridor,school_corridor,0.9737
0.25,mem::falling,falling,0.9737
0.25,mem::being_chased,being_chased,0.9737
0.25,mem::being_late,being_late,0.9737
0.25,mem::teeth_loosening,teeth_loosening,0.9737
0.333333,mem::familiar_face,familiar_face,1.0
0.333333,mem::flying,flying,1.0
0.333333,mem::bright_light,bright_light,1.0
0.333333,mem::joy,joy,1.0
0.333333,mem::wonder,wonder,1.0
0.333333,event::had_a_long_meeting,had a long meeting,1.0
0.333333,mem::childhood_home,childhood_home,0.9608
