time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5235,0.3223,0.2952,0.3451,joyful,0.423,0.0
0.008333,N1,0.5121,0.3072,0.2886,0.3852,anxious,0.425,0.0
0.016667,N1,0.5076,0.2924,0.3003,0.3588,anxious,0.349,0.0
0.025,N1,0.461,0.3177,0.3105,0.3663,joyful,0.328,0.0
0.033333,N1,0.4606,0.2784,0.3222,0.3178,neutral,0.342,0.0
0.041667,N1,0.5037,0.2809,0.2864,0.3334,melancholic,0.333,0.0
0.05,N1,0.4776,0.2995,0.3192,0.3568,curious,0.364,0.0
0.058333,N1,0.4763,0.2756,0.2788,0.3423,curious,0.397,0.0
0.066667,N1,0.5144,0.2819,0.3133,0.3349,melancholic,0.353,0.0
0.075,N1,0.4812,0.2798,0.2825,0.3408,melancholic,0.333,0.0
0.083333,N2,0.4699,0.2974,0.2621,0.334,curious,0.402,0.0
0.091667,N2,0.4384,0.2797,0.2905,0.3564,neutral,0.393,0.0
0.1,N2,0.4576,0.3081,0.3063,0.3474,curious,0.355,0.0
0.108333,N2,0.4948,0.2576,0.2931,0.3269,melancholic,0.42,0.0
0.116667,N2,0.414,0.2842,0.2934,0.3506,serene,0.391,0.0
0.125,N2,0.4102,0.263,0.2689,0.3433,neutral,0.405,0.0
0.133333,N2,0.438,0.3048,0.2556,0.3398,neutral,0.414,0.0
0.141667,N2,0.4264,0.2741,0.3042,0.3227,curious,0.325,0.0
0.15,N2,0.4642,0.2878,0.2621,0.3345,joyful,0.397,0.0
0.158333,N2,0.4681,0.2653,0.2891,0.3515,joyful,0.404,0.0
0.166667,N2,0.4558,0.2487,0.2988,0.3801,neutral,0.398,0.0
0.175,N2,0.4382,0.3031,0.256,0.3283,curious,0.408,0.0
0.183333,N2,0.4258,0.2754,0.2975,0.3373,curious,0.374,0.0
0.191667,N2,0.4725,0.2774,0.3016,0.3251,melancholic,0.367,0.0
0.2,N2,0.4515,0.2602,0.2533,0.2833,neutral,0.461,0.0
0.208333,N2,0.4449,0.2773,0.2931,0.3536,joyful,0.436,0.0
0.216667,N2,0.4517,0.3356,0.3062,0.3419,fearful,0.409,0.0
0.225,N2,0.454,0.2823,0.2984,0.3433,curious,0.441,0.0
0.233333,N2,0.4376,0.2437,0.283,0.3351,neutral,0.388,0.0
0.241667,N2,0.4487,0.2597,0.2455,0.3399,fearful,0.452,0.0
0.25,N2,0.4452,0.3036,0.2861,0.317,neutral,0.444,0.0
0.258333,N2,0.4554,0.279,0.2796,0.3272,curious,0.424,0.0
0.266667,N2,0.4007,0.2792,0.2873,0.3268,neutral,0.395,0.0
0.275,N2,0.4607,0.304,0.3126,0.3415,fearful,0.432,0.0
0.283333,N2,0.466,0.3267,0.3027,0.3358,melancholic,0.454,0.0
0.291667,N2,0.4556,0.2972,0.3069,0.3498,neutral,0.391,0.0
0.3,N2,0.4377,0.3275,0.2832,0.3082,anxious,0.421,0.0
0.308333,N2,0.4722,0.2696,0.2887,0.3145,serene,0.366,0.0
0.316667,N2,0.4336,0.2831,0.2959,0.3193,neutral,0.426,0.0
0.325,N2,0.4439,0.2895,0.307,0.3451,neutral,0.41,0.0
0.333333,N2,0.462,0.2912,0.291,0.2978,neutral,0.431,0.0
0.341667,N2,0.4529,0.2962,0.2624,0.3442,joyful,0.43,0.0
0.35,N3,0.2936,0.2016,0.1725,0.3357,melancholic,0.35,0.0
0.358333,N3,0.3128,0.2183,0.1848,0.3153,fearful,0.35,0.0
0.366667,N3,0.2987,0.1773,0.2192,0.323,neutral,0.298,0.0
0.375,N3,0.316,0.2183,0.1994,0.3303,curious,0.35,0.0
0.383333,N3,0.2825,0.2099,0.1852,0.2888,melancholic,0.35,0.0
0.391667,N3,0.3286,0.256,0.2437,0.3049,neutral,0.335,0.0
0.4,N3,0.2953,0.1512,0.2075,0.3107,curious,0.305,0.0
0.408333,N3,0.2892,0.1857,0.177,0.3361,neutral,0.345,0.0
0.416667,N3,0.3338,0.2085,0.2022,0.3329,fearful,0.35,0.0
0.425,N3,0.286,0.1848,0.2291,0.2803,neutral,0.35,0.0
0.433333,N3,0.3034,0.18,0.1833,0.3128,neutral,0.35,0.0
0.441667,N3,0.3492,0.2004,0.2068,0.2796,neutral,0.35,0.0
0.45,N3,0.3078,0.1997,0.1832,0.2954,serene,0.35,0.0
0.458333,N3,0.2676,0.2146,0.1895,0.2986,curious,0.35,0.0
0.466667,N3,0.3106,0.1993,0.2318,0.3313,fearful,0.321,0.0
0.475,N3,0.318,0.192,0.1891,0.3172,fearful,0.306,0.0
