time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4943,0.3028,0.3112,0.3943,anxious,0.412,0.0
0.083333,N2,0.5009,0.2697,0.3122,0.3503,neutral,0.389,0.0
0.166667,N2,0.4417,0.2617,0.3284,0.3197,joyful,0.415,0.0
0.25,N2,0.4681,0.276,0.3132,0.3281,fearful,0.504,0.0
0.333333,N2,0.4684,0.3065,0.2731,0.3477,melancholic,0.449,0.0
0.416667,N3,0.3211,0.1905,0.2106,0.3216,curious,0.35,0.0
0.5,N3,0.3048,0.1935,0.1924,0.3393,serene,0.329,0.0
0.583333,N3,0.2803,0.23,0.1975,0.303,neutral,0.35,0.0
0.666667,N3,0.3108,0.2126,0.1558,0.3204,melancholic,0.35,0.0
0.75,N3,0.3346,0.1854,0.195,0.3053,anxious,0.35,0.0
0.833333,N3,0.2747,0.1975,0.1769,0.2935,curious,0.35,0.0
0.916667,N3,0.3324,0.1536,0.1838,0.2729,neutral,0.35,0.0
