time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4229
0.0,mem::cold_water,cold_water,0.3999
0.0,mem::loud_crowd,loud_crowd,0.3908
0.0,mem::falling,falling,0.3867
0.0,mem::school_corridor,school_corridor,0.3836
0.0,mem::flying,flying,0.3684
0.0,mem::recurring_journey,recurring_journey,0.3606
0.0,mem::joy,joy,0.3243
0.0,mem::childhood_home,childhood_home,0.3095
0.0,mem::dread,dread,0.3045
0.0,mem::teeth_loosening,teeth_loosening,0.2897
0.0,mem::being_late,being_late,0.2765
0.083333,mem::cold_water,cold_water,0.4907
0.083333,mem::loud_crowd,loud_crowd,0.4841
0.083333,mem::falling,falling,0.4812
0.083333,mem::school_corridor,school_corridor,0.4791
0.083333,event::had_a_long_meeting,had a long meeting,0.4556
0.083333,mem::childhood_home,childhood_home,0.4253
0.083333,mem::dread,dread,0.4217
0.083333,mem::teeth_loosening,teeth_loosening,0.411
0.083333,mem::flying,flying,0.4108
0.083333,mem::being_late,being_late,0.4014
0.083333,mem::joy,joy,0.3745
0.083333,mem::being_chased,being_chased,0.3697
0.166667,mem::cold_water,cold_water,0.6341
0.166667,mem::loud_crowd,loud_crowd,0.6304
0.166667,mem::falling,falling,0.6288
0.166667,mem::school_corridor,school_corridor,0.6276
0.166667,mem::childhood_home,childhood_home,0.5975
0.166667,mem::dread,dread,0.5954
0.166667,mem::teeth_loosening,teeth_loosening,0.5895
0.166667,mem::being_late,being_late,0.584
0.166667,mem::being_chased,being_chased,0.5662
0.166667,mem::grief,grief,0.5615
0.166667,event::had_a_long_meeting,had a long meeting,0.4812
0.166667,mem::flying,flying,0.4442
0.25,mem::cold_water,cold_water,0.689
0.25,mem::loud_crowd,loud_crowd,0.6866
0.25,mem::falling,falling,0.6855
0.25,mem::school_corridor,school_corridor,0.6848
0.25,mem::childhood_home,childhood_home,0.6655
0.25,mem::dread,dread,0.6644
0.25,mem::teeth_loosening,teeth_loosening,0.6606
0.25,mem::being_late,being_late,0.6571
0.25,mem::being_chased,being_chased,0.6457
0.25,mem::grief,grief,0.6427
0.25,event::had_a_long_meeting,had a long meeting,0.505
0.25,mem::flying,flying,0.4746
0.333333,mem::cold_water,cold_water,0.7008
0.333333,mem::loud_crowd,loud_crowd,0.699
0.333333,mem::falling,falling,0.6983
0.333333,mem::school_corridor,school_corridor,0.6977
0.333333,mem::childhood_home,childhood_home,0.6838
0.333333,mem::dread,dread,0.683
0.333333,mem::teeth_loosening,teeth_loosening,0.6802
0.333333,mem::being_late,being_late,0.6777
0.333333,mem::being_chased,being_chased,0.6695
0.333333,mem::grief,grief,0.6672
0.333333,event::had_a_long_meeting,had a long meeting,0.5677
0.333333,mem::flying,flying,0.5456
0.416667,mem::cold_water,cold_water,0.7475
0.416667,mem::loud_crowd,loud_crowd,0.7466
0.416667,mem::falling,falling,0.7461
0.416667,mem::school_corridor,school_corridor,0.7457
