time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4737,0.2725,0.3062,0.3949,fearful,0.417,0.0
0.083333,N2,0.4715,0.2779,0.274,0.3743,fearful,0.445,0.0
0.166667,N2,0.4553,0.2458,0.2696,0.3127,anxious,0.444,0.0
0.25,N2,0.4751,0.2521,0.3145,0.3233,joyful,0.479,0.0
0.333333,N2,0.4286,0.3223,0.2596,0.3461,joyful,0.457,0.0
0.416667,N2,0.4418,0.2696,0.2812,0.3161,curious,0.383,0.0
0.5,N3,0.3098,0.2286,0.2146,0.2716,neutral,0.35,0.0
0.583333,N3,0.2979,0.2026,0.2403,0.2895,curious,0.35,0.0
0.666667,N3,0.3256,0.2005,0.1789,0.2794,joyful,0.35,0.0
0.75,N3,0.295,0.1765,0.2169,0.3099,curious,0.35,0.0
0.833333,N3,0.3282,0.1825,0.2103,0.2773,joyful,0.346,0.0
0.916667,N3,0.2973,0.215,0.2051,0.2582,melancholic,0.35,0.0
