time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4825
0.0,mem::grief,grief,0.3882
0.0,mem::familiar_face,familiar_face,0.3765
0.0,mem::school_corridor,school_corridor,0.368
0.0,mem::falling,falling,0.3385
0.0,mem::recurring_journey,recurring_journey,0.3155
0.0,mem::childhood_home,childhood_home,0.2941
0.0,mem::being_chased,being_chased,0.2661
0.0,mem::cold_water,cold_water,0.2434
0.0,mem::being_late,being_late,0.2302
0.0,mem::joy,joy,0.2104
0.0,mem::teeth_loosening,teeth_loosening,0.1864
0.083333,event::had_a_long_meeting,had a long meeting,0.7425
0.083333,mem::grief,grief,0.6534
0.083333,mem::familiar_face,familiar_face,0.6433
0.083333,mem::school_corridor,school_corridor,0.6346
0.083333,mem::falling,falling,0.607
0.083333,mem::childhood_home,childhood_home,0.5654
0.083333,mem::being_chased,being_chased,0.5392
0.083333,mem::cold_water,cold_water,0.5179
0.083333,mem::being_late,being_late,0.5057
0.083333,mem::joy,joy,0.4879
0.083333,mem::teeth_loosening,teeth_loosening,0.4647
0.083333,mem::bright_light,bright_light,0.4422
0.166667,event::had_a_long_meeting,had a long meeting,0.9859
0.166667,mem::grief,grief,0.9006
0.166667,mem::familiar_face,familiar_face,0.8931
0.166667,mem::school_corridor,school_corridor,0.883
0.166667,mem::falling,falling,0.8572
0.166667,mem::childhood_home,childhood_home,0.8182
0.166667,mem::being_chased,being_chased,0.7937
0.166667,mem::cold_water,cold_water,0.7738
0.166667,mem::being_late,being_late,0.7624
0.166667,mem::joy,joy,0.7477
0.166667,mem::teeth_loosening,teeth_loosening,0.724
0.166667,mem::bright_light,bright_light,0.705
0.25,mem::childhood_home,childhood_home,1.0
0.25,mem::school_corridor,school_corridor,1.0
0.25,mem::falling,falling,1.0
0.25,mem::being_chased,being_chased,1.0
0.25,mem::being_late,being_late,1.0
0.25,mem::teeth_loosening,teeth_loosening,1.0
0.25,mem::cold_water,cold_water,1.0
0.25,mem::loud_crowd,loud_crowd,1.0
0.25,mem::grief,grief,1.0
0.25,mem::dread,dread,1.0
0.25,mem::familiar_face,familiar_face,0.9868
0.25,mem::flying,flying,0.9868
0.333333,mem::familiar_face,familiar_face,1.0
0.333333,mem::flying,flying,1.0
0.333333,mem::bright_light,bright_light,1.0
0.333333,mem::joy,joy,1.0
0.333333,mem::wonder,wonder,1.0
0.333333,event::had_a_long_meeting,had a long meeting,1.0
0.333333,mem::childhood_home,childhood_home,0.9868
0.333333,mem::school_corridor,school_corridor,0.9868
0.333333,mem::falling,falling,0.9868
0.333333,mem::being_chased,being_chased,0.9868
0.333333,mem::being_late,being_late,0.9868
0.333333,mem::teeth_loosening,teeth_loosening,0.9868
0.416667,mem::familiar_face,familiar_face,1.0
0.416667,mem::flying,flying,1.0
0.416667,mem::bright_light,bright_light,1.0
0.416667,mem::joy,joy,1.0
0.416667,mem::wonder,wonder,1.0
0.416667,event::had_a_long_meeting,had a long meeting,1.0
0.416667,mem::childhood_home,childhood_home,0.9544
0.416667,mem::school_corridor,school_corridor,0.9544
0.416667,mem::falling,falling,0.9544
0.416667,mem::being_chased,being_chased,0.9544
0.416667,mem::being_late,being_late,0.9544
0.416667,mem::teeth_loosening,teeth_loosening,0.9544
0.5,mem::familiar_face,familiar_face,0.9934
0.5,mem::flying,flying,0.9934
0.5,mem::bright_light,bright_light,0.9934
0.5,mem::joy,joy,0.9934
0.5,mem::wonder,wonder,0.9934
