time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5076,0.2967,0.2846,0.3541,neutral,0.404,0.0
0.083333,N2,0.4755,0.24,0.258,0.3247,anxious,0.403,0.0
0.166667,N2,0.4583,0.2629,0.3283,0.3534,curious,0.461,0.0
0.25,N2,0.4203,0.3078,0.2787,0.3216,anxious,0.426,0.0
0.333333,N2,0.4802,0.2659,0.2664,0.2939,neutral,0.497,0.0
0.416667,N3,0.3091,0.1937,0.159,0.3302,joyful,0.35,0.0
0.5,N3,0.2985,0.1864,0.2,0.334,neutral,0.35,0.0
0.583333,N3,0.3026,0.2007,0.1966,0.3149,curious,0.35,0.0
0.666667,N3,0.2932,0.1826,0.1846,0.2721,curious,0.349,0.0
0.75,N3,0.3337,0.1319,0.2208,0.2615,melancholic,0.35,0.0
0.833333,N3,0.3006,0.2113,0.2206,0.2864,fearful,0.35,0.0
0.916667,N3,0.2793,0.2052,0.1703,0.2853,curious,0.35,0.0
