time_hours,node_id,node_label,activation
0.0,mem::wonder,wonder,0.5281
0.0,mem::flying,flying,0.5258
0.0,mem::joy,joy,0.4534
0.0,mem::familiar_face,familiar_face,0.4449
0.0,mem::being_late,being_late,0.3854
0.0,mem::being_chased,being_chased,0.378
0.0,mem::grief,grief,0.3594
0.0,mem::cold_water,cold_water,0.3514
0.0,event::had_a_long_meeting,had a long meeting,0.3469
0.0,mem::bright_light,bright_light,0.33
0.0,mem::dread,dread,0.3119
0.0,mem::school_corridor,school_corridor,0.3111
0.083333,mem::wonder,wonder,0.7891
0.083333,mem::flying,flying,0.787
0.083333,mem::joy,joy,0.7192
0.083333,mem::familiar_face,familiar_face,0.7112
0.083333,mem::being_late,being_late,0.6498
0.083333,mem::being_chased,being_chased,0.6428
0.083333,mem::grief,grief,0.6254
0.083333,mem::cold_water,cold_water,0.618
0.083333,event::had_a_long_meeting,had a long meeting,0.6138
0.083333,mem::bright_light,bright_light,0.6038
0.083333,mem::dread,dread,0.581
0.083333,mem::school_corridor,school_corridor,0.5802
0.166667,mem::childhood_home,childhood_home,0.9934
0.166667,mem::school_corridor,school_corridor,0.9934
0.166667,mem::falling,falling,0.9934
0.166667,mem::being_chased,being_chased,0.9934
0.166667,mem::being_late,being_late,0.9934
0.166667,mem::teeth_loosening,teeth_loosening,0.9934
0.166667,mem::cold_water,cold_water,0.9934
0.166667,mem::loud_crowd,loud_crowd,0.9934
0.166667,mem::grief,grief,0.9934
0.166667,mem::dread,dread,0.9934
0.166667,event::had_a_long_meeting,had a long meeting,0.9934
0.166667,mem::wonder,wonder,0.8883
0.25,mem::childhood_home,childhood_home,0.9934
0.25,mem::school_corridor,school_corridor,0.9934
0.25,mem::falling,falling,0.9934
0.25,mem::being_chased,being_chased,0.9934
0.25,mem::being_late,being_late,0.9934
0.25,mem::teeth_loosening,teeth_loosening,0.9934
0.25,mem::cold_water,cold_water,0.9934
0.25,mem::loud_crowd,loud_crowd,0.9934
0.25,mem::grief,grief,0.9934
0.25,mem::dread,dread,0.9934
0.25,event::had_a_long_meeting,had a long meeting,0.9934
0.25,mem::familiar_face,familiar_face,0.9608
0.333333,mem::childhood_home,childhood_home,0.9802
0.333333,mem::school_corridor,school_corridor,0.9802
0.333333,mem::falling,falling,0.9802
0.333333,mem::being_chased,being_chased,0.9802
0.333333,mem::being_late,being_late,0.9802
0.333333,mem::teeth_loosening,teeth_loosening,0.9802
0.333333,mem::cold_water,cold_water,0.9802
0.333333,mem::loud_crowd,loud_crowd,0.9802
0.333333,mem::grief,grief,0.9802
0.333333,mem::dread,dread,0.9802
0.333333,event::had_a_long_meeting,had a long meeting,0.9802
0.333333,mem::familiar_face,familiar_face,0.9737
0.416667,mem::familiar_face,familiar_face,1.0
0.416667,mem::flying,flying,1.0
0.416667,mem::bright_light,bright_light,1.0
0.416667,mem::joy,joy,1.0
0.416667,mem::wonder,wonder,1.0
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
0.416667,mem::falling,falling,0.9934
0.416667,mem::being_chased,being_chased,0.9934
0.416667,mem::being_late,being_late,0.9934
0.416667,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::cold_water,cold_water,0.9934
0.5,mem::childhood_home,childhood_home,1.0
0.5,mem::school_corridor,school_corridor,1.0
0.5,mem::falling,falling,1.0
0.5,mem::being_chased,being_chased,1.0
0.5,mem::being_late,being_late,1.0
0.5,mem::teeth_loosening,teeth_loosening,1.0
0.5,mem::cold_water,cold_water,1.0
0.5,mem::loud_crowd,loud_crowd,1.0
0.5,mem::grief,grief,1.0
0.5,mem::dread,dread,1.0
0.5,event::had_a_long_meeting,had a long meeting,1.0
0.5,mem::familiar_face,familiar_face,0.9737
0.583333,mem::familiar_face,familiar_face,1.0
0.583333,mem::flying,flying,1.0
0.583333,mem::bright_light,bright_light,1.0
0.583333,mem::joy,joy,1.0
0.583333,mem::wonder,wonder,1.0
0.583333,mem::childhood_home,childhood_home,0.9802
0.583333,mem::school_corridor,school_corridor,0.9802
0.583333,mem::falling,falling,0.9802
0.583333,mem::being_chased,being_chased,0.9802
0.583333,mem::being_late,being_late,0.9802
0.583333,mem::teeth_loosening,teeth_loosening,0.9802
