time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4862,0.3054,0.3231,0.3492,melancholic,0.378,0.0
0.008333,N1,0.5088,0.3003,0.2951,0.3936,joyful,0.326,0.0
0.016667,N1,0.4811,0.2904,0.2813,0.3185,melancholic,0.326,0.0
0.025,N1,0.5131,0.2996,0.3304,0.3633,melancholic,0.326,0.0
0.033333,N1,0.4791,0.3018,0.3075,0.3514,melancholic,0.36,0.0
0.041667,N1,0.4944,0.2512,0.3074,0.3375,fearful,0.365,0.0
0.05,N1,0.46,0.305,0.3269,0.3339,neutral,0.361,0.0
0.058333,N1,0.4932,0.322,0.3254,0.4138,serene,0.401,0.0
0.066667,N1,0.4659,0.3164,0.2775,0.3451,neutral,0.333,0.0
0.075,N1,0.5164,0.2836,0.2773,0.3626,joyful,0.365,0.0
0.083333,N2,0.4496,0.307,0.2517,0.3874,curious,0.431,0.0
0.091667,N2,0.4224,0.2737,0.2713,0.3466,joyful,0.405,0.0
0.1,N2,0.4692,0.2754,0.2998,0.3093,joyful,0.462,0.0
0.108333,N2,0.4553,0.2639,0.3018,0.3547,curious,0.383,0.0
0.116667,N2,0.4591,0.2967,0.2487,0.3425,curious,0.366,0.0
0.125,N2,0.4368,0.3015,0.2694,0.3643,curious,0.396,0.0
0.133333,N2,0.4611,0.2869,0.3406,0.3335,neutral,0.386,0.0
0.141667,N2,0.4489,0.2612,0.2414,0.3333,neutral,0.431,0.0
0.15,N2,0.4511,0.2666,0.2848,0.3083,curious,0.353,0.0
0.158333,N2,0.4359,0.2937,0.2914,0.3254,fearful,0.384,0.0
0.166667,N2,0.4467,0.2761,0.2998,0.3464,serene,0.357,0.0
0.175,N2,0.4815,0.2635,0.2754,0.3336,serene,0.393,0.0
0.183333,N2,0.4533,0.2781,0.2376,0.3475,neutral,0.383,0.0
0.191667,N2,0.4367,0.275,0.2652,0.3489,anxious,0.394,0.0
