time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4564,0.2892,0.2874,0.3205,curious,0.389,0.0
0.083333,N2,0.4515,0.2592,0.2711,0.3792,melancholic,0.435,0.0
0.166667,N2,0.4964,0.3076,0.3292,0.358,melancholic,0.413,0.0
0.25,N2,0.4184,0.2718,0.2662,0.3147,anxious,0.418,0.0
0.333333,N2,0.4593,0.3072,0.3122,0.3247,curious,0.469,0.0
0.416667,N3,0.2821,0.1797,0.2272,0.2751,melancholic,0.35,0.0
0.5,N3,0.3124,0.1774,0.2174,0.322,anxious,0.35,0.0
0.583333,N3,0.3322,0.2101,0.188,0.2906,neutral,0.35,0.0
0.666667,N3,0.318,0.2375,0.1904,0.296,neutral,0.35,0.0
0.75,N3,0.3073,0.168,0.2123,0.2903,fearful,0.35,0.0
0.833333,N3,0.3092,0.1758,0.1956,0.2914,joyful,0.345,0.0
0.916667,N2,0.5028,0.2965,0.2957,0.2636,fearful,0.442,0.0
