time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.514,0.2478,0.3274,0.3612,joyful,0.26,0.0
0.008333,N1,0.5124,0.3016,0.2997,0.3267,anxious,0.377,0.0
0.016667,N1,0.4563,0.2773,0.372,0.356,fearful,0.337,0.0
0.025,N1,0.5463,0.2592,0.3011,0.3808,joyful,0.389,0.0
0.033333,N1,0.5059,0.2865,0.3003,0.3473,neutral,0.348,0.0
0.041667,N1,0.512,0.2557,0.3068,0.3616,melancholic,0.286,0.0
0.05,N1,0.507,0.2458,0.3123,0.3177,curious,0.322,0.0
0.058333,N1,0.4697,0.2688,0.2957,0.3372,melancholic,0.33,0.0
0.066667,N2,0.4736,0.2518,0.2914,0.3647,serene,0.353,0.0
0.075,N2,0.4288,0.252,0.2954,0.3434,neutral,0.352,0.0
0.083333,N2,0.4503,0.238,0.3017,0.3329,joyful,0.368,0.0
0.091667,N2,0.4433,0.2592,0.279,0.3599,neutral,0.394,0.0
0.1,N2,0.4303,0.263,0.2724,0.3677,joyful,0.375,0.0
0.108333,N2,0.422,0.2719,0.2732,0.3305,neutral,0.399,0.0
0.116667,N2,0.4903,0.2824,0.2672,0.3326,curious,0.405,0.0
0.125,N2,0.478,0.2259,0.2752,0.3383,neutral,0.405,0.0
0.133333,N2,0.441,0.2542,0.3122,0.3497,melancholic,0.398,0.0
0.141667,N2,0.4899,0.2763,0.294,0.3223,anxious,0.41,0.0
0.15,N2,0.4452,0.2845,0.2704,0.3523,melancholic,0.4,0.0
0.158333,N2,0.4291,0.2547,0.2796,0.3307,curious,0.401,0.0
0.166667,N2,0.4352,0.2597,0.2677,0.3514,serene,0.339,0.0
0.175,N2,0.4245,0.2553,0.2751,0.339,neutral,0.42,0.0
0.183333,N2,0.4265,0.2785,0.2815,0.329,neutral,0.358,0.0
0.191667,N2,0.4375,0.2434,0.2778,0.3244,curious,0.442,0.0
0.2,N2,0.4304,0.249,0.2813,0.3413,anxious,0.354,0.0
0.208333,N2,0.4404,0.2729,0.2938,0.2882,joyful,0.411,0.0
0.216667,N2,0.4379,0.2306,0.3021,0.3454,curious,0.411,0.0
0.225,N2,0.4481,0.2233,0.2372,0.324,joyful,0.462,0.0
0.233333,N2,0.4461,0.2404,0.2894,0.355,serene,0.388,0.0
0.241667,N2,0.4252,0.2538,0.2968,0.3271,joyful,0.357,0.0
0.25,N2,0.4535,0.2401,0.2888,0.3268,joyful,0.388,0.0
0.258333,N2,0.4682,0.241,0.2912,0.3243,neutral,0.387,0.0
0.266667,N2,0.4033,0.254,0.2678,0.3357,neutral,0.411,0.0
0.275,N2,0.4588,0.244,0.274,0.3326,melancholic,0.383,0.0
0.283333,N2,0.4688,0.2483,0.2876,0.307,curious,0.347,0.0
0.291667,N2,0.4512,0.2704,0.2815,0.3246,serene,0.371,0.0
0.3,N2,0.5141,0.2882,0.2653,0.2748,melancholic,0.431,0.0
0.308333,N2,0.4714,0.2276,0.2822,0.3293,serene,0.375,0.0
0.316667,N2,0.4363,0.2898,0.2782,0.3426,melancholic,0.425,0.0
0.325,N2,0.4492,0.2495,0.3107,0.3202,neutral,0.388,0.0
0.333333,N3,0.3311,0.1488,0.2151,0.3052,joyful,0.35,0.0
