time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5148,0.2919,0.3046,0.3818,neutral,0.382,0.0
0.083333,N2,0.4458,0.2959,0.2577,0.353,melancholic,0.411,0.0
0.166667,N2,0.4333,0.2614,0.2517,0.3565,joyful,0.482,0.0
0.25,N2,0.4702,0.2975,0.2852,0.3291,joyful,0.416,0.0
0.333333,N2,0.4313,0.2867,0.2628,0.3277,neutral,0.414,0.0
0.416667,N3,0.3004,0.1655,0.1924,0.3398,fearful,0.35,0.0
0.5,N3,0.2865,0.1586,0.1911,0.3277,anxious,0.35,0.0
0.583333,N3,0.3032,0.2082,0.2248,0.3054,curious,0.35,0.0
0.666667,N3,0.2988,0.1656,0.2308,0.3065,fearful,0.35,0.0
0.75,N3,0.3023,0.2129,0.2185,0.2845,curious,0.35,0.0
0.833333,N3,0.3084,0.1681,0.1676,0.273,neutral,0.35,0.0
0.916667,N2,0.4601,0.2787,0.2837,0.2909,curious,0.402,0.0
