time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5002,0.2795,0.326,0.3727,neutral,0.355,0.0
0.008333,N1,0.5299,0.3088,0.2966,0.3758,neutral,0.392,0.0
0.016667,N1,0.5139,0.3002,0.3038,0.3414,anxious,0.357,0.0
0.025,N1,0.5002,0.2836,0.2996,0.3293,joyful,0.357,0.0
0.033333,N1,0.518,0.3256,0.3288,0.331,neutral,0.406,0.0
0.041667,N1,0.4902,0.3046,0.2941,0.3291,curious,0.344,0.0
0.05,N1,0.4969,0.321,0.2759,0.3361,melancholic,0.414,0.0
0.058333,N1,0.5158,0.2908,0.2885,0.3322,neutral,0.359,0.0
0.066667,N1,0.4924,0.3205,0.2664,0.34,curious,0.312,0.0
0.075,N1,0.5279,0.2871,0.2996,0.3071,joyful,0.402,0.0
0.083333,N1,0.4972,0.2768,0.3296,0.3235,joyful,0.4,0.0
0.091667,N1,0.5155,0.3436,0.3261,0.3888,joyful,0.436,0.0
0.1,N2,0.4172,0.2875,0.2727,0.3361,curious,0.384,0.0
0.108333,N2,0.4177,0.2554,0.2984,0.3362,curious,0.362,0.0
0.116667,N2,0.4627,0.2889,0.2619,0.3355,neutral,0.415,0.0
0.125,N2,0.4559,0.2814,0.2587,0.3265,curious,0.412,0.0
0.133333,N2,0.4165,0.2659,0.2978,0.3609,anxious,0.372,0.0
0.141667,N2,0.4605,0.2891,0.2663,0.328,neutral,0.398,0.0
0.15,N2,0.4531,0.2726,0.3027,0.3257,curious,0.419,0.0
0.158333,N2,0.4508,0.3152,0.2822,0.3599,joyful,0.447,0.0
0.166667,N2,0.443,0.2857,0.2605,0.3395,serene,0.443,0.0
0.175,N2,0.4307,0.2838,0.2892,0.3325,neutral,0.416,0.0
0.183333,N2,0.4592,0.2816,0.2964,0.3741,curious,0.442,0.0
0.191667,N2,0.4371,0.2924,0.2987,0.3507,anxious,0.408,0.0
0.2,N2,0.4325,0.3026,0.2837,0.2855,curious,0.347,0.0
0.208333,N2,0.4193,0.3039,0.282,0.3519,serene,0.435,0.0
0.216667,N2,0.4509,0.2549,0.2637,0.3135,melancholic,0.38,0.0
0.225,N2,0.4725,0.2705,0.2862,0.3522,neutral,0.427,0.0
0.233333,N2,0.4493,0.2769,0.3089,0.3332,melancholic,0.398,0.0
0.241667,N2,0.4488,0.2638,0.2468,0.3732,curious,0.412,0.0
0.25,N2,0.4654,0.2897,0.3258,0.364,curious,0.431,0.0
0.258333,N2,0.4813,0.2712,0.2807,0.3605,curious,0.456,0.0
0.266667,N2,0.4519,0.2672,0.2292,0.3819,curious,0.404,0.0
0.275,N2,0.4788,0.2822,0.2789,0.3017,melancholic,0.394,0.0
