time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5141,0.3094,0.2957,0.341,anxious,0.418,0.0
0.008333,N1,0.5074,0.304,0.2366,0.3544,anxious,0.451,0.0
0.016667,N1,0.5128,0.3343,0.2973,0.3546,fearful,0.387,0.0
0.025,N1,0.493,0.3211,0.2706,0.365,anxious,0.388,0.0
0.033333,N1,0.4698,0.2897,0.2989,0.3471,anxious,0.378,0.0
0.041667,N1,0.5092,0.2939,0.287,0.2984,fearful,0.401,0.0
0.05,N1,0.5144,0.3079,0.2781,0.3148,neutral,0.402,0.0
0.058333,N1,0.5161,0.3294,0.3226,0.2903,fearful,0.444,0.0
0.066667,N3,0.3155,0.2096,0.169,0.3653,fearful,0.35,0.0
0.075,N3,0.321,0.2033,0.1931,0.3463,melancholic,0.35,0.0
0.083333,N3,0.3115,0.192,0.1806,0.3684,anxious,0.35,0.0
0.091667,N3,0.3497,0.2047,0.1931,0.3582,joyful,0.35,0.0
0.1,N3,0.3146,0.2234,0.1741,0.3201,melancholic,0.35,0.0
0.108333,N3,0.294,0.1797,0.2143,0.3684,anxious,0.35,0.0
0.116667,N3,0.2789,0.2025,0.2043,0.3263,anxious,0.35,0.0
0.125,N3,0.3181,0.2139,0.1868,0.3338,fearful,0.35,0.0
0.133333,N3,0.3239,0.1808,0.1818,0.3277,anxious,0.35,0.0
0.141667,N3,0.2735,0.2268,0.1957,0.3333,anxious,0.35,0.0
0.15,N3,0.2972,0.2293,0.2026,0.3458,anxious,0.35,0.0
0.158333,N3,0.2892,0.2028,0.2407,0.3412,melancholic,0.35,0.0
0.166667,N3,0.2926,0.2368,0.2051,0.339,serene,0.35,0.0
0.175,N3,0.3041,0.2156,0.2076,0.3276,serene,0.35,0.0
0.183333,N3,0.3159,0.2152,0.2082,0.3215,anxious,0.35,0.0
0.191667,N3,0.3204,0.227,0.155,0.324,melancholic,0.35,0.0
0.2,N3,0.2892,0.2123,0.1706,0.3403,anxious,0.35,0.0
0.208333,N3,0.277,0.1721,0.2413,0.3695,anxious,0.35,0.0
0.216667,N3,0.3098,0.1747,0.2156,0.3373,curious,0.35,0.0
0.225,N3,0.3103,0.1828,0.1999,0.3634,anxious,0.35,0.0
0.233333,N3,0.2739,0.2212,0.2062,0.3674,anxious,0.35,0.0
0.241667,N3,0.3018,0.2319,0.2095,0.3309,joyful,0.35,0.0
0.25,N3,0.2608,0.2095,0.2198,0.3412,anxious,0.35,0.0
0.258333,N3,0.2908,0.187,0.2053,0.3514,anxious,0.35,0.0
0.266667,N3,0.3203,0.1808,0.208,0.2916,anxious,0.35,0.0
0.275,N3,0.2918,0.2268,0.188,0.334,anxious,0.35,0.0
