time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4981,0.2979,0.35,0.3731,curious,0.378,0.0
0.083333,N2,0.4859,0.3201,0.2645,0.3223,curious,0.464,0.0
0.166667,N2,0.4658,0.2915,0.2553,0.3146,anxious,0.396,0.0
0.25,N2,0.4212,0.272,0.2752,0.3378,melancholic,0.402,0.0
0.333333,N3,0.2642,0.1725,0.1694,0.3286,fearful,0.35,0.0
0.416667,N3,0.3007,0.1959,0.1672,0.304,melancholic,0.35,0.0
0.5,N3,0.3004,0.1806,0.2105,0.3026,joyful,0.35,0.0
0.583333,N3,0.2663,0.1911,0.2159,0.3326,melancholic,0.35,0.0
0.666667,N3,0.3161,0.2292,0.174,0.2638,serene,0.35,0.0
0.75,N3,0.3111,0.2001,0.1992,0.3037,serene,0.35,0.0
0.833333,N3,0.2814,0.2175,0.2017,0.2918,neutral,0.35,0.0
0.916667,N2,0.4528,0.2986,0.2754,0.3064,joyful,0.471,0.0
