time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4384
0.0,mem::bright_light,bright_light,0.3606
0.0,mem::flying,flying,0.3567
0.0,mem::falling,falling,0.3538
0.0,mem::being_late,being_late,0.3094
0.0,mem::recurring_journey,recurring_journey,0.3091
0.0,mem::familiar_face,familiar_face,0.2974
0.0,event::design_discussion,design discussion,0.2973
0.0,mem::loud_crowd,loud_crowd,0.2822
0.0,mem::grief,grief,0.2729
0.0,mem::childhood_home,childhood_home,0.2682
0.0,mem::cold_water,cold_water,0.2456
0.833333,event::code_review,code review,0.4349
0.833333,mem::bright_light,bright_light,0.4109
0.833333,mem::flying,flying,0.4098
0.833333,mem::familiar_face,familiar_face,0.3915
0.833333,mem::joy,joy,0.351
0.833333,mem::wonder,wonder,0.341
0.833333,mem::falling,falling,0.3169
0.833333,mem::being_late,being_late,0.2992
0.833333,event::design_discussion,design discussion,0.2943
0.833333,mem::loud_crowd,loud_crowd,0.2883
0.833333,mem::grief,grief,0.2847
0.833333,mem::childhood_home,childhood_home,0.2828
