time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5088,0.3352,0.282,0.2987,melancholic,0.425,0.0
0.083333,N2,0.4646,0.2644,0.2861,0.3281,anxious,0.475,0.0
0.166667,N2,0.4579,0.2897,0.266,0.3352,curious,0.448,0.0
0.25,N2,0.476,0.2903,0.2802,0.3086,neutral,0.482,0.0
0.333333,N3,0.296,0.1693,0.2002,0.3033,fearful,0.35,0.0
0.416667,N3,0.299,0.1682,0.1965,0.287,neutral,0.35,0.0
0.5,N3,0.3085,0.1756,0.2131,0.2959,melancholic,0.35,0.0
0.583333,N3,0.2811,0.2049,0.218,0.3183,neutral,0.35,0.0
0.666667,N3,0.2722,0.1903,0.1995,0.3003,melancholic,0.35,0.0
0.75,N3,0.2619,0.1974,0.241,0.306,anxious,0.35,0.0
0.833333,N3,0.314,0.2017,0.1992,0.2819,melancholic,0.35,0.0
0.916667,N2,0.4386,0.246,0.2812,0.2877,anxious,0.449,0.0
