time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.499,0.3407,0.3325,0.34,anxious,0.422,0.0
0.008333,N1,0.5088,0.3342,0.2907,0.3502,fearful,0.429,0.0
0.016667,N1,0.4734,0.3584,0.3076,0.361,joyful,0.406,0.0
0.025,N1,0.4906,0.3167,0.3404,0.3541,anxious,0.448,0.0
0.033333,N1,0.487,0.3456,0.2819,0.3597,melancholic,0.435,0.0
0.041667,N1,0.4572,0.3527,0.3044,0.356,anxious,0.398,0.0
0.05,N1,0.48,0.3675,0.2938,0.3062,joyful,0.404,0.0
0.058333,N1,0.5196,0.3541,0.3338,0.3233,melancholic,0.457,0.0
0.066667,N1,0.5103,0.3953,0.2654,0.3505,anxious,0.45,0.0
0.075,N1,0.4916,0.3596,0.3193,0.3689,fearful,0.456,0.0
0.083333,N2,0.4304,0.3422,0.2874,0.2914,serene,0.451,0.0
0.091667,N2,0.466,0.357,0.2828,0.3286,melancholic,0.475,0.0
0.1,N2,0.4641,0.3673,0.2715,0.379,curious,0.469,0.0
0.108333,N2,0.443,0.3505,0.289,0.3619,serene,0.449,0.0
0.116667,N2,0.445,0.3303,0.2708,0.3501,anxious,0.414,0.0
0.125,N2,0.4413,0.3454,0.2859,0.3416,melancholic,0.438,0.0
0.133333,N2,0.4745,0.3402,0.2834,0.3303,melancholic,0.439,0.0
0.141667,N2,0.4632,0.3229,0.2691,0.3479,joyful,0.442,0.0
0.15,N2,0.4597,0.331,0.2962,0.3593,joyful,0.484,0.0
0.158333,N2,0.438,0.3302,0.2997,0.3231,joyful,0.497,0.0
0.166667,N2,0.4611,0.3397,0.256,0.3531,anxious,0.451,0.0
0.175,N2,0.4677,0.3244,0.2556,0.3393,anxious,0.434,0.0
0.183333,N2,0.4202,0.379,0.2827,0.3605,serene,0.468,0.0
0.191667,N2,0.4696,0.3441,0.3007,0.3334,fearful,0.455,0.0
0.2,N2,0.4599,0.3454,0.2974,0.3253,anxious,0.462,0.0
0.208333,N2,0.4363,0.3311,0.3101,0.342,neutral,0.454,0.0
0.216667,N2,0.4484,0.3592,0.288,0.3321,anxious,0.475,0.0
0.225,N2,0.4614,0.3179,0.2868,0.3616,fearful,0.498,0.0
0.233333,N2,0.4354,0.3283,0.277,0.322,anxious,0.441,0.0
0.241667,N2,0.424,0.3295,0.2974,0.3274,anxious,0.463,0.0
0.25,N2,0.4498,0.3131,0.2978,0.3307,anxious,0.462,0.0
0.258333,N2,0.4435,0.2977,0.2794,0.3338,anxious,0.488,0.0
0.266667,N2,0.4569,0.3369,0.2803,0.3255,fearful,0.511,0.0
0.275,N2,0.4515,0.3293,0.2801,0.3329,fearful,0.445,0.0
0.283333,N2,0.4558,0.3472,0.3095,0.3274,anxious,0.532,0.0
0.291667,N2,0.4671,0.3585,0.2766,0.3683,anxious,0.439,0.0
0.3,N2,0.431,0.3458,0.2908,0.3231,anxious,0.459,0.0
0.308333,N2,0.4539,0.3494,0.3017,0.3349,melancholic,0.47,0.0
0.316667,N2,0.4117,0.3461,0.275,0.3297,melancholic,0.459,0.0
0.325,N2,0.4864,0.3427,0.2695,0.3028,anxious,0.521,0.0
0.333333,N2,0.4417,0.3203,0.2804,0.3183,fearful,0.405,0.0
0.341667,N2,0.416,0.3046,0.3032,0.3105,anxious,0.477,0.0
0.35,N2,0.473,0.2933,0.2901,0.329,anxious,0.417,0.0
0.358333,N2,0.4695,0.2958,0.2904,0.337,serene,0.488,0.0
0.366667,N2,0.448,0.3514,0.2873,0.3183,anxious,0.484,0.0
0.375,N2,0.4373,0.3003,0.2972,0.3158,joyful,0.441,0.0
0.383333,N2,0.4298,0.3601,0.2725,0.3527,fearful,0.468,0.0
0.391667,N2,0.5037,0.3356,0.3178,0.3066,anxious,0.473,0.0
0.4,N2,0.4447,0.357,0.2773,0.3292,curious,0.45,0.0
0.408333,N2,0.412,0.3078,0.284,0.3102,melancholic,0.44,0.0
0.416667,N2,0.4263,0.3439,0.267,0.286,melancholic,0.497,0.0
0.425,N2,0.4321,0.3213,0.2935,0.325,fearful,0.429,0.0
0.433333,N2,0.424,0.3012,0.3162,0.3115,anxious,0.469,0.0
0.441667,N2,0.4553,0.3089,0.2873,0.269,anxious,0.461,0.0
0.45,N3,0.2668,0.2894,0.1853,0.3289,neutral,0.35,0.0
0.458333,N3,0.3158,0.2265,0.1787,0.3042,anxious,0.35,0.0
0.466667,N3,0.3186,0.249,0.2062,0.3128,anxious,0.35,0.0
0.475,N3,0.3047,0.2351,0.2288,0.3368,fearful,0.35,0.0
0.483333,N3,0.2976,0.245,0.161,0.3037,joyful,0.35,0.0
0.491667,N3,0.294,0.2221,0.1942,0.3207,melancholic,0.35,0.0
0.5,N3,0.2998,0.2693,0.1784,0.3174,anxious,0.35,0.0
0.508333,N3,0.3187,0.2352,0.1808,0.3032,melancholic,0.35,0.0
0.516667,N3,0.3175,0.2553,0.187,0.3173,anxious,0.35,0.0
0.525,N3,0.2883,0.2611,0.2079,0.3056,melancholic,0.35,0.0
0.533333,N3,0.3,0.2387,0.1805,0.3057,neutral,0.35,0.0
0.541667,N3,0.2806,0.2592,0.1927,0.3028,fearful,0.35,0.0
