time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5208,0.286,0.3389,0.326,neutral,0.407,0.0
0.083333,N2,0.4204,0.2922,0.2769,0.3005,neutral,0.445,0.0
0.166667,N2,0.4633,0.2958,0.283,0.3699,curious,0.45,0.0
0.25,N2,0.4658,0.2878,0.2914,0.3297,neutral,0.454,0.0
0.333333,N2,0.4371,0.2793,0.2836,0.336,neutral,0.417,0.0
0.416667,N3,0.3202,0.1804,0.2032,0.3087,neutral,0.35,0.0
0.5,N3,0.2912,0.2092,0.2129,0.355,neutral,0.35,0.0
0.583333,N3,0.3161,0.2032,0.2113,0.2959,neutral,0.35,0.0
0.666667,N3,0.2899,0.1971,0.178,0.262,neutral,0.35,0.0
0.75,N3,0.2969,0.2128,0.2017,0.3251,joyful,0.35,0.0
0.833333,N3,0.274,0.1563,0.1995,0.3208,curious,0.35,0.0
0.916667,N3,0.3212,0.2208,0.2034,0.2785,serene,0.35,0.0
