time_hours,node_id,node_label,activation
0.0,mem::loud_crowd,loud_crowd,0.5122
0.0,mem::childhood_home,childhood_home,0.4871
0.0,mem::school_corridor,school_corridor,0.4688
0.0,mem::being_late,being_late,0.4659
0.0,mem::grief,grief,0.4437
0.0,mem::cold_water,cold_water,0.4187
0.0,mem::flying,flying,0.3642
0.0,mem::dread,dread,0.34
0.0,mem::bright_light,bright_light,0.3226
0.0,event::had_a_long_meeting,had a long meeting,0.299
0.0,mem::being_chased,being_chased,0.2617
0.0,mem::falling,falling,0.2537
0.083333,mem::childhood_home,childhood_home,1.0
0.083333,mem::school_corridor,school_corridor,1.0
0.083333,mem::being_late,being_late,1.0
0.083333,mem::cold_water,cold_water,1.0
0.083333,mem::loud_crowd,loud_crowd,1.0
0.083333,mem::grief,grief,1.0
0.083333,mem::dread,dread,1.0
0.083333,mem::being_chased,being_chased,0.9744
0.083333,mem::falling,falling,0.9668
0.083333,mem::teeth_loosening,teeth_loosening,0.9648
0.083333,mem::flying,flying,0.629
0.083333,mem::bright_light,bright_light,0.5901
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,mem::flying,flying,0.8747
0.166667,mem::bright_light,bright_light,0.8384
0.25,mem::childhood_home,childhood_home,1.0
0.25,mem::school_corridor,school_corridor,1.0
0.25,mem::falling,falling,1.0
0.25,mem::being_chased,being_chased,1.0
0.25,mem::being_late,being_late,1.0
0.25,mem::teeth_loosening,teeth_loosening,1.0
0.25,mem::cold_water,cold_water,1.0
0.25,mem::loud_crowd,loud_crowd,1.0
0.25,mem::grief,grief,1.0
0.25,mem::dread,dread,1.0
0.25,mem::flying,flying,0.9673
0.25,mem::bright_light,bright_light,0.9333
