time_hours,node_id,node_label,activation
0.0,mem::being_late,being_late,0.4521
0.0,mem::loud_crowd,loud_crowd,0.4122
0.0,event::code_review,code review,0.3898
0.0,mem::bright_light,bright_light,0.3808
0.0,mem::grief,grief,0.3473
0.0,mem::flying,flying,0.3422
0.0,mem::dread,dread,0.33
0.0,mem::cold_water,cold_water,0.3142
0.0,mem::recurring_journey,recurring_journey,0.3042
0.0,mem::falling,falling,0.2924
0.0,mem::being_chased,being_chased,0.2909
0.0,mem::teeth_loosening,teeth_loosening,0.2906
0.833333,mem::bright_light,bright_light,0.4167
0.833333,mem::flying,flying,0.4048
0.833333,mem::familiar_face,familiar_face,0.3804
0.833333,mem::being_late,being_late,0.368
0.833333,event::design_discussion,design discussion,0.3614
0.833333,mem::joy,joy,0.3543
0.833333,mem::loud_crowd,loud_crowd,0.3521
0.833333,event::code_review,code review,0.3432
0.833333,mem::wonder,wonder,0.3344
0.833333,mem::grief,grief,0.3264
0.833333,mem::dread,dread,0.3196
0.833333,mem::cold_water,cold_water,0.3132
