time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5207,0.3113,0.2852,0.3231,fearful,0.402,0.0
0.008333,N1,0.5046,0.2681,0.2918,0.321,anxious,0.399,0.0
0.016667,N1,0.4736,0.2956,0.3124,0.3569,anxious,0.36,0.0
0.025,N1,0.484,0.2891,0.2993,0.3537,anxious,0.44,0.0
0.033333,N1,0.4721,0.281,0.3163,0.3214,joyful,0.408,0.0
0.041667,N1,0.5166,0.2654,0.3019,0.3557,melancholic,0.446,0.0
0.05,N1,0.4791,0.2964,0.269,0.3464,anxious,0.454,0.0
0.058333,N1,0.517,0.3265,0.298,0.3766,melancholic,0.444,0.0
0.066667,N3,0.263,0.1689,0.1827,0.3563,curious,0.35,0.0
0.075,N3,0.2822,0.2347,0.1947,0.334,curious,0.35,0.0
0.083333,N3,0.3034,0.1802,0.2095,0.3761,neutral,0.332,0.0
0.091667,N3,0.3123,0.2142,0.2184,0.3467,anxious,0.35,0.0
0.1,N3,0.2977,0.2098,0.2133,0.3362,anxious,0.35,0.0
0.108333,N3,0.2718,0.208,0.2454,0.312,neutral,0.35,0.0
0.116667,N3,0.2778,0.2181,0.211,0.3646,neutral,0.35,0.0
0.125,N3,0.3411,0.2091,0.1895,0.3712,anxious,0.35,0.0
0.133333,N3,0.2874,0.2085,0.2082,0.3359,anxious,0.35,0.0
0.141667,N3,0.3109,0.234,0.2116,0.3291,joyful,0.35,0.0
0.15,N3,0.2905,0.2141,0.1828,0.2898,curious,0.35,0.0
0.158333,N3,0.3313,0.2039,0.1931,0.318,neutral,0.35,0.0
0.166667,N3,0.3028,0.2105,0.2016,0.3788,anxious,0.35,0.0
0.175,N3,0.3085,0.1863,0.1938,0.3412,curious,0.35,0.0
0.183333,N3,0.2817,0.2128,0.2105,0.3482,curious,0.35,0.0
0.191667,N3,0.2963,0.208,0.1976,0.3107,anxious,0.35,0.0
0.2,N3,0.2912,0.2193,0.185,0.3214,anxious,0.35,0.0
0.208333,N3,0.3288,0.2354,0.1984,0.3299,anxious,0.35,0.0
0.216667,N3,0.2907,0.1808,0.1997,0.3478,anxious,0.35,0.0
0.225,N3,0.3118,0.2086,0.2183,0.3434,anxious,0.35,0.0
0.233333,N3,0.3237,0.1771,0.1837,0.3553,neutral,0.35,0.0
0.241667,N3,0.337,0.2227,0.2233,0.3351,joyful,0.35,0.0
0.25,N3,0.3035,0.1928,0.1852,0.3441,neutral,0.35,0.0
0.258333,N3,0.3003,0.2042,0.1901,0.3298,neutral,0.35,0.0
0.266667,N3,0.3106,0.1912,0.1898,0.3486,anxious,0.35,0.0
0.275,N3,0.3009,0.2322,0.1892,0.3594,serene,0.35,0.0
0.283333,N3,0.2967,0.1991,0.1922,0.3292,joyful,0.35,0.0
0.291667,N3,0.2586,0.2147,0.2058,0.3309,anxious,0.35,0.0
0.3,N2,0.4504,0.3025,0.301,0.293,joyful,0.472,0.0
0.308333,N2,0.4604,0.2377,0.2875,0.3223,serene,0.452,0.0
0.316667,N3,0.3064,0.2259,0.1959,0.3254,curious,0.35,0.0
0.325,N3,0.2931,0.2021,0.198,0.3886,melancholic,0.35,0.0
0.333333,N3,0.2937,0.1721,0.2057,0.344,anxious,0.35,0.0
0.341667,N3,0.3215,0.2295,0.1819,0.3314,curious,0.35,0.0
0.35,N3,0.3362,0.1797,0.2067,0.3432,joyful,0.35,0.0
0.358333,N3,0.2919,0.2206,0.2084,0.2974,anxious,0.35,0.0
0.366667,N3,0.2957,0.2348,0.2286,0.2899,joyful,0.35,0.0
0.375,N3,0.2843,0.1955,0.2036,0.3154,fearful,0.35,0.0
0.383333,N3,0.2785,0.2,0.2106,0.3275,joyful,0.35,0.0
0.391667,N3,0.2904,0.1748,0.2065,0.3366,anxious,0.35,0.0
0.4,N3,0.3007,0.1869,0.1962,0.3394,neutral,0.35,0.0
0.408333,N3,0.2971,0.2319,0.2676,0.287,joyful,0.35,0.0
0.416667,N3,0.3005,0.2281,0.2056,0.3128,anxious,0.35,0.0
0.425,N3,0.3468,0.1692,0.1967,0.3012,anxious,0.35,0.0
0.433333,N3,0.2737,0.1973,0.2022,0.3273,anxious,0.35,0.0
0.441667,N3,0.298,0.2242,0.2263,0.3306,joyful,0.35,0.0
0.45,N3,0.3097,0.1896,0.155,0.3117,melancholic,0.35,0.0
0.458333,N3,0.2765,0.2059,0.2193,0.3131,fearful,0.35,0.0
0.466667,N3,0.2844,0.2386,0.1968,0.3042,anxious,0.35,0.0
0.475,N3,0.2861,0.2041,0.2027,0.337,anxious,0.35,0.0
0.483333,N3,0.2737,0.193,0.1908,0.313,anxious,0.35,0.0
0.491667,N3,0.2896,0.198,0.2517,0.3052,anxious,0.35,0.0
0.5,N3,0.324,0.2102,0.146,0.3208,anxious,0.35,0.0
0.508333,N3,0.2364,0.174,0.2145,0.2974,melancholic,0.35,0.0
0.516667,N3,0.3055,0.1877,0.1993,0.315,neutral,0.35,0.0
0.525,N3,0.3036,0.1992,0.217,0.3356,neutral,0.35,0.0
0.533333,N3,0.3203,0.213,0.1817,0.3214,anxious,0.35,0.0
0.541667,N3,0.3084,0.1615,0.1935,0.2934,anxious,0.35,0.0
0.55,N3,0.2942,0.1851,0.1838,0.3247,melancholic,0.35,0.0
0.558333,N3,0.3148,0.2145,0.2046,0.2952,fearful,0.35,0.0
0.566667,N3,0.3053,0.175,0.1995,0.2664,neutral,0.35,0.0
0.575,N3,0.2886,0.169,0.2381,0.279,anxious,0.35,0.0
0.583333,N3,0.2882,0.2502,0.2395,0.2966,melancholic,0.35,0.0
0.591667,N3,0.3251,0.2286,0.2115,0.3098,anxious,0.35,0.0
0.6,N3,0.2688,0.2165,0.2129,0.2991,neutral,0.35,0.0
0.608333,N3,0.3119,0.2135,0.1903,0.3055,anxious,0.35,0.0
0.616667,N3,0.2885,0.2006,0.2105,0.3025,fearful,0.35,0.0
0.625,N3,0.3003,0.1919,0.1973,0.3147,fearful,0.35,0.0
0.633333,N3,0.3072,0.1332,0.22,0.2827,neutral,0.35,0.0
0.641667,N3,0.2462,0.1886,0.1835,0.2847,serene,0.35,0.0
0.65,N3,0.2597,0.2241,0.2213,0.2951,anxious,0.35,0.0
0.658333,N3,0.3098,0.1693,0.2194,0.2724,anxious,0.35,0.0
0.666667,N3,0.3129,0.2177,0.1842,0.2833,curious,0.35,0.0
