time_hours,node_id,node_label,activation
0.0,mem::dread,dread,0.3778
0.0,mem::flying,flying,0.3721
0.0,mem::childhood_home,childhood_home,0.3631
0.0,mem::teeth_loosening,teeth_loosening,0.3064
0.0,mem::being_chased,being_chased,0.2909
0.0,event::code_review,code review,0.2682
0.0,mem::school_corridor,school_corridor,0.2441
0.0,mem::being_late,being_late,0.2298
0.0,event::design_discussion,design discussion,0.22
0.0,mem::bright_light,bright_light,0.196
0.0,mem::familiar_face,familiar_face,0.1928
0.0,mem::cold_water,cold_water,0.184
0.833333,mem::dread,dread,0.3143
0.833333,mem::childhood_home,childhood_home,0.3086
0.833333,mem::teeth_loosening,teeth_loosening,0.286
0.833333,mem::being_chased,being_chased,0.2799
0.833333,event::code_review,code review,0.2709
0.833333,mem::flying,flying,0.2647
0.833333,mem::school_corridor,school_corridor,0.2613
0.833333,mem::being_late,being_late,0.2555
0.833333,mem::cold_water,cold_water,0.2373
0.833333,mem::grief,grief,0.2265
0.833333,mem::falling,falling,0.2046
0.833333,mem::loud_crowd,loud_crowd,0.2039
