time_hours,node_id,node_label,activation
0.0,mem::cold_water,cold_water,0.3923
0.0,event::design_discussion,design discussion,0.3738
0.0,mem::bright_light,bright_light,0.3629
0.0,mem::flying,flying,0.3354
0.0,mem::recurring_journey,recurring_journey,0.3108
0.0,mem::childhood_home,childhood_home,0.2984
0.0,mem::teeth_loosening,teeth_loosening,0.2699
0.0,mem::school_corridor,school_corridor,0.2632
0.0,mem::being_late,being_late,0.2466
0.0,mem::grief,grief,0.242
0.0,event::code_review,code review,0.2369
0.0,mem::joy,joy,0.2213
0.833333,mem::cold_water,cold_water,0.2738
0.833333,event::design_discussion,design discussion,0.2429
0.833333,mem::bright_light,bright_light,0.2381
0.833333,mem::childhood_home,childhood_home,0.2314
0.833333,mem::flying,flying,0.2256
0.833333,mem::teeth_loosening,teeth_loosening,0.2185
0.833333,mem::school_corridor,school_corridor,0.2154
0.833333,mem::being_late,being_late,0.208
0.833333,mem::grief,grief,0.2058
0.833333,mem::loud_crowd,loud_crowd,0.1951
0.833333,event::code_review,code review,0.181
0.833333,mem::joy,joy,0.174
