time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4403
0.0,mem::being_late,being_late,0.3879
0.0,mem::loud_crowd,loud_crowd,0.3815
0.0,mem::joy,joy,0.3731
0.0,mem::dread,dread,0.368
0.0,mem::flying,flying,0.3607
0.0,mem::school_corridor,school_corridor,0.3568
0.0,mem::teeth_loosening,teeth_loosening,0.3166
0.0,mem::wonder,wonder,0.2977
0.0,event::code_review,code review,0.2662
0.0,mem::recurring_journey,recurring_journey,0.2635
0.0,mem::childhood_home,childhood_home,0.2449
0.833333,event::design_discussion,design discussion,0.3452
0.833333,mem::being_late,being_late,0.3269
0.833333,mem::joy,joy,0.326
0.833333,mem::loud_crowd,loud_crowd,0.3247
0.833333,mem::flying,flying,0.3211
0.833333,mem::dread,dread,0.32
0.833333,mem::school_corridor,school_corridor,0.3159
0.833333,mem::teeth_loosening,teeth_loosening,0.3019
0.833333,mem::wonder,wonder,0.2961
0.833333,event::code_review,code review,0.2836
0.833333,mem::childhood_home,childhood_home,0.2769
0.833333,mem::cold_water,cold_water,0.2685
