time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5145,0.3123,0.3361,0.3467,anxious,0.393,0.0
0.083333,N2,0.4648,0.3086,0.2954,0.3656,anxious,0.361,0.0
0.166667,N2,0.4707,0.3009,0.2914,0.3327,serene,0.399,0.0
0.25,N2,0.4453,0.3103,0.2655,0.3183,curious,0.394,0.0
0.333333,N2,0.4409,0.263,0.2977,0.3104,neutral,0.431,0.0
0.416667,N3,0.3073,0.1749,0.1911,0.348,neutral,0.35,0.0
0.5,N3,0.3046,0.2021,0.1884,0.331,anxious,0.35,0.0
0.583333,N3,0.3227,0.1931,0.1592,0.2901,curious,0.35,0.0
0.666667,N3,0.2926,0.2049,0.1899,0.2809,neutral,0.34,0.0
0.75,N2,0.4712,0.2636,0.2563,0.32,melancholic,0.465,0.0
0.833333,N2,0.4601,0.2883,0.2693,0.2808,melancholic,0.455,0.0
0.916667,N2,0.4704,0.3123,0.2966,0.2823,joyful,0.428,0.0
