time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5032,0.299,0.2705,0.3826,curious,0.346,0.0
0.083333,N1,0.4788,0.2994,0.2743,0.3711,neutral,0.402,0.0
0.166667,N2,0.4579,0.2461,0.2845,0.365,joyful,0.483,0.0
0.25,N2,0.4691,0.2827,0.2742,0.3219,joyful,0.413,0.0
0.333333,N2,0.4832,0.266,0.2954,0.3625,neutral,0.454,0.0
0.416667,N3,0.3031,0.1731,0.1836,0.3181,anxious,0.35,0.0
0.5,N3,0.278,0.1898,0.199,0.3204,neutral,0.346,0.0
0.583333,N3,0.2859,0.2189,0.1791,0.3108,curious,0.35,0.0
0.666667,N3,0.3043,0.2103,0.1991,0.2789,neutral,0.35,0.0
0.75,N3,0.2807,0.1797,0.1913,0.2769,anxious,0.35,0.0
0.833333,N3,0.3021,0.2284,0.2083,0.2993,joyful,0.35,0.0
0.916667,N2,0.4332,0.2618,0.3025,0.2506,neutral,0.389,0.0
