time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4932,0.3187,0.2853,0.3561,neutral,0.446,0.0
0.083333,N2,0.4708,0.2756,0.2512,0.3532,neutral,0.38,0.0
0.166667,N2,0.4534,0.2926,0.2846,0.3733,neutral,0.442,0.0
0.25,N2,0.4332,0.3095,0.2882,0.3212,anxious,0.429,0.0
0.333333,N2,0.4125,0.2832,0.283,0.2953,melancholic,0.426,0.0
0.416667,N2,0.4578,0.3107,0.2706,0.338,neutral,0.461,0.0
0.5,N3,0.2871,0.194,0.2036,0.3114,fearful,0.35,0.0
0.583333,N3,0.3189,0.1783,0.2257,0.3095,anxious,0.35,0.0
0.666667,N3,0.3154,0.1745,0.2204,0.3306,curious,0.35,0.0
0.75,N3,0.3015,0.2219,0.2227,0.2873,joyful,0.35,0.0
0.833333,N3,0.3041,0.2456,0.2372,0.3015,neutral,0.35,0.0
0.916667,N3,0.3031,0.1928,0.175,0.2776,curious,0.35,0.0
