time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5123,0.3188,0.3129,0.3681,anxious,0.432,0.0
0.008333,N1,0.527,0.3638,0.3114,0.3386,anxious,0.421,0.0
0.016667,N1,0.5422,0.3153,0.3132,0.3497,neutral,0.481,0.0
0.025,N1,0.504,0.3526,0.2938,0.3247,neutral,0.368,0.0
0.033333,N1,0.5123,0.3106,0.3,0.3649,fearful,0.405,0.0
0.041667,N1,0.485,0.3294,0.2749,0.3135,anxious,0.408,0.0
0.05,N1,0.5172,0.3425,0.319,0.3568,neutral,0.456,0.0
0.058333,N1,0.5001,0.3441,0.2804,0.3269,melancholic,0.455,0.0
0.066667,N1,0.5229,0.3732,0.2926,0.3588,joyful,0.439,0.0
0.075,N1,0.4954,0.3539,0.2845,0.3249,melancholic,0.42,0.0
0.083333,N2,0.4289,0.3578,0.2543,0.3494,melancholic,0.435,0.0
0.091667,N2,0.4761,0.3462,0.2797,0.3365,curious,0.483,0.0
0.1,N2,0.4445,0.3846,0.3082,0.3323,fearful,0.454,0.0
0.108333,N2,0.4019,0.3308,0.2534,0.3558,neutral,0.521,0.0
0.116667,N2,0.4583,0.2999,0.3298,0.3624,fearful,0.419,0.0
0.125,N2,0.4562,0.3096,0.2875,0.3181,curious,0.429,0.0
0.133333,N2,0.4499,0.3294,0.2707,0.3743,joyful,0.48,0.0
0.141667,N2,0.4477,0.344,0.3084,0.331,anxious,0.441,0.0
0.15,N2,0.4438,0.2975,0.2989,0.323,curious,0.401,0.0
0.158333,N2,0.4329,0.3674,0.294,0.3791,anxious,0.473,0.0
0.166667,N2,0.4553,0.3507,0.2722,0.3583,anxious,0.47,0.0
0.175,N2,0.4607,0.3518,0.2816,0.3083,anxious,0.444,0.0
0.183333,N2,0.4321,0.3557,0.2861,0.3053,melancholic,0.43,0.0
0.191667,N2,0.4378,0.3118,0.2928,0.3308,fearful,0.423,0.0
0.2,N2,0.4503,0.3527,0.3133,0.3493,neutral,0.51,0.0
0.208333,N2,0.448,0.3208,0.3,0.3407,melancholic,0.474,0.0
0.216667,N2,0.4349,0.3548,0.2866,0.3553,melancholic,0.434,0.0
0.225,N2,0.4445,0.347,0.2651,0.3306,anxious,0.474,0.0
0.233333,N2,0.4457,0.3656,0.2678,0.2857,melancholic,0.411,0.0
0.241667,N2,0.4587,0.3117,0.2897,0.3268,fearful,0.465,0.0
