time_hours,node_id,node_label,activation
0.0,event::deadline,deadline,0.4537
0.0,mem::grief,grief,0.4184
0.0,mem::teeth_loosening,teeth_loosening,0.4147
0.0,mem::childhood_home,childhood_home,0.4103
0.0,event::crowded_train,crowded train,0.3658
0.0,mem::school_corridor,school_corridor,0.356
0.0,mem::flying,flying,0.3389
0.0,mem::being_chased,being_chased,0.3124
0.0,mem::wonder,wonder,0.2774
0.0,mem::falling,falling,0.2556
0.0,mem::joy,joy,0.2188
0.0,mem::loud_crowd,loud_crowd,0.2173
0.083333,event::deadline,deadline,0.7292
0.083333,mem::grief,grief,0.7173
0.083333,mem::teeth_loosening,teeth_loosening,0.716
0.083333,mem::childhood_home,childhood_home,0.7146
0.083333,event::crowded_train,crowded train,0.6996
0.083333,mem::school_corridor,school_corridor,0.6961
0.083333,mem::being_chased,being_chased,0.6816
0.083333,mem::falling,falling,0.6623
0.083333,mem::loud_crowd,loud_crowd,0.6496
0.083333,mem::dread,dread,0.6488
0.083333,mem::cold_water,cold_water,0.6469
0.083333,mem::being_late,being_late,0.6434
0.166667,event::deadline,deadline,0.8107
0.166667,mem::grief,grief,0.806
0.166667,mem::teeth_loosening,teeth_loosening,0.8055
0.166667,mem::childhood_home,childhood_home,0.8052
0.166667,event::crowded_train,crowded train,0.7993
0.166667,mem::school_corridor,school_corridor,0.7981
0.166667,mem::being_chased,being_chased,0.7925
0.166667,mem::falling,falling,0.7851
0.166667,mem::loud_crowd,loud_crowd,0.7802
0.166667,mem::dread,dread,0.7799
0.166667,mem::cold_water,cold_water,0.779
0.166667,mem::being_late,being_late,0.7778
0.25,event::deadline,deadline,0.8344
0.25,mem::grief,grief,0.8324
0.25,mem::teeth_loosening,teeth_loosening,0.8321
0.25,mem::childhood_home,childhood_home,0.8319
0.25,event::crowded_train,crowded train,0.8294
0.25,mem::school_corridor,school_corridor,0.8288
0.25,mem::being_chased,being_chased,0.8265
0.25,mem::falling,falling,0.8232
0.25,mem::loud_crowd,loud_crowd,0.8212
0.25,mem::dread,dread,0.821
0.25,mem::cold_water,cold_water,0.8206
0.25,mem::being_late,being_late,0.8201
0.333333,event::deadline,deadline,0.8516
0.333333,mem::teeth_loosening,teeth_loosening,0.8508
0.333333,mem::grief,grief,0.8508
0.333333,mem::childhood_home,childhood_home,0.8507
0.333333,event::crowded_train,crowded train,0.8497
0.333333,mem::school_corridor,school_corridor,0.8494
0.333333,mem::being_chased,being_chased,0.8485
0.333333,mem::falling,falling,0.8473
0.333333,mem::loud_crowd,loud_crowd,0.8464
0.333333,mem::cold_water,cold_water,0.8463
0.333333,mem::dread,dread,0.8463
0.333333,mem::being_late,being_late,0.8461
0.416667,event::deadline,deadline,0.8637
0.416667,mem::childhood_home,childhood_home,0.8635
0.416667,mem::teeth_loosening,teeth_loosening,0.8635
0.416667,mem::grief,grief,0.8635
0.416667,event::crowded_train,crowded train,0.8631
0.416667,mem::school_corridor,school_corridor,0.863
0.416667,mem::being_chased,being_chased,0.8625
0.416667,mem::falling,falling,0.8623
0.416667,mem::cold_water,cold_water,0.8619
0.416667,mem::loud_crowd,loud_crowd,0.8619
0.416667,mem::dread,dread,0.8619
0.416667,mem::being_late,being_late,0.8618
0.5,event::deadline,deadline,0.8649
0.5,mem::childhood_home,childhood_home,0.8648
0.5,mem::teeth_loosening,teeth_loosening,0.8648
0.5,mem::grief,grief,0.8648
0.5,mem::school_corridor,school_corridor,0.8646
0.5,event::crowded_train,crowded train,0.8646
0.5,mem::falling,falling,0.8644
0.5,mem::being_chased,being_chased,0.8644
0.5,mem::being_late,being_late,0.8642
0.5,mem::cold_water,cold_water,0.8642
0.5,mem::loud_crowd,loud_crowd,0.8642
0.5,mem::dread,dread,0.8642
0.583333,mem::childhood_home,childhood_home,0.858
0.583333,mem::teeth_loosening,teeth_loosening,0.858
0.583333,mem::grief,grief,0.858
0.583333,event::deadline,deadline,0.858
0.583333,mem::school_corridor,school_corridor,0.8579
0.583333,event::crowded_train,crowded train,0.8579
0.583333,mem::falling,falling,0.8578
0.583333,mem::being_chased,being_chased,0.8578
0.583333,mem::being_late,being_late,0.8578
0.583333,mem::cold_water,cold_water,0.8578
0.583333,mem::loud_crowd,loud_crowd,0.8578
0.583333,mem::dread,dread,0.8578
0.666667,mem::childhood_home,childhood_home,0.8698
0.666667,mem::school_corridor,school_corridor,0.8698
0.666667,mem::falling,falling,0.8698
0.666667,mem::being_chased,being_chased,0.8698
0.666667,mem::being_late,being_late,0.8698
0.666667,mem::teeth_loosening,teeth_loosening,0.8698
0.666667,mem::cold_water,cold_water,0.8698
0.666667,mem::loud_crowd,loud_crowd,0.8698
0.666667,mem::grief,grief,0.8698
0.666667,mem::dread,dread,0.8698
0.666667,event::deadline,deadline,0.8698
0.666667,event::crowded_train,crowded train,0.8698
0.75,mem::childhood_home,childhood_home,0.8733
0.75,mem::school_corridor,school_corridor,0.8733
0.75,mem::falling,falling,0.8733
0.75,mem::being_chased,being_chased,0.8733
0.75,mem::being_late,being_late,0.8733
