time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5057,0.3163,0.2932,0.3448,fearful,0.468,0.0
0.008333,N1,0.5059,0.3093,0.3183,0.356,anxious,0.451,0.0
0.016667,N1,0.5246,0.2956,0.3251,0.3438,serene,0.398,0.0
0.025,N1,0.4767,0.282,0.3189,0.3681,anxious,0.443,0.0
0.033333,N1,0.5294,0.2749,0.2836,0.3494,anxious,0.39,0.0
0.041667,N1,0.4977,0.3091,0.3284,0.3298,anxious,0.477,0.0
0.05,N1,0.4833,0.302,0.2906,0.3214,neutral,0.42,0.0
0.058333,N1,0.5356,0.3067,0.2857,0.343,anxious,0.482,0.0
0.066667,N2,0.4573,0.2781,0.2815,0.3158,anxious,0.487,0.0
0.075,N2,0.451,0.2419,0.2648,0.3539,melancholic,0.519,0.0
0.083333,N2,0.4656,0.2631,0.3165,0.3322,anxious,0.516,0.0
0.091667,N2,0.4612,0.2684,0.2947,0.3511,curious,0.484,0.0
0.1,N2,0.4542,0.296,0.292,0.3157,anxious,0.464,0.0
0.108333,N2,0.4383,0.2666,0.2742,0.3579,anxious,0.46,0.0
0.116667,N2,0.4568,0.271,0.2973,0.3152,melancholic,0.441,0.0
0.125,N2,0.4531,0.2705,0.273,0.3097,anxious,0.475,0.0
0.133333,N2,0.4572,0.2849,0.2823,0.3314,curious,0.517,0.0
0.141667,N2,0.43,0.3082,0.2528,0.3297,neutral,0.472,0.0
0.15,N2,0.4594,0.2658,0.2757,0.3189,fearful,0.455,0.0
0.158333,N2,0.4751,0.2575,0.2871,0.3777,fearful,0.483,0.0
0.166667,N2,0.4472,0.2798,0.2655,0.285,anxious,0.495,0.0
0.175,N2,0.4763,0.2332,0.2478,0.3267,curious,0.511,0.0
0.183333,N2,0.4331,0.2745,0.2908,0.341,fearful,0.451,0.0
0.191667,N2,0.4495,0.2837,0.2725,0.3333,joyful,0.449,0.0
0.2,N2,0.4425,0.2742,0.2845,0.3846,anxious,0.503,0.0
0.208333,N2,0.4376,0.2969,0.2599,0.3452,neutral,0.522,0.0
0.216667,N2,0.4459,0.2898,0.2676,0.3241,anxious,0.504,0.0
0.225,N2,0.4531,0.3048,0.2569,0.3684,anxious,0.512,0.0
0.233333,N2,0.4247,0.2876,0.2684,0.3432,anxious,0.44,0.0
0.241667,N2,0.4755,0.3164,0.2846,0.3219,joyful,0.495,0.0
0.25,N2,0.4711,0.268,0.2754,0.3488,anxious,0.485,0.0
0.258333,N2,0.4298,0.2799,0.3002,0.3768,neutral,0.466,0.0
0.266667,N2,0.4495,0.2901,0.3028,0.3284,anxious,0.43,0.0
0.275,N2,0.4632,0.3164,0.2484,0.3232,neutral,0.484,0.0
0.283333,N2,0.4748,0.2804,0.2882,0.3268,anxious,0.431,0.0
0.291667,N2,0.4379,0.2955,0.3096,0.3369,anxious,0.519,0.0
0.3,N2,0.4661,0.2761,0.2792,0.3134,melancholic,0.476,0.0
0.308333,N2,0.4552,0.2823,0.261,0.2774,anxious,0.525,0.0
0.316667,N2,0.4093,0.2489,0.28,0.3114,neutral,0.49,0.0
0.325,N2,0.4478,0.2804,0.2704,0.3531,fearful,0.453,0.0
0.333333,N2,0.4625,0.275,0.2575,0.3267,anxious,0.517,0.0
0.341667,N2,0.4534,0.2886,0.3211,0.3332,neutral,0.435,0.0
0.35,N2,0.4592,0.2486,0.2443,0.3372,anxious,0.474,0.0
0.358333,N2,0.453,0.2738,0.2821,0.3096,anxious,0.485,0.0
0.366667,N2,0.4208,0.3388,0.2935,0.3213,anxious,0.444,0.0
0.375,N2,0.4785,0.2699,0.2782,0.3405,serene,0.45,0.0
0.383333,N3,0.2803,0.2092,0.2074,0.3175,anxious,0.35,0.0
0.391667,N3,0.2723,0.1822,0.229,0.3313,anxious,0.35,0.0
0.4,N3,0.3017,0.2022,0.2228,0.3005,melancholic,0.35,0.0
0.408333,N3,0.2941,0.1746,0.183,0.3018,anxious,0.35,0.0
0.416667,N3,0.2887,0.1833,0.1977,0.314,melancholic,0.35,0.0
0.425,N3,0.2889,0.2288,0.1907,0.3144,serene,0.35,0.0
0.433333,N3,0.2817,0.2095,0.1873,0.3125,anxious,0.35,0.0
0.441667,N3,0.318,0.2003,0.187,0.3037,melancholic,0.35,0.0
0.45,N3,0.2804,0.1966,0.2066,0.2958,anxious,0.35,0.0
0.458333,N3,0.2803,0.1888,0.2271,0.3154,melancholic,0.35,0.0
0.466667,N3,0.3248,0.1983,0.1906,0.3021,anxious,0.35,0.0
0.475,N3,0.2798,0.1818,0.176,0.3252,anxious,0.35,0.0
0.483333,N3,0.2959,0.1903,0.1478,0.3119,fearful,0.35,0.0
0.491667,N3,0.326,0.2013,0.1885,0.3187,anxious,0.35,0.0
0.5,N3,0.2941,0.2205,0.2065,0.2896,curious,0.338,0.0
0.508333,N3,0.2684,0.1986,0.189,0.3001,joyful,0.35,0.0
0.516667,N3,0.289,0.1723,0.1977,0.2823,serene,0.35,0.0
0.525,N3,0.3128,0.1966,0.1946,0.3,anxious,0.35,0.0
0.533333,N3,0.3346,0.2022,0.2011,0.2744,curious,0.35,0.0
0.541667,N3,0.2988,0.2196,0.2224,0.2815,anxious,0.35,0.0
0.55,N3,0.3311,0.1876,0.1859,0.3074,melancholic,0.35,0.0
0.558333,N3,0.2946,0.1984,0.2102,0.3131,anxious,0.35,0.0
0.566667,N3,0.279,0.2155,0.2021,0.2814,melancholic,0.35,0.0
0.575,N3,0.2861,0.2156,0.202,0.2761,anxious,0.35,0.0
0.583333,N3,0.296,0.1781,0.2649,0.2933,neutral,0.35,0.0
0.591667,N3,0.321,0.1991,0.2101,0.2988,joyful,0.35,0.0
0.6,N3,0.31,0.1891,0.2062,0.2965,melancholic,0.35,0.0
0.608333,N3,0.3111,0.2177,0.2286,0.3218,anxious,0.35,0.0
0.616667,N3,0.2683,0.2233,0.1664,0.3135,anxious,0.35,0.0
0.625,N3,0.2996,0.1925,0.1776,0.3156,anxious,0.35,0.0
0.633333,N3,0.2857,0.1965,0.1841,0.346,fearful,0.35,0.0
0.641667,N3,0.3221,0.2027,0.2336,0.3506,anxious,0.35,0.0
0.65,N3,0.3022,0.2168,0.2042,0.325,anxious,0.35,0.0
0.658333,N3,0.3171,0.1654,0.2045,0.2979,anxious,0.35,0.0
0.666667,N3,0.2977,0.2221,0.1932,0.2808,fearful,0.35,0.0
0.675,N3,0.2455,0.2154,0.1782,0.291,serene,0.35,0.0
0.683333,N3,0.3297,0.2024,0.1867,0.2952,anxious,0.35,0.0
0.691667,N3,0.3021,0.2345,0.2006,0.2605,anxious,0.35,0.0
0.7,N3,0.2977,0.1711,0.196,0.3133,melancholic,0.35,0.0
0.708333,N3,0.2966,0.1961,0.1938,0.2764,anxious,0.35,0.0
0.716667,N3,0.3212,0.1789,0.1947,0.3034,anxious,0.35,0.0
0.725,N3,0.3033,0.1945,0.2062,0.2693,anxious,0.35,0.0
0.733333,N3,0.2845,0.2248,0.2185,0.3159,fearful,0.35,0.0
0.741667,N3,0.2746,0.191,0.2358,0.3009,melancholic,0.35,0.0
0.75,N3,0.2625,0.206,0.2146,0.2929,melancholic,0.35,0.0
0.758333,N3,0.3077,0.2248,0.1642,0.2758,fearful,0.35,0.0
0.766667,N3,0.3172,0.205,0.2181,0.3077,anxious,0.35,0.0
0.775,N3,0.2863,0.1706,0.1759,0.2833,melancholic,0.35,0.0
0.783333,N3,0.3094,0.1564,0.2357,0.2914,anxious,0.35,0.0
0.791667,N3,0.3053,0.2016,0.1824,0.2605,anxious,0.35,0.0
0.8,N3,0.3089,0.1855,0.1947,0.3051,anxious,0.35,0.0
0.808333,N3,0.2866,0.1922,0.1881,0.3097,fearful,0.35,0.0
0.816667,N3,0.2945,0.1918,0.2018,0.2817,anxious,0.35,0.0
0.825,N3,0.3065,0.2087,0.2074,0.2616,anxious,0.35,0.0
0.833333,N3,0.2731,0.215,0.1883,0.3066,fearful,0.35,0.0
0.841667,N3,0.2937,0.2162,0.2125,0.2864,anxious,0.35,0.0
0.85,N3,0.3036,0.1772,0.2084,0.3023,anxious,0.35,0.0
0.858333,N3,0.3158,0.195,0.2138,0.2544,joyful,0.35,0.0
0.866667,N3,0.308,0.2063,0.2357,0.2749,melancholic,0.35,0.0
0.875,N3,0.2961,0.2246,0.2131,0.2556,curious,0.35,0.0
0.883333,N2,0.4576,0.298,0.2625,0.2946,melancholic,0.486,0.0
0.891667,N2,0.4516,0.2797,0.2752,0.2707,melancholic,0.491,0.0
0.9,N2,0.4612,0.2853,0.3128,0.3086,anxious,0.437,0.0
0.908333,N2,0.4548,0.2824,0.2563,0.2978,anxious,0.487,0.0
0.916667,N2,0.4231,0.2473,0.2697,0.2659,anxious,0.514,0.0
0.925,N2,0.4303,0.2827,0.3263,0.2745,neutral,0.453,0.0
