time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5,0.3215,0.3052,0.3495,neutral,0.304,0.0
0.008333,N1,0.4878,0.3269,0.2842,0.3219,neutral,0.375,0.0
0.016667,N1,0.4906,0.289,0.3308,0.3402,joyful,0.359,0.0
0.025,N1,0.4882,0.3155,0.2798,0.379,joyful,0.358,0.0
0.033333,N1,0.5091,0.3188,0.3018,0.337,melancholic,0.43,0.0
0.041667,N1,0.4788,0.2928,0.3083,0.3183,serene,0.371,0.0
0.05,N1,0.4947,0.314,0.2737,0.3398,neutral,0.413,0.0
0.058333,N1,0.4926,0.266,0.2655,0.3409,melancholic,0.413,0.0
0.066667,N1,0.5079,0.2848,0.2887,0.3604,joyful,0.348,0.0
0.075,N1,0.4898,0.2851,0.2825,0.3441,neutral,0.331,0.0
0.083333,N2,0.4798,0.2758,0.2765,0.3438,neutral,0.487,0.0
0.091667,N2,0.438,0.2638,0.2693,0.3866,anxious,0.389,0.0
0.1,N2,0.4405,0.2682,0.2219,0.3168,joyful,0.413,0.0
0.108333,N2,0.4489,0.2708,0.2621,0.3275,neutral,0.316,0.0
0.116667,N2,0.4432,0.2781,0.2789,0.3359,anxious,0.418,0.0
0.125,N2,0.4274,0.265,0.2621,0.3513,neutral,0.445,0.0
0.133333,N2,0.448,0.2908,0.2798,0.3665,joyful,0.424,0.0
0.141667,N2,0.4349,0.2801,0.2917,0.368,melancholic,0.399,0.0
0.15,N2,0.4538,0.2885,0.2713,0.3621,neutral,0.323,0.0
0.158333,N2,0.4711,0.2687,0.3032,0.3014,neutral,0.428,0.0
0.166667,N2,0.4785,0.3292,0.2694,0.3173,melancholic,0.455,0.0
0.175,N2,0.4525,0.2783,0.2761,0.3041,neutral,0.373,0.0
0.183333,N2,0.4616,0.2432,0.3222,0.3642,neutral,0.417,0.0
0.191667,N2,0.4532,0.2418,0.2973,0.311,neutral,0.385,0.0
0.2,N2,0.4703,0.2801,0.2919,0.3354,anxious,0.397,0.0
0.208333,N2,0.4707,0.2856,0.2898,0.3141,neutral,0.358,0.0
0.216667,N2,0.4468,0.2925,0.2533,0.3464,neutral,0.428,0.0
0.225,N2,0.4253,0.293,0.2734,0.301,neutral,0.384,0.0
0.233333,N2,0.445,0.2722,0.2717,0.331,neutral,0.374,0.0
0.241667,N2,0.4299,0.2978,0.2538,0.3663,curious,0.373,0.0
0.25,N2,0.4436,0.3158,0.2933,0.3521,joyful,0.466,0.0
0.258333,N2,0.434,0.2693,0.2731,0.3006,serene,0.403,0.0
0.266667,N2,0.4465,0.2987,0.2556,0.3203,neutral,0.429,0.0
0.275,N2,0.4373,0.259,0.269,0.3373,curious,0.359,0.0
