time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.5734
0.0,mem::familiar_face,familiar_face,0.4994
0.0,mem::wonder,wonder,0.4378
0.0,mem::joy,joy,0.4203
0.0,mem::dread,dread,0.39
0.0,mem::cold_water,cold_water,0.3664
0.0,mem::being_late,being_late,0.3656
0.0,mem::flying,flying,0.3113
0.0,mem::teeth_loosening,teeth_loosening,0.307
0.0,mem::bright_light,bright_light,0.284
0.0,mem::recurring_journey,recurring_journey,0.2775
0.0,mem::grief,grief,0.2336
0.083333,event::had_a_long_meeting,had a long meeting,0.8227
0.083333,mem::familiar_face,familiar_face,0.7536
0.083333,mem::wonder,wonder,0.6959
0.083333,mem::joy,joy,0.6795
0.083333,mem::flying,flying,0.5775
0.083333,mem::bright_light,bright_light,0.552
0.083333,mem::dread,dread,0.3648
0.083333,mem::cold_water,cold_water,0.3428
0.083333,mem::being_late,being_late,0.3421
0.083333,mem::teeth_loosening,teeth_loosening,0.2873
0.083333,mem::recurring_journey,recurring_journey,0.2597
0.083333,mem::grief,grief,0.2185
0.166667,mem::dread,dread,0.9246
0.166667,event::had_a_long_meeting,had a long meeting,0.9109
0.166667,mem::cold_water,cold_water,0.9041
0.166667,mem::being_late,being_late,0.9034
0.166667,mem::teeth_loosening,teeth_loosening,0.8521
0.166667,mem::familiar_face,familiar_face,0.8462
0.166667,mem::wonder,wonder,0.7923
0.166667,mem::grief,grief,0.7877
0.166667,mem::joy,joy,0.777
0.166667,mem::school_corridor,school_corridor,0.7715
0.166667,mem::loud_crowd,loud_crowd,0.7622
0.166667,mem::childhood_home,childhood_home,0.7525
0.25,mem::familiar_face,familiar_face,0.9868
0.25,mem::flying,flying,0.9868
0.25,mem::bright_light,bright_light,0.9868
0.25,mem::joy,joy,0.9868
0.25,mem::wonder,wonder,0.9868
0.25,event::had_a_long_meeting,had a long meeting,0.9868
0.25,mem::being_late,being_late,0.9418
0.25,mem::cold_water,cold_water,0.9418
0.25,mem::dread,dread,0.9418
0.25,mem::teeth_loosening,teeth_loosening,0.9384
