time_hours,node_id,node_label,activation
0.0,mem::wonder,wonder,0.3915
0.0,mem::familiar_face,familiar_face,0.3255
0.0,mem::teeth_loosening,teeth_loosening,0.3172
0.0,mem::bright_light,bright_light,0.3097
0.0,mem::falling,falling,0.299
0.0,mem::loud_crowd,loud_crowd,0.2825
0.0,mem::joy,joy,0.2671
0.0,event::code_review,code review,0.2524
0.0,mem::cold_water,cold_water,0.2437
0.0,mem::being_late,being_late,0.2367
0.0,mem::grief,grief,0.236
0.0,mem::recurring_journey,recurring_journey,0.2359
0.833333,mem::teeth_loosening,teeth_loosening,0.3532
0.833333,mem::falling,falling,0.3467
0.833333,mem::loud_crowd,loud_crowd,0.341
0.833333,mem::cold_water,cold_water,0.3273
0.833333,mem::being_late,being_late,0.3249
0.833333,mem::grief,grief,0.3247
0.833333,mem::being_chased,being_chased,0.3172
0.833333,event::design_discussion,design discussion,0.3127
0.833333,mem::childhood_home,childhood_home,0.3059
0.833333,mem::school_corridor,school_corridor,0.2941
0.833333,mem::dread,dread,0.2914
0.833333,mem::wonder,wonder,0.2673
