time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4972,0.3337,0.3088,0.3835,neutral,0.375,0.0
0.083333,N2,0.4701,0.2352,0.2849,0.3563,neutral,0.382,0.0
0.166667,N2,0.4898,0.2417,0.2856,0.3419,neutral,0.447,0.0
0.25,N2,0.4206,0.2715,0.2789,0.3302,curious,0.402,0.0
0.333333,N3,0.3167,0.2181,0.1508,0.2877,melancholic,0.35,0.0
0.416667,N3,0.3269,0.1695,0.221,0.2989,neutral,0.35,0.0
0.5,N3,0.2839,0.2037,0.2349,0.3191,anxious,0.35,0.0
0.583333,N3,0.2757,0.2005,0.1968,0.2837,serene,0.35,0.0
0.666667,N3,0.3082,0.191,0.1898,0.2994,curious,0.35,0.0
0.75,N3,0.2726,0.2062,0.2409,0.2569,neutral,0.35,0.0
0.833333,N3,0.2862,0.1335,0.1957,0.31,anxious,0.331,0.0
0.916667,N2,0.4471,0.2623,0.3231,0.2533,curious,0.439,0.0
