time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.3968
0.0,mem::bright_light,bright_light,0.3823
0.0,mem::dread,dread,0.3714
0.0,mem::familiar_face,familiar_face,0.3561
0.0,mem::flying,flying,0.3495
0.0,mem::cold_water,cold_water,0.3176
0.0,mem::wonder,wonder,0.2963
0.0,mem::joy,joy,0.2823
0.0,mem::school_corridor,school_corridor,0.187
0.0,mem::recurring_journey,recurring_journey,0.1813
0.0,mem::childhood_home,childhood_home,0.1735
0.0,mem::falling,falling,0.1525
0.083333,mem::bright_light,bright_light,0.794
0.083333,mem::familiar_face,familiar_face,0.7694
0.083333,mem::flying,flying,0.7633
0.083333,mem::wonder,wonder,0.7135
0.083333,mem::joy,joy,0.7004
0.083333,event::had_a_long_meeting,had a long meeting,0.6643
0.083333,mem::dread,dread,0.6405
0.083333,mem::cold_water,cold_water,0.5902
0.083333,mem::school_corridor,school_corridor,0.4681
0.083333,mem::childhood_home,childhood_home,0.4555
0.083333,mem::falling,falling,0.4357
0.083333,mem::grief,grief,0.4261
0.166667,mem::familiar_face,familiar_face,0.9934
0.166667,mem::flying,flying,0.9934
0.166667,mem::bright_light,bright_light,0.9934
0.166667,mem::wonder,wonder,0.9587
0.166667,mem::joy,joy,0.9464
0.166667,event::had_a_long_meeting,had a long meeting,0.7628
0.166667,mem::dread,dread,0.7403
0.166667,mem::cold_water,cold_water,0.6934
0.166667,mem::school_corridor,school_corridor,0.5791
0.166667,mem::childhood_home,childhood_home,0.5674
0.166667,mem::falling,falling,0.5489
0.166667,mem::grief,grief,0.5399
0.25,mem::familiar_face,familiar_face,0.9934
0.25,mem::flying,flying,0.9934
0.25,mem::bright_light,bright_light,0.9934
0.25,mem::joy,joy,0.9934
0.25,mem::wonder,wonder,0.9934
0.25,mem::childhood_home,childhood_home,0.9868
0.25,mem::school_corridor,school_corridor,0.9868
0.25,mem::falling,falling,0.9868
0.25,mem::being_chased,being_chased,0.9868
0.25,mem::being_late,being_late,0.9868
0.25,mem::teeth_loosening,teeth_loosening,0.9868
0.25,mem::cold_water,cold_water,0.9868
0.333333,mem::childhood_home,childhood_home,0.9934
0.333333,mem::school_corridor,school_corridor,0.9934
0.333333,mem::falling,falling,0.9934
0.333333,mem::being_chased,being_chased,0.9934
0.333333,mem::being_late,being_late,0.9934
0.333333,mem::teeth_loosening,teeth_loosening,0.9934
0.333333,mem::cold_water,cold_water,0.9934
0.333333,mem::loud_crowd,loud_crowd,0.9934
0.333333,mem::grief,grief,0.9934
0.333333,mem::dread,dread,0.9934
0.333333,event::had_a_long_meeting,had a long meeting,0.9934
0.333333,mem::familiar_face,familiar_face,0.9293
0.416667,mem::childhood_home,childhood_home,0.9802
0.416667,mem::school_corridor,school_corridor,0.9802
0.416667,mem::falling,falling,0.9802
0.416667,mem::being_chased,being_chased,0.9802
0.416667,mem::being_late,being_late,0.9802
0.416667,mem::teeth_loosening,teeth_loosening,0.9802
0.416667,mem::cold_water,cold_water,0.9802
0.416667,mem::loud_crowd,loud_crowd,0.9802
0.416667,mem::grief,grief,0.9802
0.416667,mem::dread,dread,0.9802
0.416667,event::had_a_long_meeting,had a long meeting,0.9802
0.416667,mem::familiar_face,familiar_face,0.9737
0.5,mem::familiar_face,familiar_face,0.9868
0.5,mem::flying,flying,0.9868
