time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4842
0.0,mem::bright_light,bright_light,0.4334
0.0,mem::cold_water,cold_water,0.3914
0.0,mem::being_late,being_late,0.3849
0.0,mem::childhood_home,childhood_home,0.3831
0.0,mem::flying,flying,0.3156
0.0,mem::familiar_face,familiar_face,0.3063
0.0,mem::grief,grief,0.3058
0.0,mem::falling,falling,0.2927
0.0,mem::recurring_journey,recurring_journey,0.2664
0.0,mem::dread,dread,0.2553
0.0,mem::wonder,wonder,0.2455
0.833333,mem::bright_light,bright_light,0.4041
0.833333,mem::flying,flying,0.3678
0.833333,mem::familiar_face,familiar_face,0.365
0.833333,mem::wonder,wonder,0.3463
0.833333,event::design_discussion,design discussion,0.3399
0.833333,mem::joy,joy,0.3319
0.833333,mem::cold_water,cold_water,0.3031
0.833333,mem::being_late,being_late,0.3004
0.833333,mem::childhood_home,childhood_home,0.2996
0.833333,mem::grief,grief,0.269
0.833333,mem::falling,falling,0.2637
0.833333,mem::dread,dread,0.2489
