time_hours,node_id,node_label,activation
0.0,event::early_run,early run,0.4542
0.0,event::sunrise_nap,sunrise nap,0.4219
0.0,mem::cold_water,cold_water,0.3814
0.0,mem::grief,grief,0.3746
0.0,mem::teeth_loosening,teeth_loosening,0.3694
0.0,mem::falling,falling,0.3681
0.0,mem::familiar_face,familiar_face,0.3623
0.0,mem::being_late,being_late,0.3551
0.0,mem::loud_crowd,loud_crowd,0.3096
0.0,mem::dread,dread,0.292
0.0,mem::recurring_journey,recurring_journey,0.2831
0.0,mem::bright_light,bright_light,0.2762
0.083333,event::sunrise_nap,sunrise nap,0.8388
0.083333,mem::cold_water,cold_water,0.8008
0.083333,mem::grief,grief,0.7945
0.083333,mem::teeth_loosening,teeth_loosening,0.7896
0.083333,mem::falling,falling,0.7884
0.083333,mem::being_late,being_late,0.7763
0.083333,mem::loud_crowd,loud_crowd,0.7337
0.083333,mem::dread,dread,0.7173
0.083333,event::early_run,early run,0.7094
0.083333,mem::being_chased,being_chased,0.6391
0.083333,mem::familiar_face,familiar_face,0.6233
0.083333,mem::school_corridor,school_corridor,0.6016
0.166667,mem::familiar_face,familiar_face,0.9934
0.166667,event::early_run,early run,0.9934
0.166667,mem::bright_light,bright_light,0.9498
0.166667,mem::wonder,wonder,0.9311
0.166667,event::sunrise_nap,sunrise nap,0.9279
0.166667,mem::flying,flying,0.9224
0.166667,mem::cold_water,cold_water,0.8923
0.166667,mem::grief,grief,0.8865
0.166667,mem::teeth_loosening,teeth_loosening,0.8819
0.166667,mem::falling,falling,0.8807
0.166667,mem::being_late,being_late,0.8693
0.166667,mem::loud_crowd,loud_crowd,0.8296
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::bright_light,bright_light,1.0
0.25,mem::joy,joy,1.0
0.25,mem::wonder,wonder,1.0
0.25,event::early_run,early run,1.0
0.25,mem::falling,falling,0.9544
0.25,mem::being_late,being_late,0.9544
0.25,mem::teeth_loosening,teeth_loosening,0.9544
0.25,mem::cold_water,cold_water,0.9544
0.25,mem::grief,grief,0.9544
0.25,event::sunrise_nap,sunrise nap,0.9544
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
0.333333,mem::falling,falling,1.0
0.333333,mem::being_chased,being_chased,1.0
0.333333,mem::being_late,being_late,1.0
0.333333,mem::teeth_loosening,teeth_loosening,1.0
0.333333,mem::cold_water,cold_water,1.0
0.333333,mem::loud_crowd,loud_crowd,1.0
0.333333,mem::grief,grief,1.0
0.333333,mem::dread,dread,1.0
0.333333,event::sunrise_nap,sunrise nap,1.0
0.333333,mem::familiar_face,familiar_face,0.9802
0.416667,mem::childhood_home,childhood_home,1.0
0.416667,mem::school_corridor,school_corridor,1.0
