time_hours,node_id,node_label,activation
0.0,mem::joy,joy,0.4553
0.0,event::design_discussion,design discussion,0.4443
0.0,mem::familiar_face,familiar_face,0.4393
0.0,mem::wonder,wonder,0.4091
0.0,event::code_review,code review,0.3754
0.0,mem::bright_light,bright_light,0.3537
0.0,mem::school_corridor,school_corridor,0.3469
0.0,mem::dread,dread,0.3274
0.0,mem::flying,flying,0.3092
0.0,mem::loud_crowd,loud_crowd,0.2884
0.0,mem::teeth_loosening,teeth_loosening,0.2791
0.0,mem::being_late,being_late,0.2667
0.833333,mem::joy,joy,0.3611
0.833333,mem::familiar_face,familiar_face,0.3546
0.833333,event::design_discussion,design discussion,0.3536
0.833333,mem::wonder,wonder,0.3426
0.833333,event::code_review,code review,0.3293
0.833333,mem::bright_light,bright_light,0.3206
0.833333,mem::school_corridor,school_corridor,0.3196
0.833333,mem::dread,dread,0.3128
0.833333,mem::flying,flying,0.3029
0.833333,mem::loud_crowd,loud_crowd,0.2991
0.833333,mem::teeth_loosening,teeth_loosening,0.296
0.833333,mem::being_late,being_late,0.2915
