time_hours,node_id,node_label,activation
0.0,mem::bright_light,bright_light,0.4955
0.0,mem::flying,flying,0.3908
0.0,mem::grief,grief,0.3814
0.0,mem::dread,dread,0.3754
0.0,mem::being_late,being_late,0.3739
0.0,mem::falling,falling,0.3613
0.0,mem::school_corridor,school_corridor,0.3598
0.0,mem::cold_water,cold_water,0.3515
0.0,mem::familiar_face,familiar_face,0.3288
0.0,mem::childhood_home,childhood_home,0.3241
0.0,mem::loud_crowd,loud_crowd,0.3126
0.0,mem::wonder,wonder,0.2876
0.083333,mem::bright_light,bright_light,0.9076
0.083333,mem::flying,flying,0.8097
0.083333,mem::familiar_face,familiar_face,0.7517
0.083333,mem::wonder,wonder,0.7131
0.083333,mem::joy,joy,0.6828
0.083333,mem::grief,grief,0.6461
0.083333,mem::dread,dread,0.6404
0.083333,mem::being_late,being_late,0.639
0.083333,mem::falling,falling,0.6273
0.083333,mem::school_corridor,school_corridor,0.6259
0.083333,mem::cold_water,cold_water,0.6181
0.083333,mem::childhood_home,childhood_home,0.5924
0.166667,mem::childhood_home,childhood_home,0.9868
0.166667,mem::school_corridor,school_corridor,0.9868
0.166667,mem::falling,falling,0.9868
0.166667,mem::being_late,being_late,0.9868
0.166667,mem::cold_water,cold_water,0.9868
0.166667,mem::grief,grief,0.9868
0.166667,mem::dread,dread,0.9868
0.166667,mem::loud_crowd,loud_crowd,0.9794
0.166667,event::had_a_long_meeting,had a long meeting,0.9542
0.166667,mem::bright_light,bright_light,0.849
0.166667,mem::teeth_loosening,teeth_loosening,0.805
0.166667,mem::being_chased,being_chased,0.8002
0.25,mem::childhood_home,childhood_home,0.9934
0.25,mem::school_corridor,school_corridor,0.9934
0.25,mem::falling,falling,0.9934
0.25,mem::being_chased,being_chased,0.9934
0.25,mem::being_late,being_late,0.9934
0.25,mem::teeth_loosening,teeth_loosening,0.9934
0.25,mem::cold_water,cold_water,0.9934
0.25,mem::loud_crowd,loud_crowd,0.9934
0.25,mem::grief,grief,0.9934
0.25,mem::dread,dread,0.9934
0.25,event::had_a_long_meeting,had a long meeting,0.9934
0.25,mem::familiar_face,familiar_face,0.9868
0.333333,mem::familiar_face,familiar_face,0.9868
0.333333,mem::flying,flying,0.9868
0.333333,mem::bright_light,bright_light,0.9868
0.333333,mem::joy,joy,0.9868
0.333333,mem::wonder,wonder,0.9868
0.333333,mem::childhood_home,childhood_home,0.9608
0.333333,mem::school_corridor,school_corridor,0.9608
0.333333,mem::falling,falling,0.9608
0.333333,mem::being_chased,being_chased,0.9608
0.333333,mem::being_late,being_late,0.9608
0.333333,mem::teeth_loosening,teeth_loosening,0.9608
0.333333,mem::cold_water,cold_water,0.9608
0.416667,mem::childhood_home,childhood_home,1.0
0.416667,mem::school_corridor,school_corridor,1.0
0.416667,mem::falling,falling,1.0
0.416667,mem::being_chased,being_chased,1.0
0.416667,mem::being_late,being_late,1.0
0.416667,mem::teeth_loosening,teeth_loosening,1.0
0.416667,mem::cold_water,cold_water,1.0
0.416667,mem::loud_crowd,loud_crowd,1.0
0.416667,mem::grief,grief,1.0
0.416667,mem::dread,dread,1.0
0.416667,event::had_a_long_meeting,had a long meeting,1.0
0.416667,mem::familiar_face,familiar_face,0.9868
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,mem::childhood_home,childhood_home,0.9544
0.5,mem::school_corridor,school_corridor,0.9544
0.5,mem::falling,falling,0.9544
0.5,mem::being_chased,being_chased,0.9544
0.5,mem::being_late,being_late,0.9544
0.5,mem::teeth_loosening,teeth_loosening,0.9544
0.5,mem::cold_water,cold_water,0.9544
0.583333,mem::childhood_home,childhood_home,0.9934
0.583333,mem::school_corridor,school_corridor,0.9934
0.583333,mem::falling,falling,0.9934
0.583333,mem::being_chased,being_chased,0.9934
0.583333,mem::being_late,being_late,0.9934
0.583333,mem::teeth_loosening,teeth_loosening,0.9934
0.583333,mem::cold_water,cold_water,0.9934
0.583333,mem::loud_crowd,loud_crowd,0.9934
0.583333,mem::grief,grief,0.9934
0.583333,mem::dread,dread,0.9934
0.583333,event::had_a_long_meeting,had a long meeting,0.9934
0.583333,mem::familiar_face,familiar_face,0.9737
0.666667,mem::childhood_home,childhood_home,1.0
0.666667,mem::school_corridor,school_corridor,1.0
0.666667,mem::falling,falling,1.0
0.666667,mem::being_chased,being_chased,1.0
0.666667,mem::being_late,being_late,1.0
0.666667,mem::teeth_loosening,teeth_loosening,1.0
0.666667,mem::cold_water,cold_water,1.0
0.666667,mem::loud_crowd,loud_crowd,1.0
0.666667,mem::grief,grief,1.0
0.666667,mem::dread,dread,1.0
0.666667,event::had_a_long_meeting,had a long meeting,1.0
0.666667,mem::familiar_face,familiar_face,0.9802
0.75,mem::childhood_home,childhood_home,1.0
0.75,mem::school_corridor,school_corridor,1.0
0.75,mem::falling,falling,1.0
0.75,mem::being_chased,being_chased,1.0
0.75,mem::being_late,being_late,1.0
0.75,mem::teeth_loosening,teeth_loosening,1.0
0.75,mem::cold_water,cold_water,1.0
0.75,mem::loud_crowd,loud_crowd,1.0
0.75,mem::grief,grief,1.0
0.75,mem::dread,dread,1.0
0.75,event::had_a_long_meeting,had a long meeting,1.0
0.75,mem::familiar_face,familiar_face,0.9802
0.833333,mem::familiar_face,familiar_face,0.9672
0.833333,mem::flying,flying,0.9672
0.833333,mem::bright_light,bright_light,0.9672
0.833333,mem::joy,joy,0.9672
0.833333,mem::wonder,wonder,0.9672
0.833333,mem::childhood_home,childhood_home,0.9608
0.833333,mem::school_corridor,school_corridor,0.9608
0.833333,mem::falling,falling,0.9608
0.833333,mem::being_chased,being_chased,0.9608
0.833333,mem::being_late,being_late,0.9608
0.833333,mem::teeth_loosening,teeth_loosening,0.9608
0.833333,mem::cold_water,cold_water,0.9608
0.916667,mem::childhood_home,childhood_home,0.9802
0.916667,mem::school_corridor,school_corridor,0.9802
0.916667,mem::falling,falling,0.9802
0.916667,mem::being_chased,being_chased,0.9802
0.916667,mem::being_late,being_late,0.9802
0.916667,mem::teeth_loosening,teeth_loosening,0.9802
0.916667,mem::cold_water,cold_water,0.9802
0.916667,mem::loud_crowd,loud_crowd,0.9802
0.916667,mem::grief,grief,0.9802
0.916667,mem::dread,dread,0.9802
0.916667,event::had_a_long_meeting,had a long meeting,0.9802
0.916667,mem::familiar_face,familiar_face,0.9737
