time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5015,0.3256,0.2939,0.3443,neutral,0.357,0.0
0.083333,N1,0.5017,0.3149,0.3109,0.347,joyful,0.4,0.0
0.166667,N2,0.4433,0.2981,0.2844,0.3202,neutral,0.442,0.0
0.25,N2,0.4543,0.2514,0.2604,0.3589,anxious,0.423,0.0
0.333333,N2,0.4141,0.3001,0.2906,0.3643,anxious,0.455,0.0
0.416667,N2,0.4363,0.2834,0.2689,0.338,neutral,0.424,0.0
0.5,N3,0.2975,0.2072,0.2031,0.3164,curious,0.35,0.0
0.583333,N3,0.2681,0.1902,0.238,0.2929,anxious,0.35,0.0
0.666667,N3,0.2901,0.223,0.1926,0.3025,neutral,0.346,0.0
0.75,N3,0.3181,0.1973,0.1971,0.3096,neutral,0.35,0.0
0.833333,N3,0.3322,0.1818,0.2129,0.2649,curious,0.35,0.0
0.916667,N3,0.3022,0.2054,0.1699,0.2959,neutral,0.35,0.0
