time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4916,0.3115,0.2871,0.3327,anxious,0.378,0.0
0.008333,N1,0.4884,0.31,0.235,0.3356,anxious,0.388,0.0
0.016667,N1,0.5154,0.2893,0.3315,0.3052,anxious,0.399,0.0
0.025,N1,0.5069,0.2873,0.2485,0.354,joyful,0.399,0.0
0.033333,N1,0.513,0.2898,0.3428,0.314,melancholic,0.394,0.0
0.041667,N1,0.5045,0.3025,0.3227,0.3228,melancholic,0.335,0.0
0.05,N1,0.4529,0.2833,0.2989,0.3552,anxious,0.434,0.0
0.058333,N1,0.4898,0.29,0.2767,0.36,melancholic,0.43,0.0
0.066667,N3,0.3152,0.1864,0.1848,0.3483,neutral,0.35,0.0
0.075,N3,0.3001,0.2123,0.1967,0.3301,fearful,0.35,0.0
0.083333,N3,0.2997,0.1997,0.2138,0.3066,neutral,0.35,0.0
0.091667,N3,0.3118,0.1901,0.2207,0.3507,anxious,0.35,0.0
0.1,N3,0.3284,0.1996,0.1965,0.3426,melancholic,0.35,0.0
0.108333,N3,0.299,0.2363,0.2265,0.3359,anxious,0.35,0.0
0.116667,N3,0.3264,0.2302,0.2318,0.3304,joyful,0.35,0.0
0.125,N3,0.2798,0.1973,0.2129,0.3725,fearful,0.35,0.0
0.133333,N3,0.318,0.2238,0.2208,0.3654,curious,0.35,0.0
0.141667,N3,0.2939,0.202,0.1774,0.3453,anxious,0.35,0.0
0.15,N3,0.2743,0.2636,0.1837,0.3334,serene,0.35,0.0
0.158333,N3,0.2966,0.1789,0.2281,0.3582,fearful,0.35,0.0
0.166667,N3,0.2553,0.1598,0.1985,0.3354,fearful,0.35,0.0
0.175,N3,0.3333,0.2258,0.2023,0.3256,curious,0.35,0.0
0.183333,N3,0.3496,0.2097,0.2208,0.3507,anxious,0.35,0.0
0.191667,N3,0.3149,0.2286,0.2116,0.3358,anxious,0.35,0.0
0.2,N3,0.2694,0.1869,0.2071,0.2944,anxious,0.35,0.0
0.208333,N3,0.292,0.1807,0.1898,0.3272,anxious,0.35,0.0
0.216667,N3,0.2685,0.2162,0.1988,0.3387,anxious,0.35,0.0
0.225,N3,0.2916,0.1783,0.1709,0.3297,anxious,0.35,0.0
0.233333,N3,0.3361,0.2172,0.2049,0.3399,curious,0.35,0.0
0.241667,N3,0.2952,0.2224,0.1912,0.3207,melancholic,0.35,0.0
