time_hours,node_id,node_label,activation
0.0,mem::flying,flying,0.3854
0.0,mem::being_late,being_late,0.3678
0.0,mem::familiar_face,familiar_face,0.3515
0.0,mem::bright_light,bright_light,0.3331
0.0,mem::recurring_journey,recurring_journey,0.3177
0.0,event::design_discussion,design discussion,0.3172
0.0,mem::joy,joy,0.2797
0.0,mem::loud_crowd,loud_crowd,0.275
0.0,event::code_review,code review,0.2659
0.0,mem::dread,dread,0.258
0.0,mem::falling,falling,0.2413
0.0,mem::childhood_home,childhood_home,0.234
0.833333,mem::flying,flying,0.3786
0.833333,mem::familiar_face,familiar_face,0.368
0.833333,mem::bright_light,bright_light,0.3624
0.833333,mem::being_late,being_late,0.3548
0.833333,mem::joy,joy,0.346
0.833333,event::design_discussion,design discussion,0.3371
0.833333,mem::loud_crowd,loud_crowd,0.3223
0.833333,event::code_review,code review,0.3193
0.833333,mem::dread,dread,0.3164
0.833333,mem::falling,falling,0.3104
0.833333,mem::childhood_home,childhood_home,0.3079
0.833333,mem::cold_water,cold_water,0.2942
