time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4968,0.3041,0.3039,0.3755,anxious,0.5,0.0
0.008333,N1,0.5057,0.3077,0.3175,0.3407,anxious,0.5,0.0
0.016667,N1,0.5265,0.2849,0.2953,0.3201,curious,0.419,0.0
0.025,N1,0.4828,0.2977,0.3056,0.3746,joyful,0.41,0.0
0.033333,N1,0.5269,0.2717,0.3354,0.349,joyful,0.486,0.0
0.041667,N1,0.526,0.2982,0.3239,0.3181,joyful,0.477,0.0
0.05,N1,0.5076,0.2875,0.2828,0.3561,fearful,0.5,0.0
0.058333,N1,0.5292,0.2765,0.2984,0.3173,anxious,0.436,0.0
0.066667,N2,0.4666,0.2928,0.2959,0.3299,fearful,0.45,0.0
0.075,N2,0.4518,0.2736,0.3037,0.3446,anxious,0.45,0.0
0.083333,N2,0.4482,0.2962,0.2767,0.3794,anxious,0.45,0.0
0.091667,N2,0.4056,0.2872,0.2917,0.3505,anxious,0.45,0.0
0.1,N2,0.4589,0.2885,0.3125,0.3256,anxious,0.45,0.0
0.108333,N2,0.4427,0.2568,0.2974,0.3635,anxious,0.45,0.0
0.116667,N2,0.4463,0.3044,0.2439,0.3559,curious,0.45,0.0
0.125,N2,0.4471,0.3055,0.3141,0.3494,anxious,0.45,0.0
0.133333,N2,0.4592,0.2982,0.2618,0.3476,anxious,0.45,0.0
0.141667,N2,0.4406,0.2696,0.2752,0.2968,curious,0.45,0.0
0.15,N2,0.4253,0.2822,0.2877,0.3263,anxious,0.45,0.0
0.158333,N2,0.4641,0.307,0.2891,0.3232,neutral,0.45,0.0
0.166667,N2,0.475,0.2916,0.2763,0.3237,anxious,0.45,0.0
0.175,N2,0.4576,0.2887,0.2869,0.3454,anxious,0.45,0.0
0.183333,N2,0.4272,0.3166,0.2928,0.3231,fearful,0.45,0.0
0.191667,N2,0.4685,0.267,0.2919,0.3211,joyful,0.45,0.0
0.2,N2,0.4255,0.3059,0.2715,0.3615,anxious,0.45,0.0
0.208333,N2,0.4342,0.2664,0.3046,0.2851,neutral,0.45,0.0
0.216667,N2,0.4445,0.2797,0.2869,0.3424,anxious,0.45,0.0
0.225,N2,0.4346,0.2589,0.2737,0.3139,joyful,0.45,0.0
0.233333,N2,0.4434,0.2716,0.2716,0.3281,melancholic,0.45,0.0
0.241667,N2,0.4689,0.2837,0.2709,0.3458,anxious,0.45,0.0
