time_hours,node_id,node_label,activation
0.0,event::quiet_reading,quiet reading,0.444
0.0,mem::teeth_loosening,teeth_loosening,0.3759
0.0,mem::grief,grief,0.3111
0.0,mem::cold_water,cold_water,0.2957
0.0,mem::bright_light,bright_light,0.2913
0.0,mem::being_chased,being_chased,0.289
0.0,mem::wonder,wonder,0.2809
0.0,mem::loud_crowd,loud_crowd,0.2791
0.0,event::deep_relaxation,deep relaxation,0.2749
0.0,mem::recurring_journey,recurring_journey,0.255
0.0,mem::childhood_home,childhood_home,0.243
0.0,mem::flying,flying,0.2097
0.083333,mem::teeth_loosening,teeth_loosening,0.9252
0.083333,mem::grief,grief,0.8646
0.083333,mem::cold_water,cold_water,0.8503
0.083333,mem::being_chased,being_chased,0.844
0.083333,mem::loud_crowd,loud_crowd,0.8347
0.083333,mem::childhood_home,childhood_home,0.8009
0.083333,mem::school_corridor,school_corridor,0.7526
0.083333,mem::dread,dread,0.7
0.083333,mem::being_late,being_late,0.6991
0.083333,mem::falling,falling,0.6718
0.083333,event::quiet_reading,quiet reading,0.5653
0.083333,mem::bright_light,bright_light,0.4226
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,event::quiet_reading,quiet reading,0.9934
0.166667,mem::bright_light,bright_light,0.9748
0.166667,mem::wonder,wonder,0.9656
0.166667,event::deep_relaxation,deep relaxation,0.9604
0.166667,mem::grief,grief,0.9589
0.166667,mem::cold_water,cold_water,0.9454
0.166667,mem::being_chased,being_chased,0.9395
0.166667,mem::loud_crowd,loud_crowd,0.9309
0.166667,mem::flying,flying,0.9034
0.166667,mem::childhood_home,childhood_home,0.8993
0.166667,mem::familiar_face,familiar_face,0.8984
0.25,mem::childhood_home,childhood_home,1.0
0.25,mem::school_corridor,school_corridor,1.0
0.25,mem::falling,falling,1.0
0.25,mem::being_chased,being_chased,1.0
0.25,mem::being_late,being_late,1.0
0.25,mem::teeth_loosening,teeth_loosening,1.0
0.25,mem::cold_water,cold_water,1.0
0.25,mem::loud_crowd,loud_crowd,1.0
0.25,mem::grief,grief,1.0
0.25,mem::dread,dread,1.0
0.25,mem::familiar_face,familiar_face,0.9544
0.25,mem::flying,flying,0.9544
0.333333,mem::childhood_home,childhood_home,0.9868
0.333333,mem::school_corridor,school_corridor,0.9868
0.333333,mem::falling,falling,0.9868
0.333333,mem::being_chased,being_chased,0.9868
0.333333,mem::being_late,being_late,0.9868
0.333333,mem::teeth_loosening,teeth_loosening,0.9868
0.333333,mem::cold_water,cold_water,0.9868
0.333333,mem::loud_crowd,loud_crowd,0.9868
0.333333,mem::grief,grief,0.9868
0.333333,mem::dread,dread,0.9868
0.333333,mem::familiar_face,familiar_face,0.9544
0.333333,mem::flying,flying,0.9544
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
0.416667,mem::falling,falling,0.9934
0.416667,mem::being_chased,being_chased,0.9934
0.416667,mem::being_late,being_late,0.9934
0.416667,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::cold_water,cold_water,0.9934
0.416667,mem::loud_crowd,loud_crowd,0.9934
0.416667,mem::grief,grief,0.9934
0.416667,mem::dread,dread,0.9934
0.416667,mem::familiar_face,familiar_face,0.9802
0.416667,mem::flying,flying,0.9802
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,event::quiet_reading,quiet reading,1.0
0.5,event::deep_relaxation,deep relaxation,1.0
0.5,mem::childhood_home,childhood_home,0.9934
0.5,mem::school_corridor,school_corridor,0.9934
0.5,mem::falling,falling,0.9934
0.5,mem::being_chased,being_chased,0.9934
0.5,mem::being_late,being_late,0.9934
0.583333,mem::familiar_face,familiar_face,1.0
0.583333,mem::flying,flying,1.0
0.583333,mem::bright_light,bright_light,1.0
0.583333,mem::joy,joy,1.0
