time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4556,0.3037,0.284,0.3144,curious,0.383,0.0
0.008333,N1,0.5092,0.3408,0.2696,0.3634,neutral,0.341,0.0
0.016667,N1,0.4384,0.3028,0.3223,0.3604,neutral,0.345,0.0
0.025,N1,0.4862,0.2916,0.292,0.3528,curious,0.385,0.0
0.033333,N1,0.5158,0.3032,0.3103,0.3717,curious,0.389,0.0
0.041667,N1,0.5047,0.2868,0.3195,0.3126,joyful,0.406,0.0
0.05,N1,0.4902,0.2873,0.301,0.3574,joyful,0.397,0.0
0.058333,N1,0.4583,0.2735,0.2918,0.3694,curious,0.318,0.0
0.066667,N1,0.4777,0.2788,0.3324,0.3553,fearful,0.349,0.0
0.075,N1,0.5037,0.3099,0.2828,0.3155,neutral,0.396,0.0
0.083333,N2,0.4603,0.3208,0.2781,0.356,joyful,0.38,0.0
0.091667,N2,0.4753,0.3325,0.2775,0.3575,curious,0.407,0.0
0.1,N2,0.4249,0.3019,0.2873,0.362,joyful,0.371,0.0
0.108333,N2,0.4639,0.2687,0.3014,0.3355,neutral,0.421,0.0
0.116667,N2,0.4451,0.2893,0.2721,0.3292,anxious,0.361,0.0
0.125,N2,0.4722,0.2518,0.3077,0.3551,curious,0.401,0.0
0.133333,N2,0.4509,0.2657,0.2803,0.3405,neutral,0.344,0.0
0.141667,N2,0.4419,0.2333,0.3095,0.3304,serene,0.365,0.0
0.15,N2,0.4505,0.2676,0.2814,0.3059,curious,0.41,0.0
0.158333,N2,0.438,0.2675,0.2756,0.3681,fearful,0.409,0.0
0.166667,N2,0.4472,0.3054,0.3105,0.3204,curious,0.396,0.0
0.175,N2,0.4347,0.2707,0.2715,0.3713,neutral,0.412,0.0
0.183333,N2,0.468,0.2947,0.2856,0.342,curious,0.405,0.0
0.191667,N2,0.4182,0.3092,0.245,0.3192,anxious,0.401,0.0
0.2,N2,0.4439,0.2481,0.2489,0.3228,anxious,0.387,0.0
0.208333,N2,0.4601,0.2912,0.2945,0.3591,curious,0.396,0.0
0.216667,N2,0.4479,0.2798,0.2581,0.3424,curious,0.448,0.0
0.225,N2,0.4298,0.2864,0.2716,0.3285,neutral,0.426,0.0
0.233333,N2,0.4563,0.2641,0.2586,0.3452,melancholic,0.438,0.0
0.241667,N2,0.4635,0.2697,0.2762,0.3566,neutral,0.473,0.0
0.25,N2,0.4473,0.2998,0.2609,0.3295,curious,0.399,0.0
0.258333,N2,0.417,0.2726,0.2749,0.3047,melancholic,0.464,0.0
0.266667,N2,0.4302,0.2812,0.2877,0.3104,neutral,0.369,0.0
0.275,N2,0.4796,0.2453,0.2692,0.3485,neutral,0.394,0.0
0.283333,N2,0.4176,0.2634,0.2902,0.3029,curious,0.393,0.0
0.291667,N2,0.4569,0.2491,0.2763,0.3615,joyful,0.412,0.0
0.3,N2,0.4637,0.2995,0.2885,0.3286,melancholic,0.402,0.0
0.308333,N2,0.4271,0.2909,0.2352,0.3267,joyful,0.37,0.0
0.316667,N2,0.4674,0.2602,0.3186,0.3144,curious,0.387,0.0
0.325,N2,0.4823,0.3054,0.3076,0.3153,curious,0.436,0.0
0.333333,N2,0.4672,0.2375,0.3117,0.322,anxious,0.408,0.0
0.341667,N2,0.4249,0.3154,0.2926,0.3279,neutral,0.389,0.0
0.35,N3,0.2887,0.169,0.2094,0.3247,curious,0.35,0.0
0.358333,N3,0.2711,0.2142,0.2197,0.3264,melancholic,0.35,0.0
0.366667,N3,0.3121,0.1932,0.234,0.2865,curious,0.35,0.0
0.375,N3,0.2912,0.1919,0.1842,0.2966,fearful,0.35,0.0
0.383333,N3,0.3003,0.1977,0.1768,0.3039,curious,0.35,0.0
0.391667,N3,0.2848,0.2321,0.2348,0.3532,neutral,0.35,0.0
0.4,N3,0.305,0.1629,0.1844,0.3287,curious,0.35,0.0
0.408333,N3,0.3139,0.2527,0.2379,0.3367,joyful,0.35,0.0
0.416667,N3,0.2995,0.2227,0.2153,0.3228,curious,0.35,0.0
0.425,N3,0.2987,0.1937,0.1769,0.2968,joyful,0.35,0.0
0.433333,N3,0.3172,0.1832,0.2191,0.3019,serene,0.35,0.0
0.441667,N3,0.2993,0.2189,0.1939,0.2695,melancholic,0.35,0.0
0.45,N3,0.3226,0.172,0.2147,0.3152,neutral,0.35,0.0
0.458333,N3,0.3156,0.1636,0.1934,0.2823,joyful,0.35,0.0
0.466667,N3,0.3149,0.1997,0.1991,0.3138,fearful,0.349,0.0
0.475,N3,0.2736,0.2025,0.2015,0.2998,neutral,0.35,0.0
0.483333,N3,0.3516,0.2028,0.1985,0.3272,fearful,0.302,0.0
0.491667,N3,0.3086,0.2095,0.2291,0.3586,fearful,0.338,0.0
0.5,N3,0.3059,0.1883,0.2143,0.3364,neutral,0.35,0.0
0.508333,N3,0.3198,0.1939,0.172,0.3214,neutral,0.35,0.0
0.516667,N3,0.2888,0.1707,0.2275,0.2909,neutral,0.346,0.0
0.525,N3,0.3143,0.2045,0.1906,0.3237,curious,0.35,0.0
0.533333,N3,0.2946,0.1931,0.2208,0.3137,curious,0.324,0.0
0.541667,N3,0.2929,0.1984,0.2231,0.3438,anxious,0.35,0.0
0.55,N3,0.3201,0.1938,0.2186,0.2757,joyful,0.35,0.0
0.558333,N3,0.3123,0.17,0.1618,0.3313,curious,0.333,0.0
0.566667,N3,0.26,0.2157,0.2123,0.305,curious,0.35,0.0
0.575,N3,0.2963,0.2062,0.2022,0.2975,joyful,0.35,0.0
0.583333,N3,0.2758,0.174,0.2076,0.2906,joyful,0.35,0.0
0.591667,N3,0.3045,0.1795,0.22,0.32,joyful,0.35,0.0
0.6,N3,0.3064,0.243,0.1502,0.2756,curious,0.35,0.0
0.608333,N3,0.2772,0.1772,0.2008,0.307,anxious,0.328,0.0
0.616667,N3,0.3327,0.2033,0.2014,0.2885,curious,0.35,0.0
0.625,N3,0.3005,0.2184,0.182,0.2641,joyful,0.35,0.0
0.633333,N3,0.3342,0.2329,0.1964,0.2978,anxious,0.302,0.0
0.641667,N3,0.2994,0.2178,0.1866,0.2546,joyful,0.35,0.0
0.65,N3,0.2942,0.1827,0.2095,0.3225,curious,0.318,0.0
0.658333,N3,0.2863,0.2067,0.1906,0.2954,anxious,0.35,0.0
0.666667,N3,0.3105,0.2355,0.2192,0.2505,neutral,0.35,0.0
0.675,N3,0.2568,0.1894,0.1823,0.3331,anxious,0.343,0.0
0.683333,N3,0.3021,0.1901,0.195,0.2992,curious,0.35,0.0
0.691667,N3,0.3026,0.2142,0.1723,0.2694,joyful,0.346,0.0
0.7,N3,0.2802,0.2262,0.1977,0.2752,neutral,0.35,0.0
0.708333,N3,0.2825,0.1798,0.2114,0.2819,fearful,0.35,0.0
0.716667,N3,0.2962,0.1948,0.2198,0.2994,anxious,0.35,0.0
0.725,N3,0.2931,0.182,0.2183,0.2961,serene,0.306,0.0
0.733333,N3,0.2806,0.1968,0.1722,0.256,curious,0.35,0.0
0.741667,N3,0.2781,0.1831,0.1895,0.3113,neutral,0.346,0.0
0.75,N3,0.291,0.1886,0.2113,0.2528,neutral,0.35,0.0
0.758333,N3,0.3341,0.1939,0.2071,0.3059,serene,0.35,0.0
0.766667,N3,0.2778,0.1953,0.1945,0.2873,anxious,0.35,0.0
0.775,N3,0.2931,0.1911,0.2042,0.3062,fearful,0.35,0.0
0.783333,N3,0.294,0.2343,0.1979,0.2956,anxious,0.35,0.0
0.791667,N3,0.2655,0.1977,0.1929,0.3136,curious,0.35,0.0
0.8,N3,0.274,0.2067,0.2137,0.2489,anxious,0.316,0.0
0.808333,N3,0.268,0.1948,0.1947,0.2558,melancholic,0.35,0.0
0.816667,N3,0.2743,0.2037,0.1942,0.2535,neutral,0.338,0.0
0.825,N3,0.2948,0.176,0.1949,0.2841,melancholic,0.35,0.0
0.833333,N3,0.2805,0.205,0.2196,0.3192,anxious,0.336,0.0
0.841667,N3,0.3074,0.2081,0.1837,0.2788,neutral,0.35,0.0
0.85,N3,0.3081,0.2216,0.2114,0.2894,curious,0.35,0.0
0.858333,N3,0.3163,0.1525,0.2214,0.2927,fearful,0.35,0.0
0.866667,N2,0.4487,0.3183,0.2604,0.2685,curious,0.378,0.0
0.875,N2,0.4641,0.294,0.2687,0.2796,joyful,0.396,0.0
0.883333,N2,0.4299,0.2878,0.2448,0.281,anxious,0.437,0.0
0.891667,N2,0.4394,0.2885,0.2668,0.2525,neutral,0.437,0.0
0.9,N2,0.4531,0.2958,0.2823,0.2694,melancholic,0.418,0.0
0.908333,N2,0.4315,0.308,0.306,0.2822,fearful,0.407,0.0
0.916667,N2,0.4715,0.2823,0.299,0.2762,curious,0.409,0.0
0.925,N2,0.4695,0.2445,0.2682,0.2614,neutral,0.458,0.0
0.933333,N2,0.5119,0.2758,0.3084,0.282,melancholic,0.417,0.0
0.941667,N2,0.46,0.2426,0.3165,0.2424,neutral,0.414,0.0
0.95,N2,0.4516,0.2462,0.2696,0.284,curious,0.413,0.0
0.958333,N2,0.4539,0.2902,0.3303,0.3059,joyful,0.429,0.0
0.966667,N2,0.4455,0.3175,0.3176,0.2534,anxious,0.365,0.0
0.975,N2,0.4653,0.2609,0.3067,0.2505,joyful,0.457,0.0
0.983333,N2,0.456,0.2725,0.3084,0.2711,neutral,0.383,0.0
0.991667,N2,0.4565,0.2592,0.2953,0.2544,neutral,0.434,0.0
