time_hours,node_id,node_label,activation
0.0,event::sunrise_nap,sunrise nap,0.4342
0.0,mem::school_corridor,school_corridor,0.3972
0.0,mem::dread,dread,0.3936
0.0,mem::joy,joy,0.3802
0.0,mem::loud_crowd,loud_crowd,0.3702
0.0,event::early_run,early run,0.3445
0.0,mem::being_late,being_late,0.3182
0.0,mem::grief,grief,0.3059
0.0,mem::being_chased,being_chased,0.2775
0.0,mem::bright_light,bright_light,0.2759
0.0,mem::familiar_face,familiar_face,0.2586
0.0,mem::childhood_home,childhood_home,0.253
0.083333,mem::school_corridor,school_corridor,0.8156
0.083333,mem::dread,dread,0.8123
0.083333,mem::loud_crowd,loud_crowd,0.7904
0.083333,mem::being_late,being_late,0.7417
0.083333,mem::grief,grief,0.7302
0.083333,mem::being_chased,being_chased,0.7037
0.083333,mem::childhood_home,childhood_home,0.6807
0.083333,mem::cold_water,cold_water,0.6609
0.083333,mem::falling,falling,0.6301
0.083333,mem::teeth_loosening,teeth_loosening,0.6194
0.083333,event::sunrise_nap,sunrise nap,0.5484
0.083333,mem::joy,joy,0.4979
0.166667,mem::school_corridor,school_corridor,0.9802
0.166667,mem::being_late,being_late,0.9802
0.166667,mem::loud_crowd,loud_crowd,0.9802
0.166667,mem::dread,dread,0.9802
0.166667,mem::grief,grief,0.9761
0.166667,mem::being_chased,being_chased,0.9514
0.166667,mem::childhood_home,childhood_home,0.9299
0.166667,mem::cold_water,cold_water,0.9114
0.166667,mem::falling,falling,0.8826
0.166667,mem::teeth_loosening,teeth_loosening,0.8725
0.166667,event::sunrise_nap,sunrise nap,0.5131
0.166667,mem::joy,joy,0.4658
0.25,mem::childhood_home,childhood_home,0.9802
0.25,mem::school_corridor,school_corridor,0.9802
0.25,mem::falling,falling,0.9802
0.25,mem::being_chased,being_chased,0.9802
0.25,mem::being_late,being_late,0.9802
0.25,mem::teeth_loosening,teeth_loosening,0.9802
0.25,mem::cold_water,cold_water,0.9802
0.25,mem::loud_crowd,loud_crowd,0.9802
0.25,mem::grief,grief,0.9802
0.25,mem::dread,dread,0.9802
0.25,event::sunrise_nap,sunrise nap,0.6212
0.25,mem::joy,joy,0.577
0.333333,mem::familiar_face,familiar_face,1.0
0.333333,mem::flying,flying,1.0
0.333333,mem::bright_light,bright_light,1.0
0.333333,mem::joy,joy,1.0
0.333333,event::early_run,early run,1.0
0.333333,event::sunrise_nap,sunrise nap,1.0
0.333333,mem::childhood_home,childhood_home,0.9934
0.333333,mem::school_corridor,school_corridor,0.9934
0.333333,mem::falling,falling,0.9934
0.333333,mem::being_chased,being_chased,0.9934
0.333333,mem::being_late,being_late,0.9934
0.333333,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::familiar_face,familiar_face,0.9934
0.416667,mem::flying,flying,0.9934
0.416667,mem::bright_light,bright_light,0.9934
0.416667,mem::joy,joy,0.9934
0.416667,mem::wonder,wonder,0.9934
0.416667,event::early_run,early run,0.9934
0.416667,event::sunrise_nap,sunrise nap,0.9934
0.416667,mem::childhood_home,childhood_home,0.9544
0.416667,mem::school_corridor,school_corridor,0.9544
0.416667,mem::falling,falling,0.9544
0.416667,mem::being_chased,being_chased,0.9544
0.416667,mem::being_late,being_late,0.9544
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,event::early_run,early run,1.0
0.5,event::sunrise_nap,sunrise nap,1.0
0.5,mem::childhood_home,childhood_home,0.9802
0.5,mem::school_corridor,school_corridor,0.9802
0.5,mem::falling,falling,0.9802
0.5,mem::being_chased,being_chased,0.9802
0.5,mem::being_late,being_late,0.9802
0.583333,mem::childhood_home,childhood_home,0.9868
0.583333,mem::school_corridor,school_corridor,0.9868
0.583333,mem::falling,falling,0.9868
0.583333,mem::being_chased,being_chased,0.9868
0.583333,mem::being_late,being_late,0.9868
0.583333,mem::teeth_loosening,teeth_loosening,0.9868
0.583333,mem::cold_water,cold_water,0.9868
0.583333,mem::loud_crowd,loud_crowd,0.9868
0.583333,mem::grief,grief,0.9868
0.583333,mem::dread,dread,0.9868
0.583333,mem::familiar_face,familiar_face,0.9737
0.583333,mem::flying,flying,0.9737
0.666667,mem::childhood_home,childhood_home,1.0
0.666667,mem::school_corridor,school_corridor,1.0
0.666667,mem::falling,falling,1.0
0.666667,mem::being_chased,being_chased,1.0
0.666667,mem::being_late,being_late,1.0
0.666667,mem::teeth_loosening,teeth_loosening,1.0
0.666667,mem::cold_water,cold_water,1.0
0.666667,mem::loud_crowd,loud_crowd,1.0
0.666667,mem::grief,grief,1.0
0.666667,mem::dread,dread,1.0
0.666667,mem::familiar_face,familiar_face,0.9868
0.666667,mem::flying,flying,0.9868
0.75,mem::childhood_home,childhood_home,0.9802
0.75,mem::school_corridor,school_corridor,0.9802
0.75,mem::falling,falling,0.9802
0.75,mem::being_chased,being_chased,0.9802
0.75,mem::being_late,being_late,0.9802
0.75,mem::teeth_loosening,teeth_loosening,0.9802
0.75,mem::cold_water,cold_water,0.9802
0.75,mem::loud_crowd,loud_crowd,0.9802
0.75,mem::grief,grief,0.9802
0.75,mem::dread,dread,0.9802
0.75,mem::familiar_face,familiar_face,0.9231
0.75,mem::flying,flying,0.9231
0.833333,mem::childhood_home,childhood_home,1.0
0.833333,mem::school_corridor,school_corridor,1.0
0.833333,mem::falling,falling,1.0
0.833333,mem::being_chased,being_chased,1.0
0.833333,mem::being_late,being_late,1.0
0.833333,mem::teeth_loosening,teeth_loosening,1.0
0.833333,mem::cold_water,cold_water,1.0
0.833333,mem::loud_crowd,loud_crowd,1.0
0.833333,mem::grief,grief,1.0
0.833333,mem::dread,dread,1.0
0.833333,mem::familiar_face,familiar_face,0.9868
0.833333,mem::flying,flying,0.9868
0.916667,mem::childhood_home,childhood_home,1.0
0.916667,mem::school_corridor,school_corridor,1.0
0.916667,mem::falling,falling,1.0
0.916667,mem::being_chased,being_chased,1.0
0.916667,mem::being_late,being_late,1.0
0.916667,mem::teeth_loosening,teeth_loosening,1.0
0.916667,mem::cold_water,cold_water,1.0
0.916667,mem::loud_crowd,loud_crowd,1.0
0.916667,mem::grief,grief,1.0
0.916667,mem::dread,dread,1.0
0.916667,mem::familiar_face,familiar_face,0.9934
0.916667,mem::flying,flying,0.9934
1.0,mem::familiar_face,familiar_face,1.0
1.0,mem::flying,flying,1.0
1.0,mem::bright_light,bright_light,1.0
1.0,mem::joy,joy,1.0
1.0,mem::wonder,wonder,1.0
1.0,event::early_run,early run,1.0
1.0,event::sunrise_nap,sunrise nap,1.0
1.0,mem::childhood_home,childhood_home,0.9802
1.0,mem::school_corridor,school_corridor,0.9802
1.0,mem::falling,falling,0.9802
1.0,mem::being_chased,being_chased,0.9802
1.0,mem::being_late,being_late,0.9802
1.083333,mem::familiar_face,familiar_face,0.9934
1.083333,mem::flying,flying,0.9934
1.083333,mem::bright_light,bright_light,0.9934
1.083333,mem::joy,joy,0.9934
1.083333,mem::wonder,wonder,0.9934
1.083333,event::early_run,early run,0.9934
1.083333,event::sunrise_nap,sunrise nap,0.9934
1.083333,mem::childhood_home,childhood_home,0.9481
1.083333,mem::school_corridor,school_corridor,0.9481
1.083333,mem::falling,falling,0.9481
1.083333,mem::being_chased,being_chased,0.9481
1.083333,mem::being_late,being_late,0.9481
1.166667,mem::childhood_home,childhood_home,1.0
1.166667,mem::school_corridor,school_corridor,1.0
1.166667,mem::falling,falling,1.0
1.166667,mem::being_chased,being_chased,1.0
1.166667,mem::being_late,being_late,1.0
1.166667,mem::teeth_loosening,teeth_loosening,1.0
1.166667,mem::cold_water,cold_water,1.0
1.166667,mem::loud_crowd,loud_crowd,1.0
1.166667,mem::grief,grief,1.0
1.166667,mem::dread,dread,1.0
1.166667,mem::familiar_face,familiar_face,0.9868
1.166667,mem::flying,flying,0.9868
1.25,mem::familiar_face,familiar_face,0.9737
1.25,mem::flying,flying,0.9737
1.25,mem::bright_light,bright_light,0.9737
1.25,mem::joy,joy,0.9737
1.25,mem::wonder,wonder,0.9737
1.25,event::early_run,early run,0.9737
1.25,event::sunrise_nap,sunrise nap,0.9737
1.25,mem::childhood_home,childhood_home,0.9481
1.25,mem::school_corridor,school_corridor,0.9481
1.25,mem::falling,falling,0.9481
1.25,mem::being_chased,being_chased,0.9481
1.25,mem::being_late,being_late,0.9481
1.333333,mem::familiar_face,familiar_face,1.0
1.333333,mem::flying,flying,1.0
1.333333,mem::bright_light,bright_light,1.0
1.333333,mem::joy,joy,1.0
1.333333,mem::wonder,wonder,1.0
1.333333,event::early_run,early run,1.0
1.333333,event::sunrise_nap,sunrise nap,1.0
1.333333,mem::childhood_home,childhood_home,0.9859
1.333333,mem::school_corridor,school_corridor,0.9859
1.333333,mem::falling,falling,0.9859
1.333333,mem::being_chased,being_chased,0.9859
1.333333,mem::being_late,being_late,0.9859
1.416667,mem::childhood_home,childhood_home,1.0
1.416667,mem::school_corridor,school_corridor,1.0
1.416667,mem::falling,falling,1.0
1.416667,mem::being_chased,being_chased,1.0
1.416667,mem::being_late,being_late,1.0
1.416667,mem::teeth_loosening,teeth_loosening,1.0
1.416667,mem::cold_water,cold_water,1.0
1.416667,mem::loud_crowd,loud_crowd,1.0
1.416667,mem::grief,grief,1.0
1.416667,mem::dread,dread,1.0
1.416667,mem::familiar_face,familiar_face,0.98
1.416667,mem::flying,flying,0.98
