time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4904,0.3244,0.3024,0.3583,joyful,0.413,0.0
0.083333,N2,0.4647,0.2958,0.2634,0.3738,anxious,0.414,0.0
0.166667,N2,0.4616,0.2942,0.3179,0.3501,neutral,0.388,0.0
0.25,N2,0.4289,0.2572,0.2838,0.352,neutral,0.424,0.0
0.333333,N2,0.4666,0.2858,0.3075,0.3504,neutral,0.395,0.0
0.416667,N3,0.2803,0.1859,0.235,0.3054,neutral,0.35,0.0
0.5,N3,0.2692,0.2031,0.2217,0.3067,curious,0.35,0.0
0.583333,N3,0.2916,0.1806,0.2055,0.2923,neutral,0.35,0.0
0.666667,N3,0.2987,0.2125,0.2031,0.3188,joyful,0.35,0.0
0.75,N2,0.4337,0.2748,0.2616,0.2909,neutral,0.445,0.0
0.833333,N2,0.4349,0.2634,0.2915,0.2509,neutral,0.495,0.0
0.916667,N2,0.4161,0.273,0.2402,0.2948,neutral,0.46,0.0
