time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5236,0.3189,0.3117,0.384,melancholic,0.37,0.0
0.083333,N2,0.417,0.2831,0.2695,0.3224,joyful,0.419,0.0
0.166667,N2,0.4284,0.2903,0.3075,0.3357,curious,0.408,0.0
0.25,N2,0.4696,0.2764,0.2701,0.3354,joyful,0.425,0.0
0.333333,N2,0.4333,0.272,0.2393,0.3415,serene,0.474,0.0
0.416667,N3,0.3708,0.224,0.1855,0.2925,curious,0.35,0.0
0.5,N3,0.2722,0.2086,0.1693,0.3045,joyful,0.35,0.0
0.583333,N3,0.2819,0.2022,0.184,0.3415,joyful,0.35,0.0
0.666667,N3,0.271,0.1822,0.1665,0.2688,joyful,0.35,0.0
0.75,N3,0.3302,0.2186,0.1699,0.2932,neutral,0.35,0.0
0.833333,N3,0.2936,0.1843,0.2272,0.3009,joyful,0.35,0.0
0.916667,N2,0.4375,0.2771,0.2317,0.2867,serene,0.392,0.0
