time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5166,0.2909,0.3029,0.3411,neutral,0.351,0.0
0.083333,N2,0.4297,0.2823,0.2713,0.3644,neutral,0.42,0.0
0.166667,N2,0.4499,0.2456,0.2828,0.3274,curious,0.423,0.0
0.25,N2,0.464,0.2574,0.2843,0.3478,joyful,0.452,0.0
0.333333,N2,0.4816,0.2977,0.3084,0.3396,melancholic,0.43,0.0
0.416667,N3,0.2678,0.1902,0.2247,0.3334,anxious,0.35,0.0
0.5,N3,0.3005,0.1962,0.2293,0.2836,anxious,0.35,0.0
0.583333,N3,0.2732,0.1816,0.1953,0.2981,neutral,0.35,0.0
0.666667,N3,0.3084,0.1828,0.2092,0.2904,curious,0.35,0.0
0.75,N2,0.4705,0.2845,0.2758,0.2728,joyful,0.461,0.0
0.833333,N2,0.4516,0.2797,0.2552,0.2919,fearful,0.447,0.0
0.916667,N2,0.4404,0.2762,0.2703,0.258,curious,0.398,0.0
