time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4991,0.3285,0.2768,0.3228,curious,0.481,0.0
0.008333,N1,0.5281,0.2777,0.2763,0.3432,curious,0.478,0.0
0.016667,N1,0.5019,0.3044,0.3057,0.3541,anxious,0.416,0.0
0.025,N1,0.5149,0.285,0.3138,0.3497,neutral,0.408,0.0
0.033333,N1,0.5186,0.2972,0.2741,0.3613,anxious,0.474,0.0
0.041667,N1,0.4971,0.2965,0.2781,0.3359,anxious,0.47,0.0
0.05,N1,0.5293,0.2737,0.3009,0.3545,anxious,0.432,0.0
0.058333,N1,0.4909,0.3383,0.3112,0.3549,melancholic,0.428,0.0
0.066667,N1,0.5021,0.3099,0.3135,0.3791,serene,0.479,0.0
0.075,N1,0.5268,0.314,0.3031,0.3338,serene,0.432,0.0
0.083333,N1,0.5165,0.3091,0.2987,0.387,anxious,0.431,0.0
0.091667,N1,0.4943,0.2922,0.3082,0.3551,melancholic,0.457,0.0
0.1,N2,0.4504,0.274,0.2949,0.335,anxious,0.456,0.0
0.108333,N2,0.4244,0.321,0.2461,0.3704,melancholic,0.516,0.0
0.116667,N2,0.456,0.2761,0.267,0.3776,neutral,0.483,0.0
0.125,N2,0.4399,0.3173,0.2663,0.3543,anxious,0.503,0.0
0.133333,N2,0.4605,0.2643,0.2803,0.3268,anxious,0.52,0.0
0.141667,N2,0.4835,0.2923,0.2725,0.308,anxious,0.465,0.0
0.15,N2,0.4162,0.3093,0.2573,0.3593,melancholic,0.492,0.0
0.158333,N2,0.467,0.2618,0.2597,0.348,joyful,0.497,0.0
0.166667,N2,0.4461,0.3073,0.2704,0.3616,anxious,0.412,0.0
0.175,N2,0.4423,0.2767,0.3003,0.3665,anxious,0.539,0.0
0.183333,N2,0.4535,0.273,0.2679,0.3217,anxious,0.432,0.0
0.191667,N2,0.4829,0.2711,0.278,0.3434,anxious,0.441,0.0
0.2,N2,0.4076,0.3159,0.2611,0.328,anxious,0.495,0.0
0.208333,N2,0.4327,0.2916,0.2904,0.3554,anxious,0.503,0.0
0.216667,N2,0.4651,0.301,0.276,0.311,fearful,0.485,0.0
0.225,N2,0.4169,0.2764,0.2889,0.3663,anxious,0.399,0.0
0.233333,N2,0.4416,0.2771,0.2979,0.3255,anxious,0.46,0.0
0.241667,N2,0.462,0.2634,0.2554,0.3445,fearful,0.479,0.0
0.25,N2,0.4632,0.274,0.2893,0.3536,joyful,0.489,0.0
0.258333,N2,0.4528,0.2403,0.259,0.3331,anxious,0.467,0.0
0.266667,N2,0.4664,0.2754,0.2783,0.3097,fearful,0.463,0.0
0.275,N2,0.4481,0.2639,0.2743,0.3234,anxious,0.482,0.0
0.283333,N2,0.4732,0.272,0.2745,0.2935,melancholic,0.489,0.0
0.291667,N2,0.4587,0.2765,0.2834,0.2794,anxious,0.451,0.0
0.3,N2,0.4272,0.2878,0.3116,0.3594,anxious,0.412,0.0
0.308333,N2,0.437,0.2936,0.2795,0.3165,anxious,0.468,0.0
0.316667,N2,0.4615,0.2837,0.2366,0.3172,anxious,0.524,0.0
0.325,N2,0.4456,0.283,0.2939,0.3145,anxious,0.449,0.0
0.333333,N2,0.454,0.2784,0.2765,0.3039,anxious,0.44,0.0
0.341667,N2,0.4379,0.3075,0.2825,0.3247,melancholic,0.46,0.0
0.35,N2,0.4451,0.2445,0.27,0.3001,anxious,0.462,0.0
0.358333,N2,0.4691,0.2802,0.2516,0.3358,serene,0.521,0.0
0.366667,N2,0.4529,0.2677,0.242,0.3338,anxious,0.483,0.0
0.375,N2,0.4645,0.3099,0.3004,0.3357,melancholic,0.461,0.0
0.383333,N2,0.4105,0.2612,0.2626,0.2835,neutral,0.452,0.0
0.391667,N2,0.4712,0.2647,0.2443,0.3351,anxious,0.481,0.0
0.4,N2,0.4348,0.3038,0.3018,0.3441,anxious,0.489,0.0
0.408333,N2,0.4435,0.2678,0.29,0.2947,anxious,0.466,0.0
0.416667,N2,0.4413,0.258,0.2636,0.301,fearful,0.46,0.0
0.425,N2,0.4747,0.2929,0.2481,0.3113,anxious,0.512,0.0
0.433333,N2,0.4124,0.3069,0.278,0.3048,serene,0.455,0.0
0.441667,N2,0.4414,0.2855,0.2913,0.3095,anxious,0.468,0.0
0.45,N3,0.3083,0.2163,0.188,0.3071,neutral,0.35,0.0
0.458333,N3,0.2819,0.2132,0.2102,0.3454,anxious,0.35,0.0
0.466667,N3,0.3271,0.2102,0.2119,0.3115,anxious,0.35,0.0
0.475,N3,0.2616,0.2222,0.2121,0.3134,anxious,0.35,0.0
0.483333,N3,0.304,0.2066,0.2267,0.3041,curious,0.35,0.0
0.491667,N3,0.3192,0.1848,0.1966,0.317,melancholic,0.35,0.0
0.5,N3,0.3106,0.1692,0.2101,0.3305,anxious,0.35,0.0
0.508333,N3,0.2846,0.2162,0.2089,0.3303,neutral,0.35,0.0
0.516667,N3,0.3081,0.1936,0.189,0.2925,anxious,0.35,0.0
0.525,N3,0.2777,0.171,0.1952,0.3012,joyful,0.35,0.0
0.533333,N3,0.2924,0.217,0.2138,0.3075,anxious,0.35,0.0
0.541667,N3,0.3234,0.1948,0.1975,0.2929,anxious,0.35,0.0
0.55,N3,0.3024,0.1841,0.2156,0.3523,neutral,0.35,0.0
0.558333,N3,0.2946,0.1814,0.2321,0.3047,anxious,0.35,0.0
0.566667,N3,0.2967,0.1975,0.1853,0.2849,melancholic,0.35,0.0
0.575,N3,0.2913,0.2069,0.1896,0.2894,anxious,0.35,0.0
0.583333,N3,0.2702,0.1723,0.2024,0.2561,neutral,0.35,0.0
0.591667,N3,0.2808,0.1816,0.1706,0.2864,anxious,0.35,0.0
0.6,N3,0.2969,0.2094,0.2,0.2966,anxious,0.35,0.0
