time_hours,node_id,node_label,activation
0.0,mem::being_chased,being_chased,0.3963
0.0,mem::familiar_face,familiar_face,0.3548
0.0,mem::cold_water,cold_water,0.3464
0.0,mem::joy,joy,0.3403
0.0,event::had_a_long_meeting,had a long meeting,0.3231
0.0,mem::school_corridor,school_corridor,0.3124
0.0,mem::loud_crowd,loud_crowd,0.3095
0.0,mem::childhood_home,childhood_home,0.2483
0.0,mem::falling,falling,0.227
0.0,mem::grief,grief,0.2243
0.0,mem::being_late,being_late,0.2138
0.0,mem::dread,dread,0.1883
0.083333,mem::being_chased,being_chased,0.5777
0.083333,mem::cold_water,cold_water,0.5497
0.083333,mem::school_corridor,school_corridor,0.5306
0.083333,mem::loud_crowd,loud_crowd,0.5289
0.083333,mem::childhood_home,childhood_home,0.4946
0.083333,mem::falling,falling,0.4826
0.083333,mem::grief,grief,0.4811
0.083333,mem::being_late,being_late,0.4752
0.083333,mem::dread,dread,0.4609
0.083333,mem::teeth_loosening,teeth_loosening,0.4203
0.083333,mem::familiar_face,familiar_face,0.3989
0.083333,mem::joy,joy,0.387
0.166667,mem::familiar_face,familiar_face,0.6547
0.166667,mem::joy,joy,0.6496
0.166667,event::had_a_long_meeting,had a long meeting,0.6434
0.166667,mem::wonder,wonder,0.5935
0.166667,mem::bright_light,bright_light,0.5875
0.166667,mem::being_chased,being_chased,0.5803
0.166667,mem::flying,flying,0.5685
0.166667,mem::cold_water,cold_water,0.5571
0.166667,mem::school_corridor,school_corridor,0.5416
0.166667,mem::loud_crowd,loud_crowd,0.5401
0.166667,mem::childhood_home,childhood_home,0.5118
0.166667,mem::falling,falling,0.502
0.25,mem::familiar_face,familiar_face,0.7043
0.25,mem::joy,joy,0.701
0.25,event::had_a_long_meeting,had a long meeting,0.6971
0.25,mem::wonder,wonder,0.6653
0.25,mem::bright_light,bright_light,0.6615
0.25,mem::being_chased,being_chased,0.6572
0.25,mem::flying,flying,0.6494
0.25,mem::cold_water,cold_water,0.6425
0.25,mem::school_corridor,school_corridor,0.6326
0.25,mem::loud_crowd,loud_crowd,0.6316
0.25,mem::childhood_home,childhood_home,0.6135
0.25,mem::falling,falling,0.6074
0.333333,mem::familiar_face,familiar_face,0.7143
0.333333,mem::joy,joy,0.712
0.333333,event::had_a_long_meeting,had a long meeting,0.7092
0.333333,mem::being_chased,being_chased,0.702
0.333333,mem::cold_water,cold_water,0.6926
0.333333,mem::school_corridor,school_corridor,0.6863
0.333333,mem::wonder,wonder,0.6862
0.333333,mem::loud_crowd,loud_crowd,0.6856
0.333333,mem::bright_light,bright_light,0.6833
0.333333,mem::flying,flying,0.6746
0.333333,mem::childhood_home,childhood_home,0.6741
0.333333,mem::falling,falling,0.6702
0.416667,mem::being_chased,being_chased,0.7309
0.416667,mem::cold_water,cold_water,0.725
0.416667,mem::school_corridor,school_corridor,0.7209
0.416667,mem::loud_crowd,loud_crowd,0.7205
0.416667,mem::childhood_home,childhood_home,0.7131
0.416667,mem::falling,falling,0.7106
0.416667,mem::grief,grief,0.7103
0.416667,mem::being_late,being_late,0.7092
0.416667,mem::dread,dread,0.7061
0.416667,mem::teeth_loosening,teeth_loosening,0.6974
0.416667,mem::familiar_face,familiar_face,0.6927
0.416667,mem::joy,joy,0.6909
0.5,mem::familiar_face,familiar_face,0.741
0.5,mem::joy,joy,0.74
0.5,event::had_a_long_meeting,had a long meeting,0.7389
0.5,mem::wonder,wonder,0.7282
0.5,mem::bright_light,bright_light,0.7269
0.5,mem::flying,flying,0.7228
0.5,mem::being_chased,being_chased,0.6837
0.5,mem::cold_water,cold_water,0.6782
0.5,mem::school_corridor,school_corridor,0.6744
0.5,mem::loud_crowd,loud_crowd,0.674
0.5,mem::childhood_home,childhood_home,0.6671
0.5,mem::falling,falling,0.6648
0.583333,mem::familiar_face,familiar_face,0.7598
0.583333,mem::joy,joy,0.7591
0.583333,event::had_a_long_meeting,had a long meeting,0.7585
0.583333,mem::wonder,wonder,0.7516
0.583333,mem::bright_light,bright_light,0.7509
0.583333,mem::flying,flying,0.7483
0.583333,mem::being_chased,being_chased,0.6937
0.583333,mem::cold_water,cold_water,0.6897
0.583333,mem::school_corridor,school_corridor,0.6867
0.583333,mem::loud_crowd,loud_crowd,0.6866
0.583333,mem::childhood_home,childhood_home,0.6816
0.583333,mem::falling,falling,0.68
0.666667,mem::familiar_face,familiar_face,0.7528
0.666667,mem::joy,joy,0.7523
0.666667,event::had_a_long_meeting,had a long meeting,0.752
0.666667,mem::being_chased,being_chased,0.7515
0.666667,mem::cold_water,cold_water,0.7491
0.666667,mem::school_corridor,school_corridor,0.7476
0.666667,mem::loud_crowd,loud_crowd,0.7475
0.666667,mem::wonder,wonder,0.7469
0.666667,mem::bright_light,bright_light,0.7464
0.666667,mem::childhood_home,childhood_home,0.7447
0.666667,mem::flying,flying,0.7445
0.666667,mem::falling,falling,0.7438
0.75,mem::familiar_face,familiar_face,0.7672
0.75,mem::joy,joy,0.7669
0.75,event::had_a_long_meeting,had a long meeting,0.7666
0.75,mem::wonder,wonder,0.7634
0.75,mem::bright_light,bright_light,0.7631
0.75,mem::flying,flying,0.7619
0.75,mem::being_chased,being_chased,0.7468
0.75,mem::cold_water,cold_water,0.745
0.75,mem::school_corridor,school_corridor,0.7439
0.75,mem::loud_crowd,loud_crowd,0.7438
0.75,mem::childhood_home,childhood_home,0.7417
0.75,mem::falling,falling,0.7411
0.833333,mem::being_chased,being_chased,0.7729
0.833333,mem::cold_water,cold_water,0.772
0.833333,mem::school_corridor,school_corridor,0.7713
0.833333,mem::loud_crowd,loud_crowd,0.7713
0.833333,mem::childhood_home,childhood_home,0.7702
0.833333,mem::falling,falling,0.7699
0.833333,mem::grief,grief,0.7699
0.833333,mem::being_late,being_late,0.7697
0.833333,mem::dread,dread,0.7692
0.833333,mem::teeth_loosening,teeth_loosening,0.7679
0.833333,mem::familiar_face,familiar_face,0.7593
0.833333,mem::joy,joy,0.7591
0.916667,mem::being_chased,being_chased,0.7642
0.916667,mem::cold_water,cold_water,0.7635
0.916667,mem::school_corridor,school_corridor,0.763
0.916667,mem::loud_crowd,loud_crowd,0.763
0.916667,mem::childhood_home,childhood_home,0.7622
0.916667,mem::falling,falling,0.762
0.916667,mem::grief,grief,0.762
0.916667,mem::being_late,being_late,0.7619
0.916667,mem::dread,dread,0.7615
