time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4948,0.3447,0.3252,0.33,curious,0.316,0.0
0.008333,N1,0.449,0.2832,0.2929,0.3596,joyful,0.382,0.0
0.016667,N1,0.5092,0.294,0.3335,0.3282,fearful,0.317,0.0
0.025,N1,0.4941,0.2767,0.3003,0.344,neutral,0.377,0.0
0.033333,N1,0.5104,0.2724,0.2932,0.3307,anxious,0.33,0.0
0.041667,N1,0.5179,0.2876,0.3019,0.3689,melancholic,0.345,0.0
0.05,N1,0.4944,0.2916,0.2957,0.3381,curious,0.349,0.0
0.058333,N1,0.4964,0.2957,0.3122,0.3364,neutral,0.338,0.0
0.066667,N1,0.4696,0.2736,0.3192,0.316,neutral,0.371,0.0
0.075,N1,0.5149,0.3017,0.3088,0.3504,neutral,0.383,0.0
0.083333,N2,0.4273,0.2959,0.2319,0.3418,neutral,0.392,0.0
0.091667,N2,0.4188,0.268,0.2466,0.3893,melancholic,0.452,0.0
0.1,N2,0.4692,0.2995,0.2565,0.3339,neutral,0.489,0.0
0.108333,N2,0.4617,0.2641,0.288,0.3307,joyful,0.423,0.0
0.116667,N2,0.4629,0.2886,0.2629,0.3654,joyful,0.374,0.0
0.125,N2,0.45,0.2865,0.2473,0.3293,neutral,0.371,0.0
0.133333,N2,0.4336,0.2426,0.2832,0.3548,neutral,0.392,0.0
0.141667,N2,0.4583,0.2893,0.2733,0.3514,neutral,0.404,0.0
0.15,N2,0.4595,0.2768,0.3148,0.3245,anxious,0.413,0.0
0.158333,N2,0.4441,0.2746,0.2875,0.3557,curious,0.408,0.0
0.166667,N2,0.4252,0.2681,0.2313,0.3373,curious,0.393,0.0
0.175,N2,0.4589,0.2858,0.2854,0.2964,curious,0.438,0.0
0.183333,N2,0.4516,0.2956,0.2586,0.3563,serene,0.422,0.0
0.191667,N2,0.4491,0.2735,0.2524,0.3176,fearful,0.428,0.0
0.2,N2,0.4383,0.2606,0.2472,0.3184,neutral,0.407,0.0
0.208333,N2,0.4635,0.2936,0.2694,0.33,neutral,0.446,0.0
0.216667,N2,0.4388,0.2792,0.2849,0.3357,neutral,0.445,0.0
0.225,N2,0.4504,0.2669,0.2744,0.3311,joyful,0.41,0.0
0.233333,N2,0.4474,0.2683,0.2833,0.325,joyful,0.389,0.0
0.241667,N2,0.4843,0.3076,0.2647,0.3162,neutral,0.432,0.0
0.25,N2,0.4944,0.265,0.2913,0.3326,melancholic,0.381,0.0
0.258333,N2,0.4363,0.2814,0.2802,0.3271,curious,0.362,0.0
0.266667,N2,0.4805,0.2578,0.274,0.3516,neutral,0.42,0.0
0.275,N2,0.4548,0.2373,0.2967,0.3068,melancholic,0.429,0.0
0.283333,N2,0.4376,0.3153,0.2821,0.3326,melancholic,0.354,0.0
0.291667,N2,0.4342,0.2889,0.2797,0.3365,melancholic,0.38,0.0
0.3,N2,0.426,0.2369,0.2746,0.3154,curious,0.384,0.0
0.308333,N2,0.4612,0.2636,0.235,0.3077,joyful,0.404,0.0
0.316667,N2,0.4372,0.2893,0.2953,0.3277,neutral,0.438,0.0
0.325,N2,0.4402,0.296,0.2741,0.3397,neutral,0.371,0.0
0.333333,N2,0.4339,0.2608,0.3034,0.3256,curious,0.406,0.0
0.341667,N2,0.4299,0.2583,0.2812,0.2874,curious,0.386,0.0
0.35,N3,0.3193,0.2223,0.1861,0.3403,anxious,0.35,0.0
0.358333,N3,0.2537,0.1841,0.1846,0.2815,joyful,0.35,0.0
0.366667,N3,0.2763,0.2064,0.2042,0.3677,neutral,0.344,0.0
0.375,N3,0.2696,0.1918,0.2176,0.2863,anxious,0.35,0.0
0.383333,N3,0.2956,0.254,0.2115,0.3198,neutral,0.35,0.0
0.391667,N3,0.3001,0.1905,0.1997,0.3327,curious,0.35,0.0
0.4,N3,0.3004,0.1794,0.2137,0.2797,neutral,0.347,0.0
0.408333,N3,0.3186,0.2044,0.1964,0.3096,neutral,0.292,0.0
0.416667,N3,0.3189,0.187,0.2196,0.2952,neutral,0.35,0.0
0.425,N3,0.3214,0.1878,0.19,0.299,neutral,0.35,0.0
0.433333,N3,0.2622,0.1974,0.1804,0.3235,joyful,0.35,0.0
0.441667,N3,0.2941,0.182,0.1971,0.3125,curious,0.35,0.0
0.45,N3,0.2771,0.2001,0.194,0.3227,melancholic,0.346,0.0
0.458333,N3,0.2994,0.1952,0.2126,0.3296,curious,0.345,0.0
0.466667,N3,0.2693,0.225,0.2027,0.3312,neutral,0.35,0.0
0.475,N3,0.2781,0.1879,0.1795,0.3328,fearful,0.35,0.0
0.483333,N3,0.2707,0.2257,0.1825,0.3378,curious,0.348,0.0
0.491667,N3,0.292,0.1919,0.2211,0.3146,melancholic,0.335,0.0
0.5,N3,0.2796,0.2,0.1975,0.305,anxious,0.35,0.0
0.508333,N3,0.3157,0.1578,0.1628,0.3535,anxious,0.311,0.0
0.516667,N3,0.3187,0.1604,0.2112,0.3145,neutral,0.329,0.0
0.525,N3,0.307,0.1741,0.2397,0.3122,joyful,0.35,0.0
0.533333,N3,0.3108,0.2165,0.1942,0.3158,fearful,0.32,0.0
0.541667,N3,0.3351,0.1915,0.213,0.3183,neutral,0.35,0.0
0.55,N3,0.2843,0.173,0.1821,0.3387,anxious,0.35,0.0
0.558333,N3,0.3001,0.2154,0.2233,0.2959,curious,0.35,0.0
0.566667,N3,0.2975,0.1974,0.2394,0.3063,joyful,0.33,0.0
0.575,N3,0.2891,0.2117,0.1947,0.2917,neutral,0.35,0.0
0.583333,N3,0.2982,0.2053,0.2112,0.303,curious,0.35,0.0
0.591667,N3,0.2927,0.1795,0.175,0.3037,neutral,0.35,0.0
0.6,N3,0.3075,0.1877,0.2154,0.3296,neutral,0.347,0.0
0.608333,N3,0.2953,0.218,0.205,0.2681,joyful,0.35,0.0
0.616667,N3,0.2818,0.1964,0.169,0.3207,neutral,0.35,0.0
0.625,N3,0.2803,0.1883,0.2134,0.2972,curious,0.35,0.0
0.633333,N3,0.2801,0.1546,0.2051,0.3238,curious,0.343,0.0
0.641667,N3,0.3053,0.2332,0.1906,0.3376,joyful,0.35,0.0
0.65,N3,0.3247,0.2316,0.1995,0.2805,anxious,0.35,0.0
0.658333,N3,0.2733,0.2055,0.195,0.3066,melancholic,0.319,0.0
0.666667,N3,0.3077,0.2028,0.2137,0.2737,curious,0.35,0.0
0.675,N3,0.2707,0.1525,0.2078,0.297,curious,0.342,0.0
0.683333,N3,0.2927,0.2151,0.2071,0.2736,neutral,0.332,0.0
0.691667,N3,0.2937,0.1728,0.2096,0.3235,neutral,0.35,0.0
0.7,N3,0.3142,0.1989,0.1795,0.3346,melancholic,0.35,0.0
0.708333,N3,0.2996,0.213,0.179,0.3015,joyful,0.35,0.0
0.716667,N3,0.2699,0.1865,0.199,0.2683,neutral,0.35,0.0
0.725,N3,0.287,0.2425,0.1739,0.2931,neutral,0.35,0.0
0.733333,N3,0.3284,0.1622,0.1798,0.3074,neutral,0.35,0.0
0.741667,N3,0.3106,0.1875,0.1837,0.2698,serene,0.35,0.0
0.75,N3,0.314,0.2032,0.2226,0.2752,neutral,0.35,0.0
0.758333,N3,0.2957,0.1809,0.1938,0.2503,melancholic,0.35,0.0
0.766667,N3,0.2791,0.1587,0.2088,0.3145,anxious,0.335,0.0
0.775,N3,0.3106,0.2337,0.1853,0.2608,curious,0.35,0.0
0.783333,N3,0.3101,0.1474,0.2088,0.3163,curious,0.349,0.0
0.791667,N3,0.2874,0.145,0.1967,0.2698,joyful,0.343,0.0
0.8,N3,0.3137,0.1888,0.1897,0.2791,joyful,0.35,0.0
0.808333,N3,0.2872,0.2151,0.1849,0.3329,anxious,0.262,0.0
0.816667,N3,0.2937,0.1592,0.2079,0.277,curious,0.35,0.0
0.825,N3,0.3003,0.1888,0.1995,0.3069,melancholic,0.35,0.0
0.833333,N3,0.2987,0.2362,0.1927,0.3069,curious,0.346,0.0
0.841667,N3,0.2866,0.2063,0.2177,0.2729,curious,0.35,0.0
0.85,N3,0.333,0.1958,0.1612,0.2212,neutral,0.35,0.0
0.858333,N3,0.3164,0.206,0.1957,0.2711,neutral,0.35,0.0
0.866667,N3,0.2625,0.2003,0.2285,0.299,melancholic,0.338,0.0
0.875,N3,0.2881,0.1826,0.2126,0.3076,neutral,0.35,0.0
0.883333,N3,0.2852,0.1923,0.1529,0.288,curious,0.35,0.0
0.891667,N3,0.2873,0.219,0.1544,0.2514,curious,0.35,0.0
0.9,N3,0.3053,0.2173,0.2006,0.2734,joyful,0.35,0.0
0.908333,N3,0.3257,0.2154,0.1868,0.2478,joyful,0.35,0.0
0.916667,N3,0.2734,0.1906,0.2113,0.2691,neutral,0.34,0.0
0.925,N3,0.3355,0.2115,0.2017,0.2915,neutral,0.35,0.0
0.933333,N3,0.3042,0.2301,0.1918,0.2597,neutral,0.344,0.0
0.941667,N3,0.2862,0.1593,0.1925,0.2914,neutral,0.35,0.0
0.95,N2,0.4309,0.3114,0.2969,0.2685,curious,0.404,0.0
0.958333,N2,0.4466,0.26,0.269,0.2807,neutral,0.391,0.0
0.966667,N2,0.4386,0.2381,0.2746,0.274,serene,0.337,0.0
0.975,N2,0.455,0.2745,0.2935,0.2654,anxious,0.376,0.0
0.983333,N2,0.4418,0.2884,0.2977,0.3024,neutral,0.381,0.0
0.991667,N2,0.4531,0.2566,0.2979,0.224,curious,0.42,0.0
