time_hours,node_id,node_label,activation
0.0,event::familiar_face,familiar_face,0.474
0.0,mem::loud_crowd,loud_crowd,0.387
0.0,mem::joy,joy,0.3869
0.0,mem::being_chased,being_chased,0.3485
0.0,mem::childhood_home,childhood_home,0.3308
0.0,mem::grief,grief,0.3251
0.0,mem::bright_light,bright_light,0.3243
0.0,mem::recurring_journey,recurring_journey,0.319
0.0,mem::being_late,being_late,0.3112
0.0,event::had_a_long_meeting,had a long meeting,0.2949
0.0,mem::falling,falling,0.2766
0.0,mem::wonder,wonder,0.2579
0.083333,event::familiar_face,familiar_face,0.5837
0.083333,mem::joy,joy,0.5348
0.083333,mem::loud_crowd,loud_crowd,0.5281
0.083333,mem::being_chased,being_chased,0.5036
0.083333,mem::bright_light,bright_light,0.495
0.083333,mem::childhood_home,childhood_home,0.4925
0.083333,mem::grief,grief,0.4887
0.083333,mem::being_late,being_late,0.4799
0.083333,event::had_a_long_meeting,had a long meeting,0.4763
0.083333,mem::falling,falling,0.4579
0.083333,mem::wonder,wonder,0.4526
0.083333,mem::flying,flying,0.4456
0.166667,mem::joy,joy,0.6579
0.166667,mem::bright_light,bright_light,0.6354
0.166667,event::familiar_face,familiar_face,0.6272
0.166667,event::had_a_long_meeting,had a long meeting,0.625
0.166667,mem::wonder,wonder,0.6118
0.166667,mem::flying,flying,0.6077
0.166667,event::joy,joy,0.6051
0.166667,mem::loud_crowd,loud_crowd,0.587
0.166667,mem::familiar_face,familiar_face,0.5703
0.166667,mem::being_chased,being_chased,0.5691
0.166667,mem::childhood_home,childhood_home,0.5611
0.166667,mem::grief,grief,0.5584
0.25,event::familiar_face,familiar_face,0.6606
0.25,mem::joy,joy,0.6491
0.25,mem::loud_crowd,loud_crowd,0.6315
0.25,mem::bright_light,bright_light,0.6306
0.25,event::had_a_long_meeting,had a long meeting,0.622
0.25,mem::being_chased,being_chased,0.6185
0.25,mem::childhood_home,childhood_home,0.6128
0.25,mem::wonder,wonder,0.6112
0.25,mem::grief,grief,0.6109
0.25,mem::flying,flying,0.6078
0.25,mem::being_late,being_late,0.6063
0.25,event::joy,joy,0.6056
0.333333,event::familiar_face,familiar_face,0.6848
0.333333,mem::loud_crowd,loud_crowd,0.6638
0.333333,mem::being_chased,being_chased,0.6543
0.333333,mem::childhood_home,childhood_home,0.6503
0.333333,mem::grief,grief,0.6488
0.333333,mem::being_late,being_late,0.6455
0.333333,mem::joy,joy,0.644
0.333333,mem::falling,falling,0.6371
0.333333,mem::teeth_loosening,teeth_loosening,0.63
0.333333,mem::bright_light,bright_light,0.6287
0.333333,event::had_a_long_meeting,had a long meeting,0.6217
0.333333,mem::cold_water,cold_water,0.6168
0.416667,event::familiar_face,familiar_face,0.697
0.416667,mem::loud_crowd,loud_crowd,0.6819
0.416667,mem::being_chased,being_chased,0.6752
0.416667,mem::childhood_home,childhood_home,0.6722
0.416667,mem::grief,grief,0.6711
0.416667,mem::being_late,being_late,0.6686
0.416667,mem::falling,falling,0.6626
0.416667,mem::teeth_loosening,teeth_loosening,0.6574
0.416667,mem::cold_water,cold_water,0.6478
0.416667,mem::joy,joy,0.6397
0.416667,mem::dread,dread,0.6379
0.416667,mem::school_corridor,school_corridor,0.6354
0.5,event::familiar_face,familiar_face,0.6785
0.5,mem::joy,joy,0.6663
0.5,mem::loud_crowd,loud_crowd,0.6661
0.5,mem::being_chased,being_chased,0.6606
0.5,mem::childhood_home,childhood_home,0.658
0.5,mem::bright_light,bright_light,0.6572
0.5,mem::grief,grief,0.6571
0.5,mem::being_late,being_late,0.6551
0.5,event::had_a_long_meeting,had a long meeting,0.6533
0.5,mem::falling,falling,0.6501
0.5,mem::wonder,wonder,0.6477
0.5,mem::flying,flying,0.6462
0.583333,event::familiar_face,familiar_face,0.7422
0.583333,mem::loud_crowd,loud_crowd,0.7353
0.583333,mem::being_chased,being_chased,0.7321
0.583333,mem::childhood_home,childhood_home,0.7306
0.583333,mem::grief,grief,0.7302
0.583333,mem::being_late,being_late,0.7292
0.583333,mem::falling,falling,0.7262
0.583333,mem::teeth_loosening,teeth_loosening,0.724
0.583333,mem::cold_water,cold_water,0.7195
0.583333,mem::dread,dread,0.7148
0.583333,mem::school_corridor,school_corridor,0.7138
0.583333,mem::joy,joy,0.6233
0.666667,event::familiar_face,familiar_face,0.7201
0.666667,mem::loud_crowd,loud_crowd,0.7142
0.666667,mem::being_chased,being_chased,0.7116
0.666667,mem::childhood_home,childhood_home,0.7103
0.666667,mem::grief,grief,0.71
0.666667,mem::being_late,being_late,0.7093
0.666667,mem::falling,falling,0.7068
0.666667,mem::teeth_loosening,teeth_loosening,0.705
0.666667,mem::cold_water,cold_water,0.7012
0.666667,mem::dread,dread,0.6974
0.666667,mem::school_corridor,school_corridor,0.6966
0.666667,mem::joy,joy,0.6816
0.75,mem::joy,joy,0.742
0.75,mem::bright_light,bright_light,0.7389
0.75,event::had_a_long_meeting,had a long meeting,0.7376
0.75,mem::wonder,wonder,0.7357
0.75,mem::flying,flying,0.7352
0.75,event::joy,joy,0.7351
0.75,mem::familiar_face,familiar_face,0.7302
0.75,event::familiar_face,familiar_face,0.6989
0.75,mem::loud_crowd,loud_crowd,0.6941
0.75,mem::being_chased,being_chased,0.6919
0.75,mem::childhood_home,childhood_home,0.6908
0.75,mem::grief,grief,0.6905
0.833333,mem::joy,joy,0.7565
0.833333,mem::bright_light,bright_light,0.7546
0.833333,event::had_a_long_meeting,had a long meeting,0.7538
0.833333,mem::wonder,wonder,0.7526
0.833333,mem::flying,flying,0.7523
0.833333,event::joy,joy,0.7523
0.833333,mem::familiar_face,familiar_face,0.749
0.833333,event::familiar_face,familiar_face,0.7126
0.833333,mem::loud_crowd,loud_crowd,0.709
0.833333,mem::being_chased,being_chased,0.7076
0.833333,mem::childhood_home,childhood_home,0.7067
0.833333,mem::grief,grief,0.7064
0.916667,mem::joy,joy,0.7676
0.916667,mem::bright_light,bright_light,0.7664
0.916667,event::had_a_long_meeting,had a long meeting,0.7658
0.916667,mem::wonder,wonder,0.7651
0.916667,mem::flying,flying,0.7649
0.916667,event::joy,joy,0.7649
0.916667,mem::familiar_face,familiar_face,0.7627
0.916667,event::familiar_face,familiar_face,0.7372
0.916667,mem::loud_crowd,loud_crowd,0.7348
0.916667,mem::being_chased,being_chased,0.734
0.916667,mem::childhood_home,childhood_home,0.7334
0.916667,mem::grief,grief,0.7332
