time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4284
0.0,mem::dread,dread,0.3894
0.0,mem::loud_crowd,loud_crowd,0.3767
0.0,mem::bright_light,bright_light,0.3676
0.0,mem::childhood_home,childhood_home,0.3452
0.0,mem::joy,joy,0.2823
0.0,mem::school_corridor,school_corridor,0.2743
0.0,mem::being_chased,being_chased,0.2579
0.0,event::code_review,code review,0.2424
0.0,mem::familiar_face,familiar_face,0.1896
0.0,mem::being_late,being_late,0.1815
0.0,mem::recurring_journey,recurring_journey,0.1731
0.833333,event::design_discussion,design discussion,0.4664
0.833333,mem::bright_light,bright_light,0.4498
0.833333,mem::joy,joy,0.4268
0.833333,mem::familiar_face,familiar_face,0.4016
0.833333,mem::flying,flying,0.3901
0.833333,mem::wonder,wonder,0.3895
0.833333,mem::dread,dread,0.2
0.833333,mem::loud_crowd,loud_crowd,0.1934
0.833333,mem::childhood_home,childhood_home,0.1772
0.833333,mem::school_corridor,school_corridor,0.1407
0.833333,mem::being_chased,being_chased,0.1324
0.833333,event::code_review,code review,0.1244
