time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5329,0.2986,0.2857,0.3343,curious,0.424,0.0
0.083333,N2,0.4507,0.2619,0.2337,0.33,joyful,0.426,0.0
0.166667,N2,0.4196,0.2938,0.2909,0.348,neutral,0.367,0.0
0.25,N2,0.5128,0.2755,0.3078,0.3397,joyful,0.422,0.0
0.333333,N2,0.4425,0.2519,0.2532,0.3137,neutral,0.424,0.0
0.416667,N3,0.3317,0.2176,0.2079,0.3211,neutral,0.35,0.0
0.5,N3,0.2803,0.2182,0.1834,0.3371,joyful,0.35,0.0
0.583333,N3,0.2798,0.2009,0.1909,0.307,neutral,0.35,0.0
0.666667,N3,0.2803,0.1871,0.1632,0.2861,curious,0.35,0.0
0.75,N3,0.2876,0.1662,0.1926,0.2926,serene,0.35,0.0
0.833333,N2,0.4785,0.295,0.2902,0.2889,joyful,0.468,0.0
0.916667,N2,0.4482,0.2557,0.2669,0.2698,joyful,0.426,0.0
